tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1000,4492,444,205.61349693251535,197.159509202454,0.9631901840490797,0.9631901840490797,163,300
2000,4500,18,1464.0714285714287,1454.2857142857142,1,1,14,300
3000,4500,16,10.914886731391586,2343.6923076923076,0.004207119741100324,1,13,300
4000,4500,6,4.200666666666667,3583.75,0.0008888888888888889,1,4,300
5000,4499,4,5.004666666666667,4488.75,0.0008888888888888889,1,4,300
6000,4500,3,4.6851111111111114,5512.333333333333,0.0006666666666666666,1,3,300
7000,4500,5,5.142444444444444,6192.666666666667,0.0006666666666666666,1,3,300
8000,4500,3,5.931555555555556,7380.333333333333,0.0006666666666666666,1,3,300
9000,4500,7,8.686666666666667,8628.25,0.0006666666666666666,0.75,4,300
10000,4500,6,9.533555555555555,9581.75,0.00044444444444444447,0.5,4,300
11000,4500,4,7.968222222222222,10434.333333333334,0.0006666666666666666,1,3,300
12000,509,7,154.44401544401543,11343,0.011583011583011582,0.8571428571428571,7,300
13000,0,2,12443,12430,1,1,1,300
14000,0,4,13121,13108,1,1,1,300
15000,0,6,14502.8,14489.4,0.8,0.8,5,300
16000,0,7,15716,15693.4,0.6,0.6,5,300
17000,0,8,16653.333333333332,16606,1,1,6,300
18000,0,20,17678.555555555555,17602.833333333332,0.8888888888888888,0.8888888888888888,18,300
19000,0,17,18615.636363636364,18448.18181818182,1,1,11,300
20000,0,16,19522.166666666668,19426.5,0.75,0.75,12,300
21000,0,12,20202.875,19878.375,0.875,0.875,8,300
22000,0,22,21357.85714285714,20862.5,1,1,14,300
23000,0,27,22599.285714285714,22352.380952380954,0.9523809523809523,0.9523809523809523,21,300
24000,0,21,23370.666666666668,22312.133333333335,0.9333333333333333,0.9333333333333333,15,300
25000,0,11,24449.11111111111,22050.444444444445,1,1,9,300
26000,0,7,25307.75,25301.5,0.5,0.5,4,300
27000,0,4,25965,22086,1,1,1,300
28000,0,3,27374,22195.666666666668,1,1,3,300
29000,0,6,28514.666666666668,26446.666666666668,1,1,3,300
30000,0,5,29508,25938,1,1,4,300
31000,0,5,30544.75,23981,1,1,4,300
32000,0,4,31123.666666666668,28208.333333333332,0.6666666666666666,0.6666666666666666,3,300
33000,0,7,32374.8,24288.4,1,1,5,300
34000,0,4,33189.333333333336,22159,1,1,3,300
35000,0,5,34420.666666666664,30273,0.6666666666666666,0.6666666666666666,3,300
36000,0,4,35336.333333333336,30962.333333333332,0.6666666666666666,0.6666666666666666,3,300
37000,0,10,36432,27574,1,1,7,300
38000,0,8,37392.333333333336,24128.166666666668,1,1,6,300
39000,0,11,38613.2,24862.5,1,1,10,300
40000,0,14,39548.555555555555,25485.333333333332,0.8888888888888888,0.8888888888888888,9,300
41000,0,16,40546.307692307695,30279.384615384617,0.9230769230769231,0.9230769230769231,13,300
42000,0,13,41094.4,29362.3,0.9,0.9,10,300
43000,0,20,42204.6,27035.4,0.9333333333333333,0.9333333333333333,15,300
44000,0,28,43485.416666666664,29509.125,0.875,0.875,24,300
45000,0,14,44454,28512.76923076923,0.8461538461538461,0.8461538461538461,13,300
46000,0,20,45324.89473684211,30300.36842105263,0.8947368421052632,0.8947368421052632,19,300
47000,0,10,46400.125,24976.5,1,1,8,300
48000,0,9,47468.4,35500.2,0.8,0.8,5,300
49000,0,3,48440,36984,0.6666666666666666,0.6666666666666666,3,300
50000,0,3,49417.75,27765.5,1,1,4,300
51000,0,7,50409,35440.2,0.6,0.6,5,300
52000,0,3,51812,22170,1,1,1,300
53000,0,6,52253.25,26483,1,1,4,300
54000,0,9,53298.25,32814,1,1,8,300
55000,0,3,54344.333333333336,22162.333333333332,1,1,3,300
56000,0,4,55286.333333333336,29542,1,1,3,300
57000,0,5,56280,33287.75,1,1,4,300
58000,0,4,57457.25,26834,1,1,4,300
59000,0,11,58526,31037.14285714286,0.8571428571428571,0.8571428571428571,7,300
60000,0,10,59457.875,26926.875,1,1,8,300
61000,0,13,60496.083333333336,26771,0.9166666666666666,0.9166666666666666,12,300
62000,0,16,61473.92307692308,31853.76923076923,0.7692307692307693,0.7692307692307693,13,300
63000,0,10,62177,25705.166666666668,1,1,6,300
64000,0,18,63162.8,27432.2,0.8666666666666667,0.8666666666666667,15,300
65000,0,25,64418.625,29791.9375,0.75,0.75,16,300
66000,0,14,65465.7,24401.4,0.9,0.9,10,300
67000,0,19,66386,23747.69230769231,1,1,13,300
68000,0,16,67262.6,24424.5,1,1,10,300
69000,0,11,68283.11111111111,29436.11111111111,0.8888888888888888,0.8888888888888888,9,300
70000,0,8,69243.5,27702.5,1,1,8,300
71000,0,4,70174.5,27700.75,1,1,4,300
72000,0,4,71209,22218.5,1,1,2,300
73000,0,5,72325,22205.5,1,1,2,300
74000,0,5,73257.25,38811,1,1,4,300
75000,0,8,74376.71428571429,28401,1,1,7,300
76000,0,8,75256,25173.714285714286,0.8571428571428571,0.8571428571428571,7,300
77000,0,1,76268,22170,1,1,1,300
78000,0,5,77307.6,26572.8,0.8,0.8,5,300
79000,0,4,78268.66666666667,21714,1,1,3,300
80000,0,8,79310.71428571429,28008.14285714286,0.8571428571428571,0.8571428571428571,7,300
81000,0,6,80531.66666666667,32834.833333333336,1,1,6,300
82000,0,12,81432.6,23793.9,0.9,0.9,10,300
83000,0,9,82462,28970.5,0.8333333333333334,0.8333333333333334,6,300
84000,0,17,83184.09090909091,27774.909090909092,0.9090909090909091,0.9090909090909091,11,300
85000,0,18,84177.6875,26029.3125,0.875,0.875,16,300
86000,0,22,85294.58823529411,28279.529411764706,0.8823529411764706,0.8823529411764706,17,300
87000,0,16,86472.92857142857,34240.5,0.7142857142857143,0.7142857142857143,14,300
88000,0,17,87374.15384615384,30158.30769230769,0.9230769230769231,0.9230769230769231,13,300
