tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1000,4492,1239,380.7278008298755,32.427385892116185,1,1,1205,300
2000,4500,1239,1096.8784440842787,32.47893030794165,1,1,1234,300
3000,4500,1243,1817.6620856911884,32.21809369951535,1,1,1238,300
4000,4500,1252,2541.1119104716227,32.260591526778576,1,1,1251,300
5000,4499,1240,3265.9552,32.196957566052845,1,1,1249,300
6000,4500,1244,3990.4606011372866,32.500811688311686,1,1,1232,300
7000,4500,1231,4717.302834008097,32.43435980551053,1,1,1234,300
8000,4500,1244,5440.202256244964,32.500402900886385,1,1,1241,300
9000,4500,1244,6164.163183279743,32.19292604501608,1,1,1244,300
10000,4500,1243,6885.42638777152,32.332797427652736,1,1,1244,300
11000,4500,1246,7610.545527800161,32.27961321514908,1,1,1241,300
12000,509,1217,8336.247107438017,33.06115702479339,1,1,1210,300
13000,0,1218,9069.082448979592,32.91830065359477,1,1,1224,300
14000,0,1210,9799.050538525269,33.11092715231788,1,1,1208,300
15000,0,1199,10528.709650582363,33.34193011647255,1,1,1202,300
16000,0,1210,11263.522708505367,33.15194054500413,1,1,1211,300
17000,0,1218,11995.884583676834,33.16488046166529,1,1,1213,300
18000,0,1210,12727.242574257425,33.09240924092409,1,1,1212,300
19000,0,1217,13456.912006578947,32.97286184210526,1,1,1216,300
20000,0,1215,14186.598184818482,33.11643270024773,1,1,1211,300
21000,0,1201,14916.74169435216,33.274916943521596,1,1,1204,300
22000,0,1216,15648.950657894737,32.97286184210526,1,1,1216,300
23000,0,1211,16378.722452361226,33.15078707539354,1,1,1207,300
24000,0,1213,17109.029826014914,33.07201986754967,1,1,1208,300
25000,0,1215,17840.023712183156,32.98363338788871,1,1,1222,300
26000,0,1210,18571.108533554267,33.22038111019056,1,1,1207,300
27000,0,1206,19302.667771333887,33.16072908036454,1,1,1207,300
28000,0,1207,20033.26799007444,33.14049586776859,1,1,1210,300
29000,0,1215,20762.88696369637,33.09578860445912,1,1,1211,300
30000,0,1210,21494.887510339122,33.28287841191067,1,1,1209,300
31000,0,1206,22227.82493806771,33.20313790255987,1,1,1211,300
32000,0,1215,22961.204451772464,33.019785655399836,1,1,1213,300
33000,0,1213,23688.971924029727,33.02972749793559,1,1,1211,300
34000,0,1210,24418.803143093464,33.27129859387924,1,1,1209,300
35000,0,1204,25152.305970149253,33.259535655058045,1,1,1206,300
36000,0,1217,25883.666119770303,32.959016393442624,1,1,1220,300
37000,0,1208,26613.818106312294,33.18038237738986,1,1,1203,300
38000,0,1213,27344.237664473683,33.0608552631579,1,1,1216,300
39000,0,1214,28075.39173553719,33.018181818181816,1,1,1210,300
40000,0,1213,28802.604785478547,33.10891089108911,1,1,1212,300
41000,0,1207,29536.54163231657,33.1004942339374,1,1,1214,300
