tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1000,4492,463,193.10288065843622,184.8724279835391,0.6790123456790124,0.6790123456790124,243,300
2000,4500,17,1357.2941176470588,1349.9411764705883,0.7058823529411765,0.7058823529411765,17,300
3000,4500,9,2450.1111111111113,2443.1111111111113,0.6666666666666666,0.6666666666666666,9,300
4000,4500,10,3536,3527.6,0.5,0.5,10,300
5000,4499,4,4505.25,4498.25,0.5,0.5,4,300
6000,4500,4,5589.5,5581.5,0.75,0.75,4,300
7000,4500,2,6364.5,6356.5,0.5,0.5,2,300
8000,4500,3,7354.333333333333,7344.666666666667,1,1,3,300
9000,4500,2,8493,8484.5,0.5,0.5,2,300
10000,4500,3,9656,9648.333333333334,1,1,3,300
11000,4500,2,10435,10428,0.5,0.5,2,300
12000,509,4,11388.25,11378.25,0.5,0.5,4,300
13000,0,4,12419.5,12407.75,1,1,4,300
14000,0,5,13558.5,13544.666666666666,0.8333333333333334,0.8333333333333334,6,300
15000,0,7,14532.333333333334,14480.166666666666,0.8333333333333334,0.8333333333333334,6,300
16000,0,18,15616.473684210527,15459.894736842105,0.6842105263157895,0.6842105263157895,19,300
17000,0,20,16575.63157894737,16448.78947368421,0.7894736842105263,0.7894736842105263,19,300
18000,0,18,17693.833333333332,17573.944444444445,0.6111111111111112,0.6111111111111112,18,300
19000,0,13,18791.571428571428,18617.214285714286,0.7857142857142857,0.7857142857142857,14,300
20000,0,11,19382.2,19083.4,0.6,0.6,10,300
21000,0,21,20103.285714285714,19757.428571428572,0.8095238095238095,0.8095238095238095,21,300
22000,0,21,21255.095238095237,20930.85714285714,0.7619047619047619,0.7619047619047619,21,300
23000,0,22,22554,21902.136363636364,0.6363636363636364,0.6363636363636364,22,300
24000,0,18,23289.38888888889,21903.38888888889,0.8333333333333334,0.8333333333333334,18,300
25000,0,11,24420.916666666668,21970.5,0.9166666666666666,0.9166666666666666,12,300
26000,0,6,25481,22235.2,0.8,0.8,5,300
27000,0,4,26366.25,22155.5,1,1,4,300
28000,0,3,27388.333333333332,22224.333333333332,0.6666666666666666,0.6666666666666666,3,300
29000,0,4,28276.5,22220.5,0.5,0.5,4,300
30000,0,2,29275.5,22189,1,1,2,300
31000,0,2,30221,22233.5,1,1,2,300
32000,0,2,31174.5,22201.5,0.5,0.5,2,300
33000,0,4,32259,22162.5,1,1,4,300
34000,0,5,33337.8,21651.2,0.6,0.6,5,300
35000,0,6,34440.166666666664,21402.333333333332,0.8333333333333334,0.8333333333333334,6,300
36000,0,4,35522,21285.75,0.75,0.75,4,300
37000,0,17,36433.882352941175,21077.058823529413,0.7058823529411765,0.7058823529411765,17,300
38000,0,14,37516.92857142857,21383.85714285714,0.8571428571428571,0.8571428571428571,14,300
39000,0,20,38471.2,21463.5,0.8,0.8,20,300
40000,0,12,39567.61538461538,21695.69230769231,0.7692307692307693,0.7692307692307693,13,300
41000,0,12,40346.545454545456,21878.545454545456,0.8181818181818182,0.8181818181818182,11,300
42000,0,22,41052.045454545456,21373.363636363636,0.7727272727272727,0.7727272727272727,22,300
43000,0,17,42226.82352941176,21536.41176470588,0.6470588235294118,0.6470588235294118,17,300
44000,0,19,43416.52631578947,21861.21052631579,0.7368421052631579,0.7368421052631579,19,300
45000,0,15,44414.2,21940,0.8666666666666667,0.8666666666666667,15,300
46000,0,16,45286.41176470588,22197.29411764706,0.6470588235294118,0.6470588235294118,17,300
47000,0,12,46336.90909090909,22186.18181818182,0.5454545454545454,0.5454545454545454,11,300
48000,0,7,47263.857142857145,22163.285714285714,1,1,7,300
49000,0,4,48323.75,22217,0.75,0.75,4,300
50000,0,3,49222,22181,0.6666666666666666,0.6666666666666666,3,300
51000,0,4,50178.25,22218.25,1,1,4,300
52000,0,3,51247.333333333336,22171,1,1,3,300
53000,0,2,52298.5,22119,1,1,2,300
54000,0,3,53194.333333333336,21795.666666666668,1,1,3,300
55000,0,3,54541.333333333336,22225.666666666668,0.6666666666666666,0.6666666666666666,3,300
56000,0,4,55469.2,22171.4,0.8,0.8,5,300
57000,0,7,56554.333333333336,22006.166666666668,0.6666666666666666,0.6666666666666666,6,300
58000,0,5,57413.6,21728.4,0.8,0.8,5,300
59000,0,13,58402.21428571428,21916,0.7142857142857143,0.7142857142857143,14,300
60000,0,19,59382.47368421053,21794.947368421053,0.6842105263157895,0.6842105263157895,19,300
61000,0,18,60390.88888888889,21664.944444444445,0.7222222222222222,0.7222222222222222,18,300
62000,0,14,61283.07692307692,21788.923076923078,0.6153846153846154,0.6153846153846154,13,300
63000,0,16,61984.0625,21805.1875,0.9375,0.9375,16,300
64000,0,16,63080.9375,22028.375,0.8125,0.8125,16,300
65000,0,17,64232.529411764706,22038.058823529413,0.47058823529411764,0.47058823529411764,17,300
66000,0,18,65425,22062.61111111111,0.6111111111111112,0.6111111111111112,18,300
67000,0,18,66219.33333333333,21773.722222222223,0.6111111111111112,0.6111111111111112,18,300
68000,0,13,67205,22096.30769230769,0.5384615384615384,0.5384615384615384,13,300
69000,0,11,68278,22200.81818181818,0.7272727272727273,0.7272727272727273,11,300
70000,0,8,69210.125,22189.375,0.75,0.75,8,300
71000,0,4,70274,22189.5,0.25,0.25,4,300
72000,0,4,71235.5,22211.25,0.5,0.5,4,300
73000,0,4,72345,22205.75,0,0,4,300
74000,0,3,73394,22184.333333333332,1,1,3,300
75000,0,2,74494.5,22236.5,0,0,2,300
76000,0,3,75306.33333333333,22151,1,1,3,300
77000,0,1,76243,22168,1,1,1,300
78000,0,6,77312.16666666667,22181.833333333332,1,1,6,300
79000,0,3,78398,22198.75,0.5,0.5,4,300
80000,0,13,79330.25,21670.416666666668,0.75,0.75,12,300
81000,0,13,80393.53846153847,21615.46153846154,0.7692307692307693,0.7692307692307693,13,300
82000,0,17,81233.88235294117,21671.941176470587,0.4117647058823529,0.4117647058823529,17,300
83000,0,18,82216.22222222222,21972.166666666668,0.8333333333333334,0.8333333333333334,18,300
84000,0,17,83012.41176470589,21755.176470588234,0.7058823529411765,0.7058823529411765,17,300
85000,0,15,84034,21851.866666666665,0.8666666666666667,0.8666666666666667,15,300
86000,0,14,85237.57142857143,21995.071428571428,0.8571428571428571,0.8571428571428571,14,300
87000,0,17,86350.94117647059,22030.176470588234,0.6470588235294118,0.6470588235294118,17,300
88000,0,15,87365.25,21857.5625,0.5625,0.5625,16,300
89000,0,18,88195.29411764706,22125.470588235294,0.8823529411764706,0.8823529411764706,17,300
90000,0,13,89232,22119.153846153848,0.6923076923076923,0.6923076923076923,13,300
91000,0,9,90109.77777777778,22188.444444444445,0.6666666666666666,0.6666666666666666,9,300
92000,0,10,91152.5,22183.1,0.6,0.6,10,300
93000,0,5,92296.4,22179.8,1,1,5,300
94000,0,3,93273.33333333333,22223.666666666668,0.3333333333333333,0.3333333333333333,3,300
95000,0,4,94221.75,22165.5,1,1,4,300
96000,0,3,95187.66666666667,22198,0.3333333333333333,0.3333333333333333,3,300
97000,0,2,96219,22227.5,0.5,0.5,2,300
98000,0,3,97181,22247.666666666668,0.6666666666666666,0.6666666666666666,3,300
99000,0,3,98299.33333333333,21821.666666666668,1,1,3,300
100000,0,5,99424.83333333333,21951.5,0.8333333333333334,0.8333333333333334,6,300
101000,0,6,100371.6,21690.2,0.6,0.6,5,300
102000,0,9,101346.77777777778,21757.666666666668,0.6666666666666666,0.6666666666666666,9,300
103000,0,15,102275.06666666667,21859.133333333335,0.6666666666666666,0.6666666666666666,15,300
104000,0,19,103200.94736842105,21986.78947368421,0.631578947368421,0.631578947368421,19,300
105000,0,19,104195.33333333333,21761.380952380954,0.8095238095238095,0.8095238095238095,21,300
106000,0,20,105058.5,21763.944444444445,0.8888888888888888,0.8888888888888888,18,300
107000,0,15,106197.73333333334,21532.733333333334,0.8666666666666667,0.8666666666666667,15,300
108000,0,12,107294.08333333333,21662.666666666668,0.8333333333333334,0.8333333333333334,12,300
109000,0,13,108357.07692307692,21981.076923076922,0.6153846153846154,0.6153846153846154,13,300
110000,0,11,109142.36363636363,22055.545454545456,0.8181818181818182,0.8181818181818182,11,300
111000,0,19,110156,22039,0.7,0.7,20,300
112000,0,15,111223.71428571429,22205,0.6428571428571429,0.6428571428571429,14,300
113000,0,9,112215,22170,0.7777777777777778,0.7777777777777778,9,300
114000,0,8,113179.25,22180.625,0.625,0.625,8,300
115000,0,6,114148.66666666667,22192.666666666668,0.8333333333333334,0.8333333333333334,6,300
116000,0,3,115186.33333333333,22232,0.6666666666666666,0.6666666666666666,3,300
117000,0,5,116237.6,22186,0.8,0.8,5,300
118000,0,3,117311.33333333333,22160.666666666668,1,1,3,300
119000,0,2,118309.5,22128,0.5,0.5,2,300
120000,0,3,119361,22219,0.6666666666666666,0.6666666666666666,3,300
121000,0,2,120233,21552.5,1,1,2,300
122000,0,4,120904.75,22198.75,0.75,0.75,4,300
123000,0,7,122164.57142857143,22019.14285714286,0.5714285714285714,0.5714285714285714,7,300
124000,0,10,123152.8,21685,0.6,0.6,10,300
125000,0,16,124184.4375,21870.625,0.6875,0.6875,16,300
126000,0,21,125081.09090909091,21834.227272727272,0.7727272727272727,0.7727272727272727,22,300
127000,0,20,126075.36842105263,21783.842105263157,0.631578947368421,0.631578947368421,19,300
128000,0,17,127083.64705882352,22126.529411764706,0.6470588235294118,0.6470588235294118,17,300
129000,0,17,128315.5294117647,21975.41176470588,0.7058823529411765,0.7058823529411765,17,300
130000,0,12,129402.69230769231,21782.384615384617,0.6923076923076923,0.6923076923076923,13,300
131000,0,10,130377.77777777778,21759.666666666668,0.7777777777777778,0.7777777777777778,9,300
132000,0,12,131007.75,21976.833333333332,0.9166666666666666,0.9166666666666666,12,300
133000,0,17,132125.88235294117,22138.529411764706,0.5882352941176471,0.5882352941176471,17,300
134000,0,14,133203.66666666666,22102.133333333335,0.7333333333333333,0.7333333333333333,15,300
135000,0,10,134171.11111111112,22164.777777777777,0.8888888888888888,0.8888888888888888,9,300
136000,0,8,135245.625,22227.625,0.5,0.5,8,300
137000,0,5,135963.4,22155.4,1,1,5,300
138000,0,6,137162.5,21975.333333333332,0.8333333333333334,0.8333333333333334,6,300
139000,0,3,138106,22139.666666666668,1,1,3,300
140000,0,3,139120,22193,1,1,3,300
141000,0,2,140012,22214,1,1,2,300
142000,0,3,141154.66666666666,21773.666666666668,1,1,3,300
