tick,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,throughput,zCapacity
1000,4492,424,180.92567567567568,172.47297297297297,0.972972972972973,0.972972972972973,148,300
2000,4500,38,1385.71875,1377.59375,0.90625,0.90625,32,300
3000,4500,13,2455.285714285714,2447.1428571428573,1,1,7,300
4000,4500,17,3413.181818181818,3404.090909090909,0.9090909090909091,0.9090909090909091,11,300
5000,4499,7,4484.8,4475.6,0.8,0.8,5,300
6000,4500,3,5249,5242,0,0,1,300
7000,4505,2,NaN,NaN,NaN,NaN,0,300
8000,4495,5,7256,7247,1,1,4,300
9000,4500,2,8538.5,8526.5,1,1,2,300
10000,4500,3,9557,9546.5,1,1,2,300
11000,4500,1,NaN,NaN,NaN,NaN,0,300
12000,509,2,11014,11005,1,1,1,300
13000,0,3,12420.666666666666,12409.666666666666,1,1,3,300
14000,0,5,13183,13172.5,1,1,4,300
15000,0,11,14327.285714285714,14313.714285714286,0.8571428571428571,0.8571428571428571,7,300
16000,0,8,15666.75,15635.5,1,1,4,300
17000,0,8,16605.875,16574.75,1,1,8,300
18000,0,3,17653.333333333332,17626.333333333332,1,1,3,300
19000,0,9,18676.125,18583.625,1,1,8,300
20000,0,17,19801.53846153846,19745.23076923077,0.7692307692307693,0.7692307692307693,13,300
21000,0,16,20167.785714285714,19866.785714285714,0.7142857142857143,0.7142857142857143,14,300
22000,0,29,21276.227272727272,20846.409090909092,0.8181818181818182,0.8181818181818182,22,300
23000,0,37,22476.521739130436,22150.91304347826,0.9565217391304348,0.9565217391304348,23,300
24000,0,23,23278.055555555555,22134.055555555555,0.9444444444444444,0.9444444444444444,18,300
25000,0,17,24293.23076923077,23128.23076923077,0.8461538461538461,0.8461538461538461,13,300
26000,0,8,25484,22785,1,1,4,300
27000,0,7,26373.666666666668,24236.833333333332,0.5,0.5,6,300
28000,0,3,27541,24945,1,1,2,300
29000,0,3,28349.333333333332,28339.333333333332,0.6666666666666666,0.6666666666666666,3,300
30000,0,4,29208.75,23919,1,1,4,300
31000,0,2,NaN,NaN,NaN,NaN,0,300
32000,0,3,31304.333333333332,25307.666666666668,1,1,3,300
33000,0,2,32282.5,27364.5,0.5,0.5,2,300
34000,0,4,33535.5,27682,0.75,0.75,4,300
35000,0,6,34283.8,26550.6,0.8,0.8,5,300
36000,0,5,35186.4,27132.4,0.8,0.8,5,300
37000,0,7,36477.333333333336,26614,0.8333333333333334,0.8333333333333334,6,300
38000,0,11,37516.4,24801.6,0.9,0.9,10,300
39000,0,6,38704.2,21699.4,1,1,5,300
40000,0,7,39719.333333333336,19809.666666666668,1,1,3,300
41000,0,14,40722.916666666664,27543,0.8333333333333334,0.8333333333333334,12,300
42000,0,12,41055.11111111111,27444.777777777777,0.8888888888888888,0.8888888888888888,9,300
43000,0,25,42104.13333333333,24249.533333333333,1,1,15,300
44000,0,22,43426.84210526316,34068.78947368421,0.8421052631578947,0.8421052631578947,19,300
45000,0,32,44423.892857142855,28859.535714285714,0.8214285714285714,0.8214285714285714,28,300
46000,0,20,45298.3125,24707.5,0.9375,0.9375,16,300
47000,0,14,46294.92857142857,30032.714285714286,1,1,14,300
48000,0,12,47356.5,35777.875,1,1,8,300
49000,0,5,48344.5,27729,1,1,4,300
50000,0,4,49566.5,33304,0.5,0.5,2,300
51000,0,2,50234,22152.5,1,1,2,300
52000,0,5,51306.666666666664,22221.333333333332,1,1,3,300
53000,0,2,52358.5,44364,1,1,2,300
54000,0,3,53456.666666666664,22194,1,1,3,300
55000,0,2,54477.5,22242,1,1,2,300
56000,0,3,55493,22087,1,1,1,300
57000,0,6,56341.666666666664,25906,1,1,6,300
58000,0,7,57327.75,21616,1,1,4,300
59000,0,7,58486.5,27732.25,1,1,4,300
60000,0,9,59380.333333333336,25879.833333333332,0.8333333333333334,0.8333333333333334,6,300
61000,0,5,60573.8,25898.6,0.8,0.8,5,300
62000,0,12,61585.7,29800.2,1,1,10,300
63000,0,11,62059.75,32539.375,0.875,0.875,8,300
64000,0,23,63093.23529411765,26823.647058823528,0.9411764705882353,0.9411764705882353,17,300
65000,0,19,64417.53333333333,31810.066666666666,0.8666666666666667,0.8666666666666667,15,300
66000,0,25,65478.6,27381.4,0.95,0.95,20,300
67000,0,24,66342.61904761905,26102.428571428572,0.9047619047619048,0.9047619047619048,21,300
68000,0,21,67291.9375,24856.25,1,1,16,300
69000,0,11,68346.77777777778,22161.11111111111,1,1,9,300
70000,0,12,69390.90909090909,28009.909090909092,0.9090909090909091,0.9090909090909091,11,300
71000,0,7,70329.83333333333,29565.5,0.8333333333333334,0.8333333333333334,6,300
72000,0,3,71338.5,44302.5,1,1,2,300
73000,0,3,72091,22208.5,1,1,2,300
74000,0,5,73436,31047.8,1,1,5,300
75000,0,2,74565.5,22276,1,1,2,300
76000,0,2,75214,22138,1,1,1,300
77000,0,2,76072.5,22182.5,1,1,2,300
78000,0,5,77749,44381.5,0.5,0.5,2,300
79000,0,4,78442.5,22225,1,1,4,300
80000,0,8,79484.66666666667,33297.166666666664,1,1,6,300
81000,0,3,80527,33323.5,1,1,2,300
82000,0,12,81267.44444444444,33955.555555555555,0.8888888888888888,0.8888888888888888,9,300
83000,0,12,82475.75,29755.625,0.875,0.875,8,300
84000,0,8,83322.42857142857,24788.714285714286,1,1,7,300
85000,0,19,84021.76923076923,29934.23076923077,0.8461538461538461,0.8461538461538461,13,300
86000,0,17,85251,27017.76923076923,0.8461538461538461,0.8461538461538461,13,300
87000,0,23,86492.4,27194.05,0.9,0.9,20,300
88000,0,19,87274.57142857143,26303.071428571428,1,1,14,300
89000,0,21,88207.5,25119,0.9285714285714286,0.9285714285714286,14,300
90000,0,18,89260.07692307692,32374.46153846154,0.7692307692307693,0.7692307692307693,13,300
91000,0,15,90223.16666666667,25799.166666666668,0.9166666666666666,0.9166666666666666,12,300
92000,0,11,91294.66666666667,27139.11111111111,0.8888888888888888,0.8888888888888888,9,300
93000,0,6,92109.6,22204.6,1,1,5,300
94000,0,4,93437.66666666667,29600,1,1,3,300
95000,0,4,94156.5,21518.5,1,1,2,300
96000,0,4,95366.5,27763.75,1,1,4,300
97000,0,2,96138,22186,1,1,2,300
98000,0,2,NaN,NaN,NaN,NaN,0,300
99000,0,3,98186.33333333333,29641.333333333332,1,1,3,300
100000,0,3,99440.66666666667,36606.333333333336,0.6666666666666666,0.6666666666666666,3,300
101000,0,5,100148.5,27717.5,1,1,4,300
102000,0,6,101281.25,27730.75,0.75,0.75,4,300
103000,0,8,102170.5,29432.5,1,1,6,300
104000,0,10,103479.14285714286,34005.57142857143,1,1,7,300
105000,0,7,104257,30313.6,0.8,0.8,5,300
106000,0,16,104972.5,28881.166666666668,0.9166666666666666,0.9166666666666666,12,300
107000,0,22,106208.125,27280.625,0.8125,0.8125,16,300
108000,0,16,107453.84615384616,31869.69230769231,0.8461538461538461,0.8461538461538461,13,300
109000,0,15,108371.78571428571,24900.285714285714,1,1,14,300
110000,0,25,109211.28571428571,27063.14285714286,0.9523809523809523,0.9523809523809523,21,300
111000,0,19,110328.4375,30361.125,0.9375,0.9375,16,300
112000,0,17,111269.14285714286,30117.071428571428,0.7857142857142857,0.7857142857142857,14,300
113000,0,15,112253.14285714286,31521.85714285714,0.8571428571428571,0.8571428571428571,7,300
114000,0,9,113258.85714285714,25400.285714285714,1,1,7,300
115000,0,7,114037.25,27770,1,1,4,300
116000,0,5,115104.33333333333,44433,0.6666666666666666,0.6666666666666666,3,300
117000,0,4,116297.5,27743.25,1,1,4,300
118000,0,3,117393.66666666667,22163.666666666668,1,1,3,300
119000,0,3,NaN,NaN,NaN,NaN,0,300
120000,0,2,119369.5,44385.5,0.5,0.5,2,300
121000,0,3,120163,22177,1,1,2,300
122000,0,2,121432,22115,1,1,1,300
123000,0,6,122157,21929.2,1,1,5,300
124000,0,6,123233.8,30320.4,1,1,5,300
125000,0,9,124233.71428571429,27818.428571428572,0.8571428571428571,0.8571428571428571,7,300
126000,0,10,125402.5,33117.875,1,1,8,300
127000,0,12,125998.09090909091,25666.909090909092,1,1,11,300
128000,0,17,127113.92307692308,30244.153846153848,1,1,13,300
129000,0,18,128369.33333333333,30892.333333333332,0.9166666666666666,0.9166666666666666,12,300
130000,0,12,129440.41666666667,30898.75,0.9166666666666666,0.9166666666666666,12,300
131000,0,22,130283.27777777778,23201.055555555555,1,1,18,300
132000,0,16,131287.07692307694,23518.615384615383,1,1,13,300
133000,0,22,132264.6,29368.066666666666,0.9333333333333333,0.9333333333333333,15,300
134000,0,18,133273.4375,26092.25,1,1,16,300
135000,0,14,134370.36363636365,36078.72727272727,0.8181818181818182,0.8181818181818182,11,300
136000,0,9,135190.875,30350.625,1,1,8,300
137000,0,6,136103.2,26593.4,0.8,0.8,5,300
138000,0,5,137058.25,33281.75,0.75,0.75,4,300
139000,0,4,138220.25,27706.5,0.75,0.75,4,300
140000,0,2,NaN,NaN,NaN,NaN,0,300
141000,0,4,139997.33333333334,37045.333333333336,0.3333333333333333,0.3333333333333333,3,300
142000,0,3,141015.5,33244,0.5,0.5,2,300
143000,0,2,142292,22188,1,1,1,300
144000,0,3,143337.66666666666,37001.333333333336,0.3333333333333333,0.3333333333333333,3,300
