tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,432,432,432,2937.162162162162,2931.6191646191646,1,1,28,Infinity,-1,0.9930555555555556,0,432,0,1,-1,-1,-1,-1
100000,492,492,471,3544.9081196581196,2972.3760683760684,1,1,28,Infinity,-1,0.9787685774946921,0,471,0,1,-1,-1,-1,-1
150000,545,545,468,7660.972222222223,2986.188034188034,1,1,28,Infinity,-1,1,0,468,0,1,-1,-1,-1,-1
200000,592,592,472,15456.56779661017,2958.353813559322,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
250000,625,625,474,25450.0358649789,2937.440928270042,1,1,28,Infinity,-1,1,0,474,0,1,-1,-1,-1,-1
300000,644,644,482,37212.470954356846,2927.9398340248963,1,1,28,Infinity,-1,1,0,482,0,1,-1,-1,-1,-1
350000,649,649,471,50258.016985138005,2957.2016985138002,1,1,28,Infinity,-1,1,0,471,0,1,-1,-1,-1,-1
400000,638,638,475,63457.922105263155,2949.997894736842,1,1,28,Infinity,-1,1,0,475,0,1,-1,-1,-1,-1
450000,612,612,475,77018.14315789474,2952.107368421053,1,1,28,Infinity,-1,1,0,475,0,1,-1,-1,-1,-1
500000,573,573,474,90175.66455696203,2953.259493670886,1,1,28,Infinity,-1,1,0,474,0,1,-1,-1,-1,-1
550000,524,524,473,101959.2177589852,2936.2515856236787,1,1,28,Infinity,-1,1,0,473,0,1,-1,-1,-1,-1
600000,465,465,472,112604.47881355933,2989.290254237288,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
650000,404,404,464,121114.08836206897,2979.3663793103447,1,1,28,Infinity,-1,1,0,464,0,1,-1,-1,-1,-1
700000,343,343,471,126141.48195329087,2983.9575371549895,1,1,28,Infinity,-1,1,0,471,0,1,-1,-1,-1,-1
750000,284,284,472,125799.57415254238,2975.938559322034,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
800000,233,233,472,116508.69067796611,2962.3898305084745,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
850000,193,193,469,92164.97014925373,2964.2473347547975,1,1,28,Infinity,-1,1,0,469,0,1,-1,-1,-1,-1
900000,165,165,426,39777.41760722348,2959.821670428894,1,1,28,Infinity,-1,1,0,426,0,1,-1,-1,-1,-1
950000,151,151,151,2963.6013071895427,2960.4117647058824,1,1,28,Infinity,-1,1,0,151,0,1,-1,-1,-1,-1
1000000,154,154,154,2914.5779220779223,2911.3311688311687,1,1,28,Infinity,-1,1,0,154,0,1,-1,-1,-1,-1
1050000,172,172,172,3002.5562130177514,2999.3491124260354,1,1,28,Infinity,-1,1,0,172,0,1,-1,-1,-1,-1
1100000,203,203,203,2914.587064676617,2911.353233830846,1,1,28,Infinity,-1,1,0,203,0,1,-1,-1,-1,-1
1150000,247,247,247,2943.31983805668,2940.161943319838,1,1,28,Infinity,-1,1,0,247,0,1,-1,-1,-1,-1
1200000,301,301,301,2978.7635135135133,2975.5439189189187,1,1,28,Infinity,-1,1,0,301,0,1,-1,-1,-1,-1
1250000,361,361,361,2935.067415730337,2931.828651685393,1,1,28,Infinity,-1,1,0,361,0,1,-1,-1,-1,-1
1300000,423,423,423,2952.724465558195,2947.5320665083136,1,1,28,Infinity,-1,0.9905437352245863,0,423,0,1,-1,-1,-1,-1
1350000,483,483,475,3140.7315010570824,2923.9619450317123,1,1,28,Infinity,-1,0.9705263157894737,0,475,0,1,-1,-1,-1,-1
1400000,539,539,472,6417.625,2951.802966101695,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
1450000,586,586,477,13508.511530398322,2928.83857442348,1,1,28,Infinity,-1,1,0,477,0,1,-1,-1,-1,-1
1500000,621,621,470,23127.872340425532,2955.6063829787236,1,1,28,Infinity,-1,1,0,470,0,1,-1,-1,-1,-1
1550000,643,643,472,35100.73728813559,2961.5381355932204,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
1600000,650,650,473,47896.00845665962,2962.896405919662,1,1,28,Infinity,-1,1,0,473,0,1,-1,-1,-1,-1
1650000,640,640,471,61278.11252653928,2956.348195329087,1,1,28,Infinity,-1,1,0,471,0,1,-1,-1,-1,-1
1700000,616,616,479,74686.92275574112,2933.9415448851773,1,1,28,Infinity,-1,1,0,479,0,1,-1,-1,-1,-1
1750000,579,579,472,87783.09322033898,2951.3495762711864,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
1800000,530,530,483,99667.56935817805,2901.182194616977,1,1,28,Infinity,-1,1,0,483,0,1,-1,-1,-1,-1
1850000,474,474,466,110423.98712446351,3004.5729613733906,1,1,28,Infinity,-1,1,0,466,0,1,-1,-1,-1,-1
1900000,413,413,474,119278.35232067511,2957.481012658228,1,1,28,Infinity,-1,1,0,474,0,1,-1,-1,-1,-1
1950000,350,350,477,124202.10901467505,2950.224318658281,1,1,28,Infinity,-1,1,0,477,0,1,-1,-1,-1,-1
2000000,292,292,473,123692.28541226215,2930.5348837209303,1,1,28,Infinity,-1,1,0,473,0,1,-1,-1,-1,-1
2050000,239,239,483,114606.76604554865,2916.503105590062,1,1,28,Infinity,-1,1,0,483,0,1,-1,-1,-1,-1
2100000,197,197,473,90641.10359408034,2946.188160676533,1,1,28,Infinity,-1,1,0,473,0,1,-1,-1,-1,-1
2150000,168,168,430,39177.060267857145,2926.573660714286,1,1,28,Infinity,-1,1,0,430,0,1,-1,-1,-1,-1
2200000,152,152,152,3004.1372549019607,3000.908496732026,1,1,28,Infinity,-1,1,0,152,0,1,-1,-1,-1,-1
2250000,153,153,153,3002.1960784313724,2998.9869281045753,1,1,28,Infinity,-1,1,0,153,0,1,-1,-1,-1,-1
2300000,168,168,168,2907.9151515151516,2904.70303030303,1,1,28,Infinity,-1,1,0,168,0,1,-1,-1,-1,-1
2350000,199,199,199,2924.808080808081,2921.570707070707,1,1,28,Infinity,-1,1,0,199,0,1,-1,-1,-1,-1
2400000,241,241,241,2932.6008403361343,2929.344537815126,1,1,28,Infinity,-1,1,0,241,0,1,-1,-1,-1,-1
2450000,293,293,293,2945.4137931034484,2942.196551724138,1,1,28,Infinity,-1,1,0,293,0,1,-1,-1,-1,-1
2500000,353,353,353,2970.868194842407,2967.624641833811,1,1,28,Infinity,-1,1,0,353,0,1,-1,-1,-1,-1
2550000,414,414,414,2969.676399026764,2966.3625304136253,1,1,28,Infinity,-1,1,0,414,0,1,-1,-1,-1,-1
2600000,476,476,467,3151.756989247312,2938.2903225806454,1,1,28,Infinity,-1,0.9678800856531049,0,467,0,1,-1,-1,-1,-1
2650000,532,532,474,5510.2405063291135,2930.065400843882,1,1,28,Infinity,-1,1,0,474,0,1,-1,-1,-1,-1
2700000,580,580,477,12385.232704402515,2957.777777777778,1,1,28,Infinity,-1,1,0,477,0,1,-1,-1,-1,-1
2750000,618,618,468,22034.72435897436,2964.6047008547007,1,1,28,Infinity,-1,1,0,468,0,1,-1,-1,-1,-1
2800000,640,640,475,33485.753684210526,2939.2568421052633,1,1,28,Infinity,-1,1,0,475,0,1,-1,-1,-1,-1
2850000,650,650,476,46076.02100840336,2951.36974789916,1,1,28,Infinity,-1,1,0,476,0,1,-1,-1,-1,-1
2900000,642,642,470,59677.8,2971.791489361702,1,1,28,Infinity,-1,1,0,470,0,1,-1,-1,-1,-1
2950000,620,620,477,73004.5681341719,2931.3480083857444,1,1,28,Infinity,-1,1,0,477,0,1,-1,-1,-1,-1
3000000,585,585,474,86301.39029535865,2963.396624472574,1,1,28,Infinity,-1,1,0,474,0,1,-1,-1,-1,-1
3050000,537,537,471,98940.70912951168,2970.779193205945,1,1,28,Infinity,-1,1,0,471,0,1,-1,-1,-1,-1
3100000,482,482,471,110105.4033970276,2967.6093418259024,1,1,28,Infinity,-1,1,0,471,0,1,-1,-1,-1,-1
3150000,420,420,472,118966.74576271187,2951.580508474576,1,1,28,Infinity,-1,1,0,472,0,1,-1,-1,-1,-1
3200000,359,359,475,124469.24842105263,2950.2105263157896,1,1,28,Infinity,-1,1,0,475,0,1,-1,-1,-1,-1
3250000,299,299,484,124804.55371900827,2915.8388429752067,1,1,28,Infinity,-1,1,0,484,0,1,-1,-1,-1,-1
3300000,246,246,471,117400.05095541402,2941.707006369427,1,1,28,Infinity,-1,1,0,471,0,1,-1,-1,-1,-1
3350000,202,202,473,96857.71247357294,2964.989429175476,1,1,28,Infinity,-1,1,0,473,0,1,-1,-1,-1,-1
