tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,415,415,391,41.77961432506887,31.953168044077135,1,1,28,Infinity,-1,0.8184143222506394,0,391,0,1,-1,-1,-1,-1
1000,491,491,412,86.89156626506023,31.648192771084336,1,1,28,Infinity,-1,0.7645631067961165,0,415,0,1,-1,-1,-1,-1
1500,545,545,413,173.45631067961165,31.519417475728154,1,1,28,Infinity,-1,0.8135593220338984,0,412,0,1,-1,-1,-1,-1
2000,591,591,413,295.94174757281553,31.74271844660194,1,1,28,Infinity,-1,0.8232445520581114,0,412,0,1,-1,-1,-1,-1
2500,625,625,418,440.2291169451074,31.41766109785203,1,1,28,Infinity,-1,0.7607655502392344,0,418,0,1,-1,-1,-1,-1
3000,644,644,412,599.9130434782609,31.582125603864736,1,1,28,Infinity,-1,0.8058252427184466,0,413,0,1,-1,-1,-1,-1
3500,649,649,417,767.7801932367149,31.570048309178745,1,1,28,Infinity,-1,0.7865707434052758,0,416,0,1,-1,-1,-1,-1
4000,638,638,410,945.9464720194647,31.817518248175183,1,1,28,Infinity,-1,0.7902439024390244,0,411,0,1,-1,-1,-1,-1
4500,613,613,417,1126.1466346153845,31.521634615384617,1,1,28,Infinity,-1,0.7673860911270983,0,416,0,1,-1,-1,-1,-1
5000,573,573,412,1310.1192214111923,31.72506082725061,1,1,28,Infinity,-1,0.7864077669902912,0,411,0,1,-1,-1,-1,-1
5500,524,524,408,1490.5354523227384,32.11002444987775,1,1,28,Infinity,-1,0.7843137254901961,0,409,0,1,-1,-1,-1,-1
6000,466,466,410,1666.3691931540343,31.902200488997554,1,1,28,Infinity,-1,0.7853658536585366,0,409,0,1,-1,-1,-1,-1
6500,405,405,414,1829.9403341288782,31.577565632458235,1,1,28,Infinity,-1,0.7879518072289157,0,416,0,1,-1,-1,-1,-1
7000,343,343,416,1975.5641646489105,31.411622276029057,1,1,28,Infinity,-1,0.8096385542168675,0,416,0,1,-1,-1,-1,-1
7500,285,285,418,2098.0263788968823,31.441247002398082,1,1,28,Infinity,-1,0.7966507177033493,0,416,0,1,-1,-1,-1,-1
8000,234,234,415,2191.076923076923,31.54326923076923,1,1,28,Infinity,-1,0.7855421686746988,0,416,0,1,-1,-1,-1,-1
8500,192,192,414,2246.6787439613527,31.567632850241544,1,1,28,Infinity,-1,0.8096385542168675,0,415,0,1,-1,-1,-1,-1
9000,165,165,411,2231.868613138686,31.65450121654501,1,1,28,Infinity,-1,0.8268292682926829,0,409,0,1,-1,-1,-1,-1
9500,152,152,416,2109.316425120773,31.657004830917874,1,1,28,Infinity,-1,0.7956730769230769,0,416,0,1,-1,-1,-1,-1
10000,154,154,413,1791.9782608695652,31.642512077294686,1,1,28,Infinity,-1,0.8329297820823245,0,414,0,1,-1,-1,-1,-1
10500,171,171,414,1139.2072289156627,31.6,1,1,28,Infinity,-1,0.7922705314009661,0,415,0,1,-1,-1,-1,-1
11000,203,203,412,352.8442822384428,31.45742092457421,1,1,28,Infinity,-1,0.8184019370460048,0,411,0,1,-1,-1,-1,-1
11500,247,247,247,36.27906976744186,31.627906976744185,1,1,28,Infinity,-1,0.8333333333333334,0,247,0,1,-1,-1,-1,-1
12000,300,300,300,34.888513513513516,31.6722972972973,1,1,28,Infinity,-1,0.8066666666666666,0,300,0,1,-1,-1,-1,-1
12500,360,360,359,35.12429378531073,32.0225988700565,1,1,28,Infinity,-1,0.7214484679665738,0,360,0,1,-1,-1,-1,-1
13000,422,422,410,37.76528117359413,31.64547677261614,1,1,28,Infinity,-1,0.8077858880778589,0,410,0,1,-1,-1,-1,-1
13500,483,483,410,75.42401960784314,31.916666666666668,1,1,28,Infinity,-1,0.8312958435207825,0,408,0,1,-1,-1,-1,-1
14000,539,539,409,166.7772397094431,32.00484261501211,1,1,28,Infinity,-1,0.7555012224938875,0,411,0,1,-1,-1,-1,-1
14500,585,585,409,286.03685503685506,31.808353808353807,1,1,28,Infinity,-1,0.8341463414634146,0,408,0,1,-1,-1,-1,-1
15000,621,621,412,428.7810218978102,31.739659367396595,1,1,28,Infinity,-1,0.805352798053528,0,412,0,1,-1,-1,-1,-1
15500,643,643,413,586.3203883495146,31.851941747572816,1,1,28,Infinity,-1,0.8087167070217918,0,412,0,1,-1,-1,-1,-1
16000,649,649,413,758.328502415459,31.468599033816425,1,1,28,Infinity,-1,0.8184019370460048,0,414,0,1,-1,-1,-1,-1
16500,641,641,415,933.2668269230769,31.548076923076923,1,1,28,Infinity,-1,0.8341346153846154,0,416,0,1,-1,-1,-1,-1
17000,616,616,421,1111.7600950118765,31.078384798099762,1,1,28,Infinity,-1,0.7619047619047619,0,420,0,1,-1,-1,-1,-1
17500,580,580,414,1289.2135922330096,31.62135922330097,1,1,28,Infinity,-1,0.7705314009661836,0,413,0,1,-1,-1,-1,-1
18000,531,531,413,1470.2,31.76867469879518,1,1,28,Infinity,-1,0.7608695652173914,0,415,0,1,-1,-1,-1,-1
18500,474,474,414,1642.6497584541062,31.483091787439612,1,1,28,Infinity,-1,0.821256038647343,0,414,0,1,-1,-1,-1,-1
19000,413,413,415,1803.8024096385543,31.46987951807229,1,1,28,Infinity,-1,0.8019323671497585,0,415,0,1,-1,-1,-1,-1
19500,351,351,412,1953.1070559610705,31.766423357664234,1,1,28,Infinity,-1,0.8179611650485437,0,411,0,1,-1,-1,-1,-1
20000,292,292,412,2084.8349514563106,31.805825242718445,1,1,28,Infinity,-1,0.8009708737864077,0,411,0,1,-1,-1,-1,-1
20500,240,240,414,2188.596153846154,31.60096153846154,1,1,28,Infinity,-1,0.8333333333333334,0,416,0,1,-1,-1,-1,-1
21000,198,198,415,2247.975903614458,31.48433734939759,1,1,28,Infinity,-1,0.8072289156626506,0,414,0,1,-1,-1,-1,-1
21500,168,168,415,2244.205314009662,31.64975845410628,1,1,28,Infinity,-1,0.8096385542168675,0,415,0,1,-1,-1,-1,-1
22000,152,152,410,2141.509756097561,31.858536585365854,1,1,28,Infinity,-1,0.8199513381995134,0,410,0,1,-1,-1,-1,-1
22500,153,153,408,1870.5454545454545,31.85012285012285,1,1,28,Infinity,-1,0.8108108108108109,0,408,0,1,-1,-1,-1,-1
23000,168,168,407,1286.509756097561,31.95609756097561,1,1,28,Infinity,-1,0.7960687960687961,0,409,0,1,-1,-1,-1,-1
23500,198,198,417,488.09178743961354,31.705314009661837,1,1,28,Infinity,-1,0.8177458033573142,0,414,0,1,-1,-1,-1,-1
24000,240,240,281,58.45205479452055,31.397260273972602,1,1,28,Infinity,-1,0.8718861209964412,0,281,0,1,-1,-1,-1,-1
24500,293,293,292,35.05902777777778,31.80902777777778,1,1,28,Infinity,-1,0.8122866894197952,0,294,0,1,-1,-1,-1,-1
25000,352,352,352,34.561604584527224,31.39541547277937,1,1,28,Infinity,-1,0.7663817663817664,0,351,0,1,-1,-1,-1,-1
25500,414,414,404,36.271820448877804,31.663341645885286,1,1,28,Infinity,-1,0.8044554455445545,0,405,0,1,-1,-1,-1,-1
26000,475,475,406,70.7807881773399,32.23891625615764,1,1,28,Infinity,-1,0.7911547911547911,0,406,0,1,-1,-1,-1,-1
26500,532,532,420,150.63636363636363,31.33492822966507,1,1,28,Infinity,-1,0.8233890214797136,0,418,0,1,-1,-1,-1,-1
27000,580,580,413,263.5990338164251,31.533816425120772,1,1,28,Infinity,-1,0.7917675544794189,0,414,0,1,-1,-1,-1,-1
27500,617,617,412,403,31.905339805825243,1,1,28,Infinity,-1,0.8276699029126213,0,411,0,1,-1,-1,-1,-1
28000,640,640,413,560.1304347826087,31.442028985507246,1,1,28,Infinity,-1,0.785024154589372,0,414,0,1,-1,-1,-1,-1
28500,650,650,416,726.3605769230769,31.45673076923077,1,1,28,Infinity,-1,0.8240963855421687,0,415,0,1,-1,-1,-1,-1
29000,642,642,414,900.777239709443,31.64406779661017,1,1,28,Infinity,-1,0.7729468599033816,0,415,0,1,-1,-1,-1,-1
29500,621,621,413,1082.9029126213593,31.79368932038835,1,1,28,Infinity,-1,0.7820823244552058,0,412,0,1,-1,-1,-1,-1
30000,585,585,416,1261.826923076923,31.43028846153846,1,1,28,Infinity,-1,0.7980769230769231,0,416,0,1,-1,-1,-1,-1
30500,537,537,416,1439.7727272727273,31.411483253588518,1,1,28,Infinity,-1,0.7841726618705036,0,418,0,1,-1,-1,-1,-1
31000,483,483,411,1615.2189781021898,31.861313868613138,1,1,28,Infinity,-1,0.7926829268292683,0,410,0,1,-1,-1,-1,-1
31500,421,421,417,1780.68345323741,31.359712230215827,1,1,28,Infinity,-1,0.815347721822542,0,416,0,1,-1,-1,-1,-1
32000,359,359,412,1929.6440677966102,31.493946731234868,1,1,28,Infinity,-1,0.8131067961165048,0,414,0,1,-1,-1,-1,-1
32500,300,300,411,2062.4121951219513,31.81219512195122,1,1,28,Infinity,-1,0.7834549878345499,0,410,0,1,-1,-1,-1,-1
33000,246,246,419,2166.8947368421054,31.576555023923444,1,1,28,Infinity,-1,0.8186157517899761,0,418,0,1,-1,-1,-1,-1
33500,203,203,410,2234.394160583942,31.785888077858882,1,1,28,Infinity,-1,0.7975609756097561,0,412,0,1,-1,-1,-1,-1
34000,171,171,418,2238.115107913669,31.388489208633093,1,1,28,Infinity,-1,0.8133971291866029,0,417,0,1,-1,-1,-1,-1
34500,153,153,415,2147.8024096385543,31.532530120481926,1,1,28,Infinity,-1,0.7614457831325301,0,414,0,1,-1,-1,-1,-1
