tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,100,100,100,2966.7021276595747,2963.6063829787236,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
100000,100,100,100,2914.080808080808,2911.020202020202,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
150000,100,100,100,2900.039603960396,2897,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
200000,100,100,100,2959,2955.94,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
250000,100,100,100,2952,2948.95,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
300000,100,100,100,2968.366336633663,2965.3168316831684,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
350000,100,100,100,2971,2967.95,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
400000,100,100,100,2970.656565656566,2967.5656565656564,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
450000,100,100,100,2866,2862.91,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
500000,100,100,100,2957,2953.95,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
550000,100,100,100,2971.99,2968.94,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
600000,100,100,100,2929.7524752475247,2926.732673267327,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
650000,100,100,100,2934,2930.9,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
700000,100,100,100,3019.1414141414143,3016.10101010101,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
750000,100,100,100,2928,2924.95,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
800000,100,100,100,2930,2926.93,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
850000,100,100,100,2905.990099009901,2902.940594059406,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
900000,100,100,100,3009,3005.93,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
950000,100,100,100,2999.949494949495,2996.8585858585857,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1000000,100,100,100,2951.0686274509803,2948.029411764706,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1050000,100,100,100,2946.8367346938776,2943.7755102040815,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1100000,100,100,100,2926,2922.98,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1150000,100,100,100,3006.980198019802,3003.90099009901,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1200000,100,100,100,2947.5742574257424,2944.4653465346537,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1250000,100,100,100,2979.4897959183672,2976.4489795918366,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1300000,100,100,100,2989.158415841584,2986.089108910891,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1350000,100,100,100,2955,2951.94,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1400000,100,100,100,2899,2895.93,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1450000,100,100,100,2954.4949494949497,2951.4343434343436,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1500000,100,100,100,2959.4554455445545,2956.3960396039606,1,1,Infinity,1000,-1,1,-1,100,0,1,-1,-1,-1,-1
1550000,200,200,200,2947.4870466321245,2944.4093264248704,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1600000,200,200,200,2935,2931.955,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1650000,200,200,200,2975,2971.965,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1700000,200,200,200,2999.495,2996.415,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1750000,200,200,200,2958.2663316582916,2955.2060301507536,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1800000,200,200,200,2921.910447761194,2918.860696517413,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1850000,200,200,200,2971.495,2968.445,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1900000,200,200,200,2920.151515151515,2917.0858585858587,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
1950000,200,200,200,2965.7843137254904,2962.7107843137255,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2000000,200,200,200,2937.1608040201004,2934.095477386935,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2050000,200,200,200,2935.5,2932.425,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2100000,200,200,200,3001.9849246231156,2998.9195979899496,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2150000,200,200,200,2967.1890547263683,2964.144278606965,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2200000,200,200,200,2914.045226130653,2911.0150753768844,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2250000,200,200,200,2962.7064676616915,2959.6616915422887,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2300000,200,200,200,2947.211055276382,2944.145728643216,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2350000,200,200,200,3014,3010.975,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
2400000,200,200,200,2949,2945.93,1,1,Infinity,1000,-1,1,-1,200,0,1,-1,-1,-1,-1
