tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,100,100,100,34.54255319148936,31.74468085106383,1,1,Infinity,1000,-1,0.84,-1,100,0,1,-1,-1,-1,-1
1000,100,100,100,34.65,31.93,1,1,Infinity,1000,-1,0.83,-1,100,0,1,-1,-1,-1,-1
1500,100,100,100,34.23762376237624,31.495049504950494,1,1,Infinity,1000,-1,0.91,-1,100,0,1,-1,-1,-1,-1
2000,100,100,100,33.97959183673469,31.285714285714285,1,1,Infinity,1000,-1,0.8,-1,100,0,1,-1,-1,-1,-1
2500,100,100,100,34.35,31.7,1,1,Infinity,1000,-1,0.81,-1,100,0,1,-1,-1,-1,-1
3000,100,100,100,34.57425742574257,31.821782178217823,1,1,Infinity,1000,-1,0.89,-1,100,0,1,-1,-1,-1,-1
3500,100,100,100,34.15,31.33,1,1,Infinity,1000,-1,0.91,-1,100,0,1,-1,-1,-1,-1
4000,100,100,100,34.81,32.05,1,1,Infinity,1000,-1,0.88,-1,100,0,1,-1,-1,-1,-1
4500,100,100,100,33.45544554455446,30.673267326732674,1,1,Infinity,1000,-1,0.8,-1,100,0,1,-1,-1,-1,-1
5000,100,100,100,34.06060606060606,31.373737373737374,1,1,Infinity,1000,-1,0.81,-1,100,0,1,-1,-1,-1,-1
5500,100,100,100,34.9009900990099,32.13861386138614,1,1,Infinity,1000,-1,0.81,-1,100,0,1,-1,-1,-1,-1
6000,100,100,100,35.02061855670103,32.28865979381443,1,1,Infinity,1000,-1,0.84,-1,100,0,1,-1,-1,-1,-1
6500,100,100,100,34.584158415841586,31.831683168316832,1,1,Infinity,1000,-1,0.9,-1,100,0,1,-1,-1,-1,-1
7000,100,100,100,34.53465346534654,31.84158415841584,1,1,Infinity,1000,-1,0.82,-1,100,0,1,-1,-1,-1,-1
7500,100,100,100,34.75757575757576,32.07070707070707,1,1,Infinity,1000,-1,0.85,-1,100,0,1,-1,-1,-1,-1
8000,100,100,100,34.78,32.07,1,1,Infinity,1000,-1,0.85,-1,100,0,1,-1,-1,-1,-1
8500,100,100,100,34.18,31.51,1,1,Infinity,1000,-1,0.81,-1,100,0,1,-1,-1,-1,-1
9000,100,100,100,34.54455445544554,31.831683168316832,1,1,Infinity,1000,-1,0.86,-1,100,0,1,-1,-1,-1,-1
9500,100,100,100,34.84848484848485,31.98989898989899,1,1,Infinity,1000,-1,0.88,-1,100,0,1,-1,-1,-1,-1
10000,100,100,100,33.77,30.99,1,1,Infinity,1000,-1,0.88,-1,100,0,1,-1,-1,-1,-1
10500,100,100,100,34.75,31.98,1,1,Infinity,1000,-1,0.86,-1,100,0,1,-1,-1,-1,-1
11000,100,100,100,34.584158415841586,31.81188118811881,1,1,Infinity,1000,-1,0.84,-1,100,0,1,-1,-1,-1,-1
11500,100,100,100,34.15151515151515,31.383838383838384,1,1,Infinity,1000,-1,0.88,-1,100,0,1,-1,-1,-1,-1
12000,100,100,100,34.85,32.09,1,1,Infinity,1000,-1,0.86,-1,100,0,1,-1,-1,-1,-1
12500,100,100,100,34.55555555555556,31.767676767676768,1,1,Infinity,1000,-1,0.9,-1,100,0,1,-1,-1,-1,-1
13000,100,100,100,35.37864077669903,32.63106796116505,1,1,Infinity,1000,-1,0.85,-1,100,0,1,-1,-1,-1,-1
13500,100,100,100,34.316326530612244,31.56122448979592,1,1,Infinity,1000,-1,0.87,-1,100,0,1,-1,-1,-1,-1
14000,100,100,100,34.53465346534654,31.861386138613863,1,1,Infinity,1000,-1,0.81,-1,100,0,1,-1,-1,-1,-1
14500,100,100,100,34.84,32.1,1,1,Infinity,1000,-1,0.9,-1,100,0,1,-1,-1,-1,-1
15000,100,100,100,34.173469387755105,31.336734693877553,1,1,Infinity,1000,-1,0.89,-1,100,0,1,-1,-1,-1,-1
15500,200,200,199,34.69230769230769,32.04102564102564,1,1,Infinity,1000,-1,0.8140703517587939,-1,200,0,1,-1,-1,-1,-1
16000,200,200,200,35.03030303030303,32.30808080808081,1,1,Infinity,1000,-1,0.865,-1,200,0,1,-1,-1,-1,-1
16500,200,200,200,33.885572139303484,31.208955223880597,1,1,Infinity,1000,-1,0.83,-1,200,0,1,-1,-1,-1,-1
17000,200,200,200,34.26,31.61,1,1,Infinity,1000,-1,0.855,-1,200,0,1,-1,-1,-1,-1
17500,200,200,200,34.16,31.5,1,1,Infinity,1000,-1,0.825,-1,200,0,1,-1,-1,-1,-1
18000,200,200,200,34.27860696517413,31.65671641791045,1,1,Infinity,1000,-1,0.765,-1,200,0,1,-1,-1,-1,-1
18500,200,200,200,34.335,31.695,1,1,Infinity,1000,-1,0.86,-1,200,0,1,-1,-1,-1,-1
19000,200,200,200,34.597989949748744,31.98994974874372,1,1,Infinity,1000,-1,0.8,-1,200,0,1,-1,-1,-1,-1
19500,200,200,200,34,31.41,1,1,Infinity,1000,-1,0.805,-1,200,0,1,-1,-1,-1,-1
20000,200,200,200,34.54040404040404,31.863636363636363,1,1,Infinity,1000,-1,0.815,-1,200,0,1,-1,-1,-1,-1
20500,200,200,200,34.63725490196079,31.965686274509803,1,1,Infinity,1000,-1,0.805,-1,200,0,1,-1,-1,-1,-1
21000,200,200,200,34.22727272727273,31.575757575757574,1,1,Infinity,1000,-1,0.84,-1,200,0,1,-1,-1,-1,-1
21500,200,200,200,34.375,31.675,1,1,Infinity,1000,-1,0.85,-1,200,0,1,-1,-1,-1,-1
22000,200,200,200,34.81,32.18,1,1,Infinity,1000,-1,0.785,-1,200,0,1,-1,-1,-1,-1
22500,200,200,200,34.29353233830846,31.671641791044777,1,1,Infinity,1000,-1,0.82,-1,200,0,1,-1,-1,-1,-1
23000,200,200,200,33.597989949748744,31.00502512562814,1,1,Infinity,1000,-1,0.795,-1,200,0,1,-1,-1,-1,-1
23500,200,200,200,34.691542288557216,32,1,1,Infinity,1000,-1,0.835,-1,200,0,1,-1,-1,-1,-1
24000,200,200,200,34.095,31.405,1,1,Infinity,1000,-1,0.815,-1,200,0,1,-1,-1,-1,-1
24500,200,200,200,34.02512562814071,31.391959798994975,1,1,Infinity,1000,-1,0.83,-1,200,0,1,-1,-1,-1,-1
25000,200,200,200,34.18811881188119,31.54950495049505,1,1,Infinity,1000,-1,0.78,-1,200,0,1,-1,-1,-1,-1
25500,200,200,200,34.35858585858586,31.696969696969695,1,1,Infinity,1000,-1,0.82,-1,200,0,1,-1,-1,-1,-1
