tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,431,431,431,2952.279012345679,2947.069135802469,1,1,28,1000,-1,0.9907192575406032,0,431,0,1,-1,-1,-1,-1
100000,492,492,467,3703.847311827957,2983.94623655914,1,1,28,1000,-1,0.9593147751605996,0,467,0,1,-1,-1,-1,-1
150000,546,546,471,7877.201698513801,2958.9044585987263,1,1,28,1000,-1,1,0,471,0,1,-1,-1,-1,-1
200000,591,591,474,15468.533755274262,2953.6898734177216,1,1,28,1000,-1,1,0,474,0,1,-1,-1,-1,-1
250000,625,625,477,25433.555555555555,2936.3857442348008,1,1,28,1000,-1,1,0,477,0,1,-1,-1,-1,-1
300000,644,644,476,37183.632352941175,2942.9621848739494,1,1,28,1000,-1,1,0,476,0,1,-1,-1,-1,-1
350000,649,649,474,49925.47890295359,2944.6139240506327,1,1,28,1000,-1,1,0,474,0,1,-1,-1,-1,-1
400000,638,638,469,63630.94029850746,2976.4200426439234,1,1,28,1000,-1,1,0,469,0,1,-1,-1,-1,-1
450000,612,612,481,74899.31376518219,2914.051975051975,0.9969084423305589,1,28,1000,-1,1,0,481,0,1,-1,-1,-1,-1
500000,573,573,478,75430.7235915493,2921.4518828451883,0.9784202807458622,1,28,1000,-1,1,0,478,0,1,-1,-1,-1,-1
550000,524,524,477,91612.82007575757,2940.3668763102723,0.9709488775702697,1,28,1000,-1,1,0,477,0,1,-1,-1,-1,-1
600000,465,465,472,106445.7740585774,2948.6101694915255,0.9723135490569302,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
650000,405,405,479,107850.25678496869,2933.1022964509393,0.9744327261105784,1,28,1000,-1,1,0,479,0,1,-1,-1,-1,-1
700000,342,342,472,107541.72669491525,2970.2330508474574,0.9762258543833581,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
750000,284,284,470,103831.7914893617,2959.440425531915,0.9777777777777777,1,28,1000,-1,1,0,470,0,1,-1,-1,-1,-1
800000,233,233,472,89933.04025423729,2972.7754237288136,0.9791449426485923,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
850000,193,193,477,55570.020964360585,2937.410901467505,0.9803656890416002,1,28,1000,-1,1,0,477,0,1,-1,-1,-1,-1
900000,165,165,235,9720.739130434782,2927.3359683794465,0.9809569150202333,1,28,1000,-1,1,0,235,0,1,-1,-1,-1,-1
950000,151,151,151,2931.7763157894738,2928.5460526315787,0.9812953004442366,1,28,1000,-1,1,0,151,0,1,-1,-1,-1,-1
1000000,154,154,154,2913.1935483870966,2909.974193548387,0.9816282007119073,1,28,1000,-1,1,0,154,0,1,-1,-1,-1,-1
1050000,172,172,172,2936.8639053254437,2933.6508875739646,0.9819779229556206,1,28,1000,-1,1,0,172,0,1,-1,-1,-1,-1
1100000,203,203,203,2945.70297029703,2942.5049504950493,0.9823788546255506,1,28,1000,-1,1,0,203,0,1,-1,-1,-1,-1
1150000,247,247,247,2967.714285714286,2964.5142857142855,0.9828418230563003,1,28,1000,-1,1,0,247,0,1,-1,-1,-1,-1
1200000,301,301,301,2975.114478114478,2971.909090909091,0.9833714404489711,1,28,1000,-1,1,0,301,0,1,-1,-1,-1,-1
1250000,361,361,361,2924.991549295775,2921.780281690141,0.9839631151648792,1,28,1000,-1,1,0,361,0,1,-1,-1,-1,-1
1300000,423,423,423,2950.5904761904762,2946,0.984610945465038,1,28,1000,-1,0.9929078014184397,0,423,0,1,-1,-1,-1,-1
1350000,483,483,464,3440.9114470842333,2985.464362850972,0.9852670349907919,1,28,1000,-1,0.9698275862068966,0,464,0,1,-1,-1,-1,-1
1400000,539,539,468,7123.517094017094,2969.08547008547,0.9858757062146892,1,28,1000,-1,1,0,468,0,1,-1,-1,-1,-1
1450000,586,586,471,14537.974522292994,2986.515923566879,0.9864395287736248,1,28,1000,-1,1,0,471,0,1,-1,-1,-1,-1
1500000,622,622,474,24848.2194092827,2961.46835443038,0.9869632526684592,1,28,1000,-1,1,0,474,0,1,-1,-1,-1,-1
1550000,642,642,472,36558.82203389831,2956.673728813559,0.9874460572773637,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
1600000,650,650,475,49350.19368421053,2939.265263157895,0.9878971255673222,1,28,1000,-1,1,0,475,0,1,-1,-1,-1,-1
1650000,640,640,470,62543.9170212766,2964.331914893617,0.9883126369612856,1,28,1000,-1,1,0,470,0,1,-1,-1,-1,-1
1700000,616,616,475,74863.19834710743,2960.745263157895,0.9880767602652745,1,28,1000,-1,1,0,475,0,1,-1,-1,-1,-1
1750000,579,579,469,72421.52839931153,2984.085287846482,0.9809556082683836,1,28,1000,-1,1,0,469,0,1,-1,-1,-1,-1
1800000,530,530,475,91520.05660377358,2947.694736842105,0.97801766437684,1,28,1000,-1,1,0,475,0,1,-1,-1,-1,-1
1850000,474,474,475,106210.24742268042,2935.896842105263,0.9780596068484464,1,28,1000,-1,1,0,475,0,1,-1,-1,-1,-1
1900000,413,413,472,107860.2627118644,2950.936440677966,0.9786972047777367,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
1950000,350,350,475,108077.28842105262,2963.0484210526315,0.9793025064305797,1,28,1000,-1,1,0,475,0,1,-1,-1,-1,-1
2000000,292,292,476,105044.03781512605,2942.7542016806724,0.9798755307392544,1,28,1000,-1,1,0,476,0,1,-1,-1,-1,-1
2050000,239,239,473,92321.77167019027,2944.2854122621566,0.980414355258689,1,28,1000,-1,1,0,473,0,1,-1,-1,-1,-1
2100000,197,197,478,60768.569037656904,2934.63179916318,0.9809303350970018,1,28,1000,-1,1,0,478,0,1,-1,-1,-1,-1
2150000,168,168,272,14269.686206896551,3000.5724137931034,0.9812303352500814,1,28,1000,-1,1,0,272,0,1,-1,-1,-1,-1
2200000,152,152,152,3000.2597402597403,2997.0844155844156,0.9813858403270928,1,28,1000,-1,1,0,152,0,1,-1,-1,-1,-1
2250000,153,153,153,2922.5460526315787,2919.3223684210525,0.9815368196371398,1,28,1000,-1,1,0,153,0,1,-1,-1,-1,-1
2300000,169,169,169,2904.329341317365,2901.1377245508984,0.9816998995081186,1,28,1000,-1,1,0,169,0,1,-1,-1,-1,-1
2350000,198,198,198,2964.7602040816328,2961.5867346938776,0.9818876616238287,1,28,1000,-1,1,0,198,0,1,-1,-1,-1,-1
2400000,241,241,241,2942.396624472574,2939.1772151898736,0.9821096173733196,1,28,1000,-1,1,0,241,0,1,-1,-1,-1,-1
2450000,293,293,293,2961.958620689655,2958.768965517241,0.9823739174732552,1,28,1000,-1,1,0,293,0,1,-1,-1,-1,-1
2500000,353,353,353,2952.1235632183907,2948.8936781609195,0.9826809490439483,1,28,1000,-1,1,0,353,0,1,-1,-1,-1,-1
2550000,414,414,414,2974.9418886198546,2970.9297820823244,0.9830317296846648,1,28,1000,-1,0.9951690821256038,0,414,0,1,-1,-1,-1,-1
2600000,476,476,465,3293.1144708423326,2979.7753779697623,0.9834084588088616,1,28,1000,-1,0.9763440860215054,0,465,0,1,-1,-1,-1,-1
2650000,532,532,478,5836.757322175732,2932.3410041841003,0.9837802362647665,1,28,1000,-1,1,0,478,0,1,-1,-1,-1,-1
2700000,580,580,471,12474.182590233546,2961.443736730361,0.9841306242260239,1,28,1000,-1,1,0,471,0,1,-1,-1,-1,-1
2750000,618,618,479,21892.845511482254,2923.9185803757828,0.9844717709361817,1,28,1000,-1,1,0,479,0,1,-1,-1,-1,-1
2800000,640,640,479,33077.45720250522,2925.179540709812,0.9847985589385352,1,28,1000,-1,1,0,479,0,1,-1,-1,-1,-1
2850000,650,650,466,45953.242489270386,2976.0343347639487,0.9851035432901365,1,28,1000,-1,1,0,466,0,1,-1,-1,-1,-1
2900000,642,642,477,59387.64150943396,2947.0712788259957,0.9854033074586568,1,28,1000,-1,1,0,477,0,1,-1,-1,-1,-1
2950000,620,620,471,72970.71125265393,2974.611464968153,0.9856876938986556,1,28,1000,-1,1,0,471,0,1,-1,-1,-1,-1
3000000,585,585,468,72680.84946236559,2982.980769230769,0.9823717300772248,1,28,1000,-1,1,0,468,0,1,-1,-1,-1,-1
3050000,537,537,473,86942.79591836735,2956.978858350951,0.980136119025008,1,28,1000,-1,1,0,473,0,1,-1,-1,-1,-1
3100000,482,482,466,104164.98969072165,2997.4849785407723,0.9797724890321078,1,28,1000,-1,1,0,466,0,1,-1,-1,-1,-1
3150000,421,421,476,109109.32983193277,2949.4747899159665,0.9801395189265429,1,28,1000,-1,1,0,476,0,1,-1,-1,-1,-1
3200000,358,358,472,108569.23305084746,2962.5889830508477,0.9804905448417899,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
3250000,299,299,472,106270.55084745762,2954.762711864407,0.9808293777826839,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
3300000,246,246,472,95669.28813559322,2963.866525423729,0.9811566421932078,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
3350000,202,202,472,68463.32627118644,2949.6716101694915,0.981472920593151,1,28,1000,-1,1,0,472,0,1,-1,-1,-1,-1
3400000,171,171,327,21288.50434782609,2928.8492753623186,0.9816974636408347,1,28,1000,-1,1,0,327,0,1,-1,-1,-1,-1
3450000,154,154,154,2936.4,2933.18064516129,0.9817965829286188,1,28,1000,-1,1,0,154,0,1,-1,-1,-1,-1
3500000,151,151,151,2986.4013157894738,2983.1644736842104,0.9818927466722275,1,28,1000,-1,1,0,151,0,1,-1,-1,-1,-1
3550000,166,166,166,2940.7283950617284,2937.4938271604938,0.9819941247623984,1,28,1000,-1,1,0,166,0,1,-1,-1,-1,-1
3600000,193,193,193,2946.107692307692,2942.897435897436,0.9821146584277377,1,28,1000,-1,1,0,193,0,1,-1,-1,-1,-1
3650000,235,235,235,2935.221739130435,2932.060869565217,0.9822547683923706,1,28,1000,-1,1,0,235,0,1,-1,-1,-1,-1
3700000,286,286,286,2928.6035087719297,2925.340350877193,0.9824253668409513,1,28,1000,-1,1,0,286,0,1,-1,-1,-1,-1
3750000,344,344,344,2934.8635014836796,2931.685459940653,0.9826229070775799,1,28,1000,-1,1,0,344,0,1,-1,-1,-1,-1
3800000,407,407,407,2959.819306930693,2956.6311881188117,0.9828539458961364,1,28,1000,-1,1,0,407,0,1,-1,-1,-1,-1
3850000,467,467,462,3031.2521739130434,2944.686956521739,0.9831096414445958,1,28,1000,-1,0.9632034632034632,0,462,0,1,-1,-1,-1,-1
3900000,525,525,480,4815.3375,2924.76875,0.983368447934623,1,28,1000,-1,1,0,480,0,1,-1,-1,-1,-1
3950000,575,575,467,11139.689507494646,2978.0278372591006,0.9836127449438555,1,28,1000,-1,1,0,467,0,1,-1,-1,-1,-1
4000000,613,613,479,20483.828810020877,2936.640918580376,0.9838559742191373,1,28,1000,-1,1,0,479,0,1,-1,-1,-1,-1
4050000,639,639,473,31828.594080338265,2958.027484143763,0.9840891739196824,1,28,1000,-1,1,0,473,0,1,-1,-1,-1,-1
4100000,649,649,476,44421.09453781512,2945.4873949579833,0.9843171487914271,1,28,1000,-1,1,0,476,0,1,-1,-1,-1,-1
4150000,644,644,467,57818.721627408995,2981.241970021413,0.9845345523628591,1,28,1000,-1,1,0,467,0,1,-1,-1,-1,-1
4200000,624,624,478,71442.33472803347,2941.326359832636,0.9847509219692091,1,28,1000,-1,1,0,478,0,1,-1,-1,-1,-1
4250000,590,590,469,72754.83729433273,2973.639658848614,0.982744216863999,1,28,1000,-1,1,0,469,0,1,-1,-1,-1,-1
4300000,544,544,473,84917.0036900369,2942.797040169133,0.981052333002411,1,28,1000,-1,1,0,473,0,1,-1,-1,-1,-1
4350000,489,489,479,102737.71543086172,2938.757828810021,0.9807573977736757,1,28,1000,-1,1,0,479,0,1,-1,-1,-1,-1
4400000,429,429,477,107853.24947589099,2915.830188679245,0.9810107366619746,1,28,1000,-1,1,0,477,0,1,-1,-1,-1,-1
4450000,367,367,476,107408.89075630253,2950.9495798319326,0.9812569809573106,1,28,1000,-1,1,0,476,0,1,-1,-1,-1,-1
4500000,307,307,476,105477.46218487395,2942.752100840336,0.9814969206357744,1,28,1000,-1,1,0,476,0,1,-1,-1,-1,-1
4550000,252,252,473,95595.93657505285,2943.875264270613,0.9817293392819205,1,28,1000,-1,1,0,473,0,1,-1,-1,-1,-1
4600000,208,208,477,70123.58700209644,2947.473794549266,0.98195788424724,1,28,1000,-1,1,0,477,0,1,-1,-1,-1,-1
4650000,174,174,347,23555.054794520547,2927.1013698630136,0.9821289417632085,1,28,1000,-1,1,0,347,0,1,-1,-1,-1,-1
4700000,155,155,155,2981.730769230769,2978.5320512820513,0.9822010658664045,1,28,1000,-1,1,0,155,0,1,-1,-1,-1,-1
4750000,151,151,151,3011.4466666666667,3008.2,0.9822698690856613,1,28,1000,-1,1,0,151,0,1,-1,-1,-1,-1
4800000,163,163,163,2913.5246913580245,2910.2901234567903,0.982343581583945,1,28,1000,-1,1,0,163,0,1,-1,-1,-1,-1
4850000,189,189,189,2949.159574468085,2945.994680851064,0.9824283598099811,1,28,1000,-1,1,0,189,0,1,-1,-1,-1,-1
4900000,228,228,228,2931.7256637168143,2928.548672566372,0.9825292026409345,1,28,1000,-1,1,0,228,0,1,-1,-1,-1,-1
4950000,279,279,279,2937.367272727273,2934.1963636363635,0.9826503593493885,1,28,1000,-1,1,0,279,0,1,-1,-1,-1,-1
5000000,327,327,327,2949.789156626506,2946.5421686746986,0.9827944081826594,1,28,1000,-1,1,0,327,0,1,-1,-1,-1,-1
