tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,430,430,411,39.833766233766234,31.485714285714284,1,1,28,1000,-1,0.8102189781021898,0,412,0,1,-1,-1,-1,-1
1000,490,490,410,80.79268292682927,31.558536585365854,1,1,28,1000,-1,0.7834549878345499,0,411,0,1,-1,-1,-1,-1
1500,546,546,422,169.66350710900474,31.182464454976305,1,1,28,1000,-1,0.7862232779097387,0,422,0,1,-1,-1,-1,-1
2000,591,591,411,289.621359223301,31.820388349514563,1,1,28,1000,-1,0.7931873479318735,0,412,0,1,-1,-1,-1,-1
2500,624,624,411,435.32682926829267,31.753658536585366,1,1,28,1000,-1,0.8033980582524272,0,409,0,1,-1,-1,-1,-1
3000,645,645,409,597.6308068459658,31.929095354523227,1,1,28,1000,-1,0.8357843137254902,0,409,0,1,-1,-1,-1,-1
3500,649,649,414,638.8634538152611,31.60144927536232,0.9714867617107943,1,28,1000,-1,0.7777777777777778,0,414,0,1,-1,-1,-1,-1
4000,638,638,413,614.0047021943574,31.876513317191282,0.9137834821428571,1,28,1000,-1,0.7995169082125604,0,414,0,1,-1,-1,-1,-1
4500,612,612,413,758.5490196078431,31.484184914841848,0.8784556720686368,1,28,1000,-1,0.8058252427184466,0,411,0,1,-1,-1,-1,-1
5000,574,574,413,899.7460869565217,31.733173076923077,0.859777824355481,1,28,1000,-1,0.8135593220338984,0,415,0,1,-1,-1,-1,-1
5500,523,523,415,983.7380497131932,31.58937198067633,0.8530411786928599,1,28,1000,-1,0.8385542168674699,0,414,0,1,-1,-1,-1,-1
6000,467,467,413,1092.6531914893617,31.661016949152543,0.8551353226925746,1,28,1000,-1,0.8067632850241546,0,414,0,1,-1,-1,-1,-1
6500,405,405,409,1226.9301204819278,31.877750611246945,0.8638938339537142,1,28,1000,-1,0.8063725490196079,0,408,0,1,-1,-1,-1,-1
7000,343,343,417,1244.0407673860911,31.302158273381295,0.8724984839296543,1,28,1000,-1,0.7942583732057417,0,418,0,1,-1,-1,-1,-1
7500,284,284,415,1239.0963855421687,31.571084337349397,0.8800456425616888,1,28,1000,-1,0.8140096618357487,0,415,0,1,-1,-1,-1,-1
8000,234,234,414,1213.7451923076924,31.634615384615383,0.8867645078766662,1,28,1000,-1,0.8043478260869565,0,414,0,1,-1,-1,-1,-1
8500,193,193,419,1082.4700239808153,31.4052757793765,0.89278429372769,1,28,1000,-1,0.8042959427207638,0,418,0,1,-1,-1,-1,-1
9000,165,165,413,748.9031476997578,31.564164648910413,0.898147026765169,1,28,1000,-1,0.8091787439613527,0,414,0,1,-1,-1,-1,-1
9500,152,152,281,211.1510067114094,31.21476510067114,0.9016949152542373,1,28,1000,-1,0.8607142857142858,0,279,0,1,-1,-1,-1,-1
10000,153,153,153,35.82236842105263,32.375,0.903411048581601,1,28,1000,-1,0.9411764705882353,0,154,0,1,-1,-1,-1,-1
10500,172,172,172,35.18343195266272,31.83431952662722,0.9052501126633619,1,28,1000,-1,0.9302325581395349,0,171,0,1,-1,-1,-1,-1
11000,203,203,202,35.23267326732673,31.93069306930693,0.9073584489975766,1,28,1000,-1,0.905940594059406,0,203,0,1,-1,-1,-1,-1
11500,246,246,247,34.794238683127574,31.54320987654321,0.9097736294389014,1,28,1000,-1,0.8178137651821862,0,246,0,1,-1,-1,-1,-1
12000,301,301,300,34.51178451178451,31.35016835016835,0.9125597837388231,1,28,1000,-1,0.8066666666666666,0,300,0,1,-1,-1,-1,-1
12500,360,360,359,34.64689265536723,31.54237288135593,0.9156638588046531,1,28,1000,-1,0.766016713091922,0,360,0,1,-1,-1,-1,-1
13000,422,422,409,38.122549019607845,31.69607843137255,0.9189788053949903,1,28,1000,-1,0.7853658536585366,0,409,0,1,-1,-1,-1,-1
13500,483,483,413,77.01459854014598,31.676399026763992,0.9220646835325734,1,28,1000,-1,0.8179611650485437,0,412,0,1,-1,-1,-1,-1
14000,538,538,409,162.323600973236,31.91727493917275,0.9249241206927334,1,28,1000,-1,0.8288508557457213,0,410,0,1,-1,-1,-1,-1
14500,586,586,413,279.99029126213594,31.640776699029125,0.9275873945238505,1,28,1000,-1,0.7772397094430993,0,413,0,1,-1,-1,-1,-1
15000,621,621,416,421.2470023980815,31.424460431654676,0.9300972487740005,1,28,1000,-1,0.7817745803357314,0,417,0,1,-1,-1,-1,-1
15500,643,643,411,580.3868613138686,32.00243309002433,0.9324063655360875,1,28,1000,-1,0.802439024390244,0,411,0,1,-1,-1,-1,-1
16000,649,649,418,663.478813559322,31.148325358851675,0.9306953693665789,1,28,1000,-1,0.7918660287081339,0,417,0,1,-1,-1,-1,-1
16500,640,640,413,596.5211267605633,31.711165048543688,0.9172139009813326,1,28,1000,-1,0.8256658595641646,0,413,0,1,-1,-1,-1,-1
17000,617,617,413,741.248788368336,31.82125603864734,0.9063646627152131,1,28,1000,-1,0.8429951690821256,0,413,0,1,-1,-1,-1,-1
17500,579,579,407,877.0068965517241,32.02689486552567,0.8984544468546638,1,28,1000,-1,0.8201970443349754,0,408,0,1,-1,-1,-1,-1
18000,531,531,411,968.4896030245746,31.78973105134474,0.8941168771677246,1,28,1000,-1,0.8223844282238443,0,410,0,1,-1,-1,-1,-1
18500,474,474,422,1099.215932914046,31.06413301662708,0.8937682447011042,1,28,1000,-1,0.8459715639810427,0,421,0,1,-1,-1,-1,-1
19000,414,414,412,1208.345971563981,31.635922330097088,0.8959208899876391,1,28,1000,-1,0.7985436893203883,0,412,0,1,-1,-1,-1,-1
19500,351,351,411,1239.2791262135922,31.92718446601942,0.8985053037608486,1,28,1000,-1,0.8150851581508516,0,412,0,1,-1,-1,-1,-1
20000,292,292,415,1240.8819277108435,31.26024096385542,0.9009819486093962,1,28,1000,-1,0.8048192771084337,0,415,0,1,-1,-1,-1,-1
20500,240,240,416,1220.141148325359,31.60047846889952,0.9033572453371592,1,28,1000,-1,0.7932692307692307,0,416,0,1,-1,-1,-1,-1
21000,197,197,415,1111.953995157385,31.590799031476998,0.905594797623052,1,28,1000,-1,0.7860576923076923,0,415,0,1,-1,-1,-1,-1
21500,168,168,409,821.7401960784314,31.872549019607842,0.9077057985311849,1,28,1000,-1,0.7892156862745098,0,408,0,1,-1,-1,-1,-1
22000,153,153,324,290.4766081871345,32.014619883040936,0.9094039165052722,1,28,1000,-1,0.8518518518518519,0,324,0,1,-1,-1,-1,-1
22500,152,152,152,34.94039735099338,31.5364238410596,0.9101339452478787,1,28,1000,-1,0.9276315789473685,0,153,0,1,-1,-1,-1,-1
23000,168,168,168,35.24404761904762,31.964285714285715,0.9109324588776644,1,28,1000,-1,0.9464285714285714,0,168,0,1,-1,-1,-1,-1
23500,198,198,198,35.5,32.118556701030926,0.9118370765928485,1,28,1000,-1,0.9040404040404041,0,198,0,1,-1,-1,-1,-1
24000,241,241,240,35.180672268907564,31.873949579831933,0.9129220745643518,1,28,1000,-1,0.8666666666666667,0,240,0,1,-1,-1,-1,-1
24500,293,293,293,34.87062937062937,31.664335664335663,0.9141910828025478,1,28,1000,-1,0.8191126279863481,0,292,0,1,-1,-1,-1,-1
25000,352,352,351,35.16954022988506,32.054597701149426,0.9156861763380564,1,28,1000,-1,0.7378917378917379,0,352,0,1,-1,-1,-1,-1
25500,413,413,400,38.49625935162095,32.20199501246883,0.9173456365956612,1,28,1000,-1,0.775,0,400,0,1,-1,-1,-1,-1
26000,476,476,410,72.79951100244499,31.8239608801956,0.9189722369244093,1,28,1000,-1,0.8175182481751825,0,411,0,1,-1,-1,-1,-1
26500,531,531,411,153.79562043795622,31.900243309002434,0.9205435500613381,1,28,1000,-1,0.781021897810219,0,410,0,1,-1,-1,-1,-1
27000,580,580,414,268.86265060240964,31.597590361445782,0.9220695080753389,1,28,1000,-1,0.8329297820823245,0,415,0,1,-1,-1,-1,-1
27500,617,617,411,408.43520782396087,31.887530562347187,0.9235171223544373,1,28,1000,-1,0.7469586374695864,0,410,0,1,-1,-1,-1,-1
28000,641,641,417,565.6387559808612,31.476076555023923,0.9249420574077376,1,28,1000,-1,0.8110047846889952,0,417,0,1,-1,-1,-1,-1
28500,649,649,413,681.0743243243244,31.793187347931873,0.9249562937062937,1,28,1000,-1,0.8276699029126213,0,412,0,1,-1,-1,-1,-1
29000,643,643,409,582.6521739130435,31.62135922330097,0.9171484441421527,1,28,1000,-1,0.8337408312958435,0,411,0,1,-1,-1,-1,-1
