tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,194,2853.1,2941.070652173913,1,1,Infinity,Infinity,-1,0.9948453608247423,-1,194,0,1,-1,-1,-1,-1
100000,200,200,174,2546.785,2922.0402298850577,1,1,Infinity,Infinity,-1,1,-1,174,0,1,-1,-1,-1,-1
150000,200,200,150,2197.369458128079,2909.8104575163397,1,1,Infinity,Infinity,-1,1,-1,150,0,1,-1,-1,-1,-1
200000,200,200,139,2101.3838383838383,3031.1459854014597,1,1,Infinity,Infinity,-1,1,-1,139,0,1,-1,-1,-1,-1
250000,200,200,119,1761.1024390243902,2905.1935483870966,1,1,Infinity,Infinity,-1,1,-1,119,0,1,-1,-1,-1,-1
300000,200,200,113,1636.3877551020407,2935.8990825688074,1,1,Infinity,Infinity,-1,1,-1,113,0,1,-1,-1,-1,-1
350000,200,200,98,1467.3316831683169,2956.97,1,1,Infinity,Infinity,-1,1,-1,98,0,1,-1,-1,-1,-1
400000,200,200,87,1250.611111111111,2905.529411764706,1,1,Infinity,Infinity,-1,1,-1,87,0,1,-1,-1,-1,-1
450000,200,200,89,1347.103448275862,2965,1,1,Infinity,Infinity,-1,1,-1,89,0,1,-1,-1,-1,-1
500000,200,200,84,1268.771144278607,2992.541176470588,1,1,Infinity,Infinity,-1,1,-1,84,0,1,-1,-1,-1,-1
550000,200,200,102,1494.4141414141413,2951.98,0.9831358249772105,0.9724497393894267,Infinity,Infinity,-1,1,-1,102,0,1,-1,-1,-1,-1
600000,200,200,104,1520.065,2916.355769230769,0.9682539682539683,0.9474775397373877,Infinity,Infinity,-1,1,-1,104,0,1,-1,-1,-1,-1
650000,200,200,94,1398.4158415841584,2935.2916666666665,0.9580123266563945,0.9293583927414129,Infinity,Infinity,-1,1,-1,94,0,1,-1,-1,-1,-1
