tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,195,34.616216216216216,31.287292817679557,1,1,Infinity,Infinity,-1,0.3487179487179487,-1,195,0,1,-1,-1,-1,-1
1000,200,200,180,31.85,31.027624309392266,1,1,Infinity,Infinity,-1,0.35,-1,180,0,1,-1,-1,-1,-1
1500,200,200,154,28.398058252427184,31.8375,1,1,Infinity,Infinity,-1,0.3116883116883117,-1,154,0,1,-1,-1,-1,-1
2000,200,200,146,26.28643216080402,31.104166666666668,1,1,Infinity,Infinity,-1,0.4178082191780822,-1,146,0,1,-1,-1,-1,-1
2500,200,200,123,22.824120603015075,31.68032786885246,1,1,Infinity,Infinity,-1,0.4878048780487805,-1,123,0,1,-1,-1,-1,-1
3000,200,200,114,21.72772277227723,32,1,1,Infinity,Infinity,-1,0.4649122807017544,-1,114,0,1,-1,-1,-1,-1
3500,200,200,114,21.636363636363637,32.4054054054054,1,1,Infinity,Infinity,-1,0.47368421052631576,-1,114,0,1,-1,-1,-1,-1
4000,200,200,84,17.281553398058254,32.455555555555556,1,1,Infinity,Infinity,-1,0.5238095238095238,-1,84,0,1,-1,-1,-1,-1
4500,200,200,94,17.58080808080808,31.096774193548388,1,1,Infinity,Infinity,-1,0.5319148936170213,-1,94,0,1,-1,-1,-1,-1
5000,200,200,103,19.474747474747474,31.69,1,1,Infinity,Infinity,-1,0.5339805825242718,-1,103,0,1,-1,-1,-1,-1
5500,200,200,98,18.81094527363184,31.646464646464647,0.9854014598540146,0.977110157367668,Infinity,Infinity,-1,0.5306122448979592,-1,98,0,1,-1,-1,-1,-1
6000,200,200,99,19.030150753768844,31.989795918367346,0.9686323713927227,0.9498663101604278,Infinity,Infinity,-1,0.5353535353535354,-1,99,0,1,-1,-1,-1,-1
6500,200,200,107,20.65686274509804,31.866071428571427,0.9552986512524084,0.927860696517413,Infinity,Infinity,-1,0.4953271028037383,-1,107,0,1,-1,-1,-1,-1
7000,200,200,89,17.04040404040404,31.674418604651162,0.9466523451485858,0.9120425029515938,Infinity,Infinity,-1,0.5955056179775281,-1,89,0,1,-1,-1,-1,-1
7500,200,200,106,20.163366336633665,31.546296296296298,0.9368948247078465,0.8951165371809101,Infinity,Infinity,-1,0.4811320754716981,-1,106,0,1,-1,-1,-1,-1
8000,200,200,106,19.041884816753928,31.11111111111111,0.9274952919020716,0.8774329300368228,Infinity,Infinity,-1,0.5094339622641509,-1,106,0,1,-1,-1,-1,-1
8500,200,200,106,20.278048780487804,31.376146788990827,0.918902978472427,0.8631840796019901,Infinity,Infinity,-1,0.5188679245283019,-1,106,0,1,-1,-1,-1,-1
9000,200,200,92,17.849246231155778,32.07608695652174,0.9133704735376045,0.851569933396765,Infinity,Infinity,-1,0.5543478260869565,-1,92,0,1,-1,-1,-1,-1
9500,200,200,97,18.66176470588235,31.11,0.9064312071692145,0.8387829246139873,Infinity,Infinity,-1,0.5257731958762887,-1,97,0,1,-1,-1,-1,-1
10000,200,200,88,17.101522842639593,32.43529411764706,0.9020295665246806,0.8290336685614342,Infinity,Infinity,-1,0.625,-1,88,0,1,-1,-1,-1,-1
10500,200,200,102,19.45320197044335,31.276190476190475,0.8979494515975203,0.8210702341137124,Infinity,Infinity,-1,0.5588235294117647,-1,102,0,1,-1,-1,-1,-1
11000,200,200,102,19.29145728643216,31.693069306930692,0.894832688367858,0.8146811070998796,Infinity,Infinity,-1,0.47058823529411764,-1,102,0,1,-1,-1,-1,-1
11500,200,200,109,20.894472361809044,32.48148148148148,0.8904616724738676,0.8066128412149174,Infinity,Infinity,-1,0.5504587155963303,-1,109,0,1,-1,-1,-1,-1
12000,200,200,102,19.52,31.931372549019606,0.8864774624373957,0.7987421383647799,Infinity,Infinity,-1,0.49019607843137253,-1,102,0,1,-1,-1,-1,-1
12500,200,200,98,18.71,31.602040816326532,0.8840144230769231,0.7932881113887897,Infinity,Infinity,-1,0.5204081632653061,-1,98,0,1,-1,-1,-1,-1
13000,200,200,95,18.577114427860696,32.364583333333336,0.8821490467937608,0.7887469796341042,Infinity,Infinity,-1,0.4842105263157895,-1,95,0,1,-1,-1,-1,-1
13500,200,200,105,20.08542713567839,32.04807692307692,0.879080118694362,0.7827390869710097,Infinity,Infinity,-1,0.6,-1,105,0,1,-1,-1,-1,-1
14000,200,200,109,20.323383084577113,31.054545454545455,0.8737707849097086,0.7730633236901318,Infinity,Infinity,-1,0.5229357798165137,-1,109,0,1,-1,-1,-1,-1
14500,200,200,105,19.665,31.276190476190475,0.8701881581218712,0.7661691542288557,Infinity,Infinity,-1,0.5142857142857142,-1,105,0,1,-1,-1,-1,-1
15000,200,200,105,20.115,32.10476190476191,0.8675120974470215,0.7609153869316471,Infinity,Infinity,-1,0.5142857142857142,-1,105,0,1,-1,-1,-1,-1
