tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,200,102.005,2957.721052631579,0.055,1,Infinity,Infinity,-1,0.995,-1,200,0,1,-1,-1,-1,-1
100000,200,200,200,102,2947.43,0.085,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
150000,200,200,200,102,2918.0201005025124,0.12666666666666668,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
200000,200,200,200,102,2948.45,0.1775,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
250000,200,200,200,102,2980.435,0.221,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
300000,200,200,200,102,2990.386934673367,0.2525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
350000,200,200,200,102,2919.93,0.29214285714285715,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
400000,200,200,200,102,2897.415,0.324375,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
450000,200,200,200,102,2933.43,0.355,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
500000,200,200,200,102,2989.43,0.373,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
550000,200,200,200,102,2986.415,0.3890909090909091,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
600000,200,200,200,102,2924.737623762376,0.39208333333333334,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
650000,200,200,200,102,2951.4646464646466,0.39884615384615385,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
700000,200,200,200,102,2923.435,0.40785714285714286,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
750000,200,200,200,102,2971.262376237624,0.418,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
800000,200,200,200,102,2948.165829145729,0.4253125,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
850000,200,200,200,102,3018.5527638190956,0.42705882352941177,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
900000,200,200,200,102,2892.94,0.43472222222222223,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
950000,200,200,200,102,2942.935,0.4407894736842105,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1000000,200,200,200,102,2938.2786069651743,0.44525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1050000,200,200,200,102,2916.590909090909,0.4483333333333333,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1100000,200,200,200,102,2978.5174129353236,0.45227272727272727,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1150000,200,200,200,102,2952.955,0.4584782608695652,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1200000,200,200,200,102,2931.7611940298507,0.46125,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1250000,200,200,200,102,2941.638190954774,0.465,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1300000,200,200,200,102,2964.094527363184,0.4673076923076923,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1350000,200,200,200,102,2938.603015075377,0.4685185185185185,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1400000,200,200,200,102,2937.7562189054725,0.47,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1450000,200,200,200,102,2941.165829145729,0.4722413793103448,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
1500000,200,200,200,102,2905.417910447761,0.47633333333333333,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1
