tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,199,102.13836477987421,31.310160427807485,1,1,Infinity,Infinity,-1,0.23115577889447236,-1,199,0,1,-1,-1,-1,-1
1000,200,200,200,102.02,31.487437185929647,1,1,Infinity,Infinity,-1,0.14,-1,200,0,1,-1,-1,-1,-1
1500,200,200,200,102.02,31.92079207920792,1,1,Infinity,Infinity,-1,0.165,-1,200,0,1,-1,-1,-1,-1
2000,200,200,200,102.035,31.532663316582916,1,1,Infinity,Infinity,-1,0.17,-1,200,0,1,-1,-1,-1,-1
2500,200,200,200,101.995,31.625,1,1,Infinity,Infinity,-1,0.18,-1,200,0,1,-1,-1,-1,-1
3000,200,200,200,102,31.335,1,1,Infinity,Infinity,-1,0.205,-1,200,0,1,-1,-1,-1,-1
3500,200,200,200,101.985,31.485,1,1,Infinity,Infinity,-1,0.13,-1,200,0,1,-1,-1,-1,-1
4000,200,200,200,102.02,31.562189054726367,1,1,Infinity,Infinity,-1,0.185,-1,200,0,1,-1,-1,-1,-1
4500,200,200,200,102.04,31.30808080808081,1,1,Infinity,Infinity,-1,0.205,-1,200,0,1,-1,-1,-1,-1
5000,200,200,200,101.975,31.26,1,1,Infinity,Infinity,-1,0.19,-1,200,0,1,-1,-1,-1,-1
5500,200,200,200,101.995,31.28358208955224,1,1,Infinity,Infinity,-1,0.15,-1,200,0,1,-1,-1,-1,-1
6000,200,200,200,102.035,31.12060301507538,1,1,Infinity,Infinity,-1,0.16,-1,200,0,1,-1,-1,-1,-1
6500,200,200,200,102.015,31.306532663316585,1,1,Infinity,Infinity,-1,0.17,-1,200,0,1,-1,-1,-1,-1
7000,200,200,200,101.99,31.356435643564357,1,1,Infinity,Infinity,-1,0.2,-1,200,0,1,-1,-1,-1,-1
