tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,200,104,2938.56914893617,0.035,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
100000,200,200,200,104,2946.9,0.1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
150000,200,200,200,104,2961.43,0.14333333333333334,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
200000,200,200,200,104,2974.054726368159,0.1825,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
250000,200,200,200,104,3036.603015075377,0.219,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
300000,200,200,200,104,2999.415,0.25916666666666666,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
350000,200,200,200,104,2923.915,0.2885714285714286,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
400000,200,200,200,104,2966.945,0.319375,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
450000,200,200,200,104,2944.415,0.345,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
500000,200,200,200,104,2955.6616915422887,0.3595,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
550000,200,200,200,104,2994.455,0.37863636363636366,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
600000,200,200,200,104,2983.356783919598,0.3929166666666667,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
650000,200,200,200,104,2964.45,0.4,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
700000,200,200,200,104,2966.80198019802,0.4039285714285714,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
750000,200,200,200,104,2942.6633165829144,0.4066666666666667,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
800000,200,200,200,104,2950.673366834171,0.4184375,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
850000,200,200,200,104,2975.07960199005,0.4244117647058824,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
900000,200,200,200,104,2981.95,0.4288888888888889,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
950000,200,200,200,104,2938.945,0.4336842105263158,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1000000,200,200,200,104,2993.43,0.43725,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1050000,200,200,200,104,2943.218905472637,0.44166666666666665,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1100000,200,200,200,104,2924.547738693467,0.4445454545454545,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1150000,200,200,200,104,2992.899497487437,0.44565217391304346,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1200000,200,200,200,104,2922.137931034483,0.44875,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1250000,200,200,200,104,2964.050505050505,0.4518,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1300000,200,200,200,104,2906.955,0.45634615384615385,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1350000,200,200,200,104,2901.9396984924624,0.4583333333333333,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1400000,200,200,200,104,2994.43,0.4635714285714286,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1450000,200,200,200,104,2926.5879396984924,0.46879310344827585,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1500000,200,200,200,104,2993.990049751244,0.4711666666666667,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1550000,200,200,200,104,2949.2039800995026,0.4720967741935484,0.9930521893682339,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1600000,200,200,200,104,2985.361809045226,0.474375,0.9845021916092673,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1650000,200,200,200,104,2978.475,0.4763636363636364,0.976775956284153,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1700000,200,200,200,104,2945.643216080402,0.4798529411764706,0.9711212612347134,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1750000,200,200,200,104,2964.0492610837437,0.4805714285714286,0.9633762517882689,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1800000,200,200,200,104,2953.939393939394,0.4815277777777778,0.9575681691708403,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1850000,200,200,200,104,3000.45,0.48324324324324325,0.9497834325933947,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1900000,200,200,200,104,2985.5124378109454,0.48710526315789476,0.9447885096850704,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1950000,200,200,200,104,2966.935,0.48935897435897435,0.9401720374887662,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2000000,200,200,200,104,2913.527638190955,0.491125,0.9356534802203305,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2050000,200,200,200,104,2969.43,0.4903658536585366,0.930752320468979,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2100000,200,200,200,104,2963.8514851485147,0.4913095238095238,0.9266984505363528,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2150000,200,200,200,104,2922.445,0.4924418604651163,0.9229336437718277,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2200000,200,200,200,104,2926.94,0.49261363636363636,0.9179749715585893,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2250000,200,200,200,104,2959.0151515151515,0.4945555555555556,0.9143302180685359,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2300000,200,200,200,104,2990.435,0.49619565217391304,0.9109708315193731,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2350000,200,200,200,104,2956.6567164179105,0.4975531914893617,0.9085099584620301,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2400000,200,200,200,104,2957.6666666666665,0.49822916666666667,0.9064650677789364,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2450000,200,200,200,104,2966.281407035176,0.4990816326530612,0.9036673817550311,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2500000,200,200,200,104,2977.0597014925374,0.5001,0.9013013013013013,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2550000,200,200,200,104,2964.925,0.49970588235294117,0.8989205103042198,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2600000,200,200,200,104,2907.959798994975,0.5013461538461539,0.8965251708537877,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
