tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,199,103.50943396226415,31.398936170212767,1,1,Infinity,Infinity,-1,0.22613065326633167,-1,199,0,1,-1,-1,-1,-1
1000,200,200,200,103.26,31.434343434343436,1,1,Infinity,Infinity,-1,0.195,-1,200,0,1,-1,-1,-1,-1
1500,200,200,200,103.235,30.965174129353233,1,1,Infinity,Infinity,-1,0.19,-1,200,0,1,-1,-1,-1,-1
2000,200,200,200,103.295,31.52020202020202,1,1,Infinity,Infinity,-1,0.19,-1,200,0,1,-1,-1,-1,-1
2500,200,200,200,103.33,31.321782178217823,1,1,Infinity,Infinity,-1,0.14,-1,200,0,1,-1,-1,-1,-1
3000,200,200,200,103.37,31.015,1,1,Infinity,Infinity,-1,0.18,-1,200,0,1,-1,-1,-1,-1
3500,200,200,200,103.215,31.180904522613066,1,1,Infinity,Infinity,-1,0.165,-1,200,0,1,-1,-1,-1,-1
4000,200,200,200,103.245,30.766169154228855,1,1,Infinity,Infinity,-1,0.215,-1,200,0,1,-1,-1,-1,-1
4500,200,200,200,103.4,31.035175879396984,1,1,Infinity,Infinity,-1,0.16,-1,200,0,1,-1,-1,-1,-1
5000,200,200,200,103.345,31.475,1,1,Infinity,Infinity,-1,0.175,-1,200,0,1,-1,-1,-1,-1
5500,200,200,200,103.35,31.08910891089109,1,1,Infinity,Infinity,-1,0.13,-1,200,0,1,-1,-1,-1,-1
6000,200,200,200,103.37,31.56,1,1,Infinity,Infinity,-1,0.16,-1,200,0,1,-1,-1,-1,-1
6500,200,200,200,103.32,31.07,1,1,Infinity,Infinity,-1,0.175,-1,200,0,1,-1,-1,-1,-1
7000,200,200,200,103.33,31.07070707070707,1,1,Infinity,Infinity,-1,0.165,-1,200,0,1,-1,-1,-1,-1
7500,200,200,200,103.26,31.208955223880597,1,1,Infinity,Infinity,-1,0.19,-1,200,0,1,-1,-1,-1,-1
8000,200,200,200,103.305,31.407960199004975,1,1,Infinity,Infinity,-1,0.125,-1,200,0,1,-1,-1,-1,-1
8500,200,200,200,103.26,31.345,1,1,Infinity,Infinity,-1,0.16,-1,200,0,1,-1,-1,-1,-1
