tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,187,2802.3821989528797,3000.752808988764,1,1,Infinity,Infinity,-1,0,-1,187,0,1,-1,-1,-1,-1
100000,200,200,177,2647.115577889447,2986.5227272727275,1,1,Infinity,Infinity,-1,0,-1,177,0,1,-1,-1,-1,-1
150000,200,200,157,2300.884422110553,2928,1,1,Infinity,Infinity,-1,0,-1,157,0,1,-1,-1,-1,-1
200000,200,200,140,2086.0731707317073,2941.6206896551726,1,1,Infinity,Infinity,-1,0,-1,140,0,1,-1,-1,-1,-1
250000,200,200,121,1781.6616915422885,2926.7704918032787,1,1,Infinity,Infinity,-1,0,-1,121,0,1,-1,-1,-1,-1
300000,200,200,104,1578.2537313432836,3011.5714285714284,1,1,Infinity,Infinity,-1,0,-1,104,0,1,-1,-1,-1,-1
350000,200,200,104,1487.1632653061224,2905,1,1,Infinity,Infinity,-1,0,-1,104,0,1,-1,-1,-1,-1
400000,200,200,99,1439.475,2897.949494949495,1,1,Infinity,Infinity,-1,0,-1,99,0,1,-1,-1,-1,-1
450000,200,200,81,1242.3578431372548,2970.0588235294117,1,1,Infinity,Infinity,-1,0,-1,81,0,1,-1,-1,-1,-1
500000,200,200,93,1362.358585858586,2953.5494505494507,1,1,Infinity,Infinity,-1,0,-1,93,0,1,-1,-1,-1,-1
550000,200,200,97,1451.2906403940888,2936,1,1,Infinity,Infinity,-1,0,-1,97,0,1,-1,-1,-1,-1
600000,200,200,100,1467.8832487309644,2971.041237113402,1,1,Infinity,Infinity,-1,0,-1,100,0,1,-1,-1,-1,-1
650000,200,200,92,1407.3333333333333,2980.0833333333335,1,1,Infinity,Infinity,-1,0,-1,92,0,1,-1,-1,-1,-1
700000,200,200,100,1512.030303030303,3044.8367346938776,1,1,Infinity,Infinity,-1,0,-1,100,0,1,-1,-1,-1,-1
750000,200,200,92,1362.5678391959798,2968.934065934066,1,1,Infinity,Infinity,-1,0,-1,92,0,1,-1,-1,-1,-1
800000,200,200,90,1351.5373134328358,2974.4285714285716,1,1,Infinity,Infinity,-1,0,-1,90,0,1,-1,-1,-1,-1
850000,200,200,102,1487.7309644670052,2950.4747474747473,1,1,Infinity,Infinity,-1,0,-1,102,0,1,-1,-1,-1,-1
900000,200,200,94,1415.81592039801,2985.1052631578946,1,1,Infinity,Infinity,-1,0,-1,94,0,1,-1,-1,-1,-1
950000,200,200,100,1501.5742574257426,2963.7843137254904,1,1,Infinity,Infinity,-1,0,-1,100,0,1,-1,-1,-1,-1
1000000,200,200,101,1427.7121212121212,2845.4242424242425,1,1,Infinity,Infinity,-1,0,-1,101,0,1,-1,-1,-1,-1
1050000,200,200,97,1449.328282828283,3010.3684210526317,1,1,Infinity,Infinity,-1,0,-1,97,0,1,-1,-1,-1,-1
1100000,200,200,96,1419.7389162561576,2900.979797979798,1,1,Infinity,Infinity,-1,0,-1,96,0,1,-1,-1,-1,-1
1150000,200,200,109,1619.225,2961.7155963302753,1,1,Infinity,Infinity,-1,0,-1,109,0,1,-1,-1,-1,-1
1200000,200,200,107,1609.6716417910447,2986.3333333333335,1,1,Infinity,Infinity,-1,0,-1,107,0,1,-1,-1,-1,-1
1250000,200,200,105,1577.2835820895523,2981.301886792453,1,1,Infinity,Infinity,-1,0,-1,105,0,1,-1,-1,-1,-1
1300000,200,200,103,1501.969543147208,2949,1,1,Infinity,Infinity,-1,0,-1,103,0,1,-1,-1,-1,-1
1350000,200,200,103,1502.0402010050252,2920.6470588235293,1,1,Infinity,Infinity,-1,0,-1,103,0,1,-1,-1,-1,-1
1400000,200,200,107,1609.6617647058824,2948.945945945946,1,1,Infinity,Infinity,-1,0,-1,107,0,1,-1,-1,-1,-1
1450000,200,200,104,1530.4213197969543,2975.2772277227723,1,1,Infinity,Infinity,-1,0,-1,104,0,1,-1,-1,-1,-1
1500000,200,200,99,1466.40099009901,2922.80198019802,1,1,Infinity,Infinity,-1,0,-1,99,0,1,-1,-1,-1,-1
1550000,200,200,133,1929.7208121827412,3681.1747572815534,0.9985467463264976,0.9973214285714286,Infinity,Infinity,-1,0,-1,106,0,1.2524271844660195,-1,-1,-1,-1
1600000,200,200,122,1811.263959390863,3668.422680412371,0.997339593114241,0.9950824414231993,Infinity,Infinity,-1,0,-1,100,0,1.2371134020618557,-1,-1,-1,-1
1650000,200,200,119,1813.9368932038835,3764.131313131313,0.9959066100667071,0.9924071991001124,Infinity,Infinity,-1,0,-1,93,0,1.2626262626262625,-1,-1,-1,-1
1700000,200,200,126,1854.974358974359,3607.4,0.9949933735826829,0.9907002188183808,Infinity,Infinity,-1,0,-1,105,0,1.2,-1,-1,-1,-1
1750000,200,200,126,1933.658536585366,3729.8867924528304,0.9944253859348199,0.9896331738437002,Infinity,Infinity,-1,0,-1,101,0,1.2358490566037736,-1,-1,-1,-1
1800000,200,200,129,1886.7692307692307,3744.326530612245,0.9938812404394382,0.9886010362694301,Infinity,Infinity,-1,0,-1,103,0,1.2551020408163265,-1,-1,-1,-1
1850000,200,200,109,1683.8115942028985,3658.221052631579,0.993646931603136,0.9881163084702907,Infinity,Infinity,-1,0,-1,88,0,1.2421052631578948,-1,-1,-1,-1
1900000,200,200,128,1814.4484536082475,3695.1263157894737,0.9928872497365648,0.9866666666666667,Infinity,Infinity,-1,0,-1,101,0,1.2736842105263158,-1,-1,-1,-1
1950000,200,200,126,1840.7586206896551,3653.5098039215686,0.9924310455420141,0.9857899807321773,Infinity,Infinity,-1,0,-1,99,0,1.2549019607843137,-1,-1,-1,-1
2000000,200,200,129,1867.4343434343434,3615.2549019607845,0.991867884398849,0.9847202632816173,Infinity,Infinity,-1,0,-1,104,0,1.2450980392156863,-1,-1,-1,-1
2050000,200,200,129,1894.36,3633.3076923076924,0.9909678994263396,0.9830197338228546,Infinity,Infinity,-1,0,-1,104,0,1.25,-1,-1,-1,-1
2100000,200,200,121,1789.7313432835822,3736.875,0.9907076483202287,0.9824876515491693,Infinity,Infinity,-1,0,-1,95,0,1.2708333333333333,-1,-1,-1,-1
2150000,200,200,116,1753.585,3681.3368421052633,0.990225738887596,0.9815344031655309,Infinity,Infinity,-1,0,-1,95,0,1.2210526315789474,-1,-1,-1,-1
2200000,200,200,128,1847.3366834170854,3985.217391304348,0.9901057659501876,0.9812540400775694,Infinity,Infinity,-1,0,-1,93,0,1.3478260869565217,-1,-1,-1,-1
2250000,200,200,127,1955.5678391959798,3805.470588235294,0.9891014234875445,0.9793379717478389,Infinity,Infinity,-1,0,-1,103,0,1.2549019607843137,-1,-1,-1,-1
2300000,200,200,118,1819.373786407767,3559.5904761904762,0.9886931941726462,0.9785478547854786,Infinity,Infinity,-1,0,-1,99,0,1.2,-1,-1,-1,-1
2350000,200,200,142,2087.396907216495,3922.0679611650485,0.9883943781942078,0.9779842456069481,Infinity,Infinity,-1,0,-1,109,0,1.3106796116504855,-1,-1,-1,-1
2400000,200,200,120,1750.5615763546798,3474,0.9879103699843669,0.9770433405897486,Infinity,Infinity,-1,0,-1,99,0,1.2058823529411764,-1,-1,-1,-1
2450000,200,200,116,1718.1608040201006,3551.3125,0.9874412905860731,0.9761118663818217,Infinity,Infinity,-1,0,-1,97,0,1.1979166666666667,-1,-1,-1,-1
2500000,200,200,138,2009.0199004975125,3628.711711711712,0.9866933466733366,0.9747148288973384,Infinity,Infinity,-1,0,-1,110,0,1.2432432432432432,-1,-1,-1,-1
2550000,200,200,121,1743.9545454545455,3783.835164835165,0.9864612969685078,0.9742104279573911,Infinity,Infinity,-1,0,-1,93,0,1.3076923076923077,-1,-1,-1,-1
2600000,200,200,121,1857.7401960784314,3669.4854368932038,0.9861498509185342,0.9735973597359736,Infinity,Infinity,-1,0,-1,99,0,1.233009708737864,-1,-1,-1,-1
2650000,200,200,128,1835.5979381443299,3699.3541666666665,0.9860258710225663,0.9733333333333334,Infinity,Infinity,-1,0,-1,102,0,1.2604166666666667,-1,-1,-1,-1
2700000,200,200,123,1866.77,3650.4901960784314,0.9854508386618478,0.9722222222222222,Infinity,Infinity,-1,0,-1,102,0,1.2156862745098038,-1,-1,-1,-1
2750000,200,200,112,1680.180487804878,3615.021052631579,0.9849036013095671,0.9711153645380198,Infinity,Infinity,-1,0,-1,90,0,1.2210526315789474,-1,-1,-1,-1
2800000,200,200,137,2043.8131313131314,3844.504761904762,0.9847239592638913,0.9707792207792207,Infinity,Infinity,-1,0,-1,107,0,1.276190476190476,-1,-1,-1,-1
2850000,200,200,119,1754.091836734694,3571.1041666666665,0.9846356453028973,0.9705783456624075,Infinity,Infinity,-1,0,-1,100,0,1.1979166666666667,-1,-1,-1,-1
2900000,200,200,112,1728.3203883495146,3944.777777777778,0.9842186961021042,0.9696919509771448,Infinity,Infinity,-1,0,-1,84,0,1.3333333333333333,-1,-1,-1,-1
