tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,187,35.01069518716577,31.727272727272727,1,1,Infinity,Infinity,-1,0.34759358288770054,-1,187,0,1,-1,-1,-1,-1
1000,200,200,171,32.76,32.28654970760234,1,1,Infinity,Infinity,-1,0.4093567251461988,-1,171,0,1,-1,-1,-1,-1
1500,200,200,151,29.09452736318408,32.00662251655629,1,1,Infinity,Infinity,-1,0.41721854304635764,-1,151,0,1,-1,-1,-1,-1
2000,200,200,132,25.764705882352942,31.58823529411765,1,1,Infinity,Infinity,-1,0.4090909090909091,-1,132,0,1,-1,-1,-1,-1
2500,200,200,131,25.301507537688444,31.416666666666668,1,1,Infinity,Infinity,-1,0.3435114503816794,-1,131,0,1,-1,-1,-1,-1
3000,200,200,120,23.813725490196077,31.71311475409836,1,1,Infinity,Infinity,-1,0.3,-1,120,0,1,-1,-1,-1,-1
3500,200,200,111,21.974358974358974,32.075471698113205,1,1,Infinity,Infinity,-1,0.42342342342342343,-1,111,0,1,-1,-1,-1,-1
4000,200,200,103,20.895522388059703,31.701923076923077,1,1,Infinity,Infinity,-1,0.33980582524271846,-1,103,0,1,-1,-1,-1,-1
4500,200,200,108,21.915422885572138,32.055045871559635,1,1,Infinity,Infinity,-1,0.3333333333333333,-1,108,0,1,-1,-1,-1,-1
5000,200,200,99,20.44,32.51,1,1,Infinity,Infinity,-1,0.3434343434343434,-1,99,0,1,-1,-1,-1,-1
5500,200,200,97,20.105,32.395833333333336,1,1,Infinity,Infinity,-1,0.3711340206185567,-1,97,0,1,-1,-1,-1,-1
6000,200,200,111,22.00502512562814,31.72972972972973,1,1,Infinity,Infinity,-1,0.34234234234234234,-1,111,0,1,-1,-1,-1,-1
6500,200,200,104,21.29,32.51456310679612,1,1,Infinity,Infinity,-1,0.3076923076923077,-1,104,0,1,-1,-1,-1,-1
7000,200,200,97,19.765,31.714285714285715,1,1,Infinity,Infinity,-1,0.3711340206185567,-1,97,0,1,-1,-1,-1,-1
7500,200,200,103,20.702970297029704,31.438095238095237,1,1,Infinity,Infinity,-1,0.34951456310679613,-1,103,0,1,-1,-1,-1,-1
8000,200,200,93,19.22772277227723,31.526315789473685,1,1,Infinity,Infinity,-1,0.3978494623655914,-1,93,0,1,-1,-1,-1,-1
8500,200,200,113,22.297435897435896,32.1588785046729,1,1,Infinity,Infinity,-1,0.3805309734513274,-1,113,0,1,-1,-1,-1,-1
9000,200,200,92,18.960199004975124,31.612903225806452,1,1,Infinity,Infinity,-1,0.31521739130434784,-1,92,0,1,-1,-1,-1,-1
9500,200,200,86,17.865671641791046,31.517241379310345,1,1,Infinity,Infinity,-1,0.313953488372093,-1,86,0,1,-1,-1,-1,-1
10000,200,200,106,21.507462686567163,31.88785046728972,1,1,Infinity,Infinity,-1,0.42452830188679247,-1,106,0,1,-1,-1,-1,-1
10500,200,200,96,19.527638190954775,31.821052631578947,1,1,Infinity,Infinity,-1,0.2916666666666667,-1,96,0,1,-1,-1,-1,-1
11000,200,200,96,19.44723618090452,31.642105263157895,1,1,Infinity,Infinity,-1,0.4166666666666667,-1,96,0,1,-1,-1,-1,-1
11500,200,200,94,19.345,31.882978723404257,1,1,Infinity,Infinity,-1,0.3617021276595745,-1,94,0,1,-1,-1,-1,-1
12000,200,200,94,19.502487562189053,32.03157894736842,1,1,Infinity,Infinity,-1,0.3829787234042553,-1,94,0,1,-1,-1,-1,-1
12500,200,200,95,19.86934673366834,32.744680851063826,1,1,Infinity,Infinity,-1,0.37894736842105264,-1,95,0,1,-1,-1,-1,-1
13000,200,200,96,19.56281407035176,31.927835051546392,1,1,Infinity,Infinity,-1,0.2916666666666667,-1,96,0,1,-1,-1,-1,-1
13500,200,200,107,21.5678391959799,32.161904761904765,1,1,Infinity,Infinity,-1,0.32710280373831774,-1,107,0,1,-1,-1,-1,-1
14000,200,200,93,19.612745098039216,32.166666666666664,1,1,Infinity,Infinity,-1,0.3548387096774194,-1,93,0,1,-1,-1,-1,-1
14500,200,200,86,17.605,31.183908045977013,1,1,Infinity,Infinity,-1,0.3372093023255814,-1,86,0,1,-1,-1,-1,-1
15000,200,200,107,21.06153846153846,31.74757281553398,1,1,Infinity,Infinity,-1,0.308411214953271,-1,107,0,1,-1,-1,-1,-1
15500,200,200,120,23.41871921182266,37.705882352941174,0.9991923760297206,0.9985172004744959,Infinity,Infinity,-1,0.36,-1,100,0,1.1764705882352942,-1,-1,-1,-1
16000,200,200,113,22.83743842364532,38.8125,0.9982796371598374,0.9968281430219147,Infinity,Infinity,-1,0.32978723404255317,-1,94,0,1.2083333333333333,-1,-1,-1,-1
16500,200,200,135,25.563451776649746,40.47115384615385,0.9978758913670156,0.996080627099664,Infinity,Infinity,-1,0.37735849056603776,-1,106,0,1.2692307692307692,-1,-1,-1,-1
17000,200,200,122,23.899497487437184,36.93269230769231,0.9970544918998527,0.9945593035908596,Infinity,Infinity,-1,0.4811320754716981,-1,106,0,1.1634615384615385,-1,-1,-1,-1
17500,200,200,124,24.205882352941178,38.89423076923077,0.9962825278810409,0.9931216931216931,Infinity,Infinity,-1,0.42,-1,100,0,1.2211538461538463,-1,-1,-1,-1
18000,200,200,136,25.417525773195877,40.67326732673267,0.9952698942682248,0.9912393712960578,Infinity,Infinity,-1,0.4528301886792453,-1,106,0,1.297029702970297,-1,-1,-1,-1
18500,200,200,106,21.409756097560976,37.95652173913044,0.9949952657919654,0.9906871381827335,Infinity,Infinity,-1,0.25,-1,88,0,1.2173913043478262,-1,-1,-1,-1
19000,200,200,124,24.03553299492386,38.26732673267327,0.9948616600790514,0.9904270986745214,Infinity,Infinity,-1,0.34615384615384615,-1,104,0,1.198019801980198,-1,-1,-1,-1
19500,200,200,106,20.81188118811881,38.48275862068966,0.9944815195071869,0.9896659456861331,Infinity,Infinity,-1,0.35294117647058826,-1,85,0,1.2298850574712643,-1,-1,-1,-1
20000,200,200,136,26.175879396984925,42.833333333333336,0.9939932423976974,0.9887403237156932,Infinity,Infinity,-1,0.45098039215686275,-1,102,0,1.3235294117647058,-1,-1,-1,-1
20500,200,200,113,22.477386934673365,40.39325842696629,0.9937728937728938,0.98828125,Infinity,Infinity,-1,0.3076923076923077,-1,91,0,1.2696629213483146,-1,-1,-1,-1
21000,200,200,133,25.45771144278607,40.42857142857143,0.9930878322011679,0.9869867623962306,Infinity,Infinity,-1,0.3076923076923077,-1,104,0,1.2571428571428571,-1,-1,-1,-1
21500,200,200,135,25.766497461928935,41.23529411764706,0.9926641825803446,0.9861811800833516,Infinity,Infinity,-1,0.42857142857142855,-1,105,0,1.2745098039215685,-1,-1,-1,-1
22000,200,200,127,24.34170854271357,36.648148148148145,0.9923750995789234,0.9856438825798157,Infinity,Infinity,-1,0.3669724770642202,-1,109,0,1.1759259259259258,-1,-1,-1,-1
22500,200,200,122,24.4,39.90291262135922,0.9916592526690391,0.9842767295597484,Infinity,Infinity,-1,0.3469387755102041,-1,98,0,1.2621359223300972,-1,-1,-1,-1
23000,200,200,131,24.884422110552762,39.90291262135922,0.991078228701991,0.9831725836240509,Infinity,Infinity,-1,0.3883495145631068,-1,103,0,1.2621359223300972,-1,-1,-1,-1
