tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,191,2797.3403141361255,2927.247252747253,1,1,Infinity,Infinity,-1,0.193717277486911,-1,191,0,1,-1,-1,-1,-1
100000,200,200,164,2431.1534653465346,2949.6867469879517,1,1,Infinity,Infinity,-1,0,-1,164,0,1,-1,-1,-1,-1
150000,200,200,162,2409.348484848485,2972.7625,1,1,Infinity,Infinity,-1,0,-1,162,0,1,-1,-1,-1,-1
200000,200,200,134,1979.455,2944.783582089552,1,1,Infinity,Infinity,-1,0,-1,134,0,1,-1,-1,-1,-1
250000,200,200,126,1930.239024390244,3010.687022900763,1,1,Infinity,Infinity,-1,0,-1,126,0,1,-1,-1,-1,-1
300000,200,200,111,1593.0609137055837,2895.0185185185187,1,1,Infinity,Infinity,-1,0,-1,111,0,1,-1,-1,-1,-1
350000,200,200,105,1551.7029702970297,2918.2803738317757,1,1,Infinity,Infinity,-1,0,-1,105,0,1,-1,-1,-1,-1
400000,200,200,89,1310.1356783919598,2950.2613636363635,1,1,Infinity,Infinity,-1,0,-1,89,0,1,-1,-1,-1,-1
450000,200,200,90,1327.029702970297,2901.358695652174,1,1,Infinity,Infinity,-1,0,-1,90,0,1,-1,-1,-1,-1
500000,200,200,84,1243.52,2947.809523809524,1,1,Infinity,Infinity,-1,0,-1,84,0,1,-1,-1,-1,-1
550000,200,200,87,1284.9949748743718,2960.720930232558,1,1,Infinity,Infinity,-1,0,-1,87,0,1,-1,-1,-1,-1
600000,200,200,100,1411.53807106599,2855.0515463917527,1,1,Infinity,Infinity,-1,0,-1,100,0,1,-1,-1,-1,-1
650000,200,200,91,1371.6341463414635,2917.0104166666665,1,1,Infinity,Infinity,-1,0,-1,91,0,1,-1,-1,-1,-1
700000,200,200,112,1662.4285714285713,3006.175925925926,1,1,Infinity,Infinity,-1,0,-1,112,0,1,-1,-1,-1,-1
750000,200,200,108,1578.72,2912.6481481481483,1,1,Infinity,Infinity,-1,0,-1,108,0,1,-1,-1,-1,-1
800000,200,200,111,1643.480198019802,2927.1327433628317,1,1,Infinity,Infinity,-1,0,-1,111,0,1,-1,-1,-1,-1
850000,200,200,113,1686.5532994923858,3009.6454545454544,1,1,Infinity,Infinity,-1,0,-1,113,0,1,-1,-1,-1,-1
900000,200,200,105,1567.029702970297,2947.2429906542056,1,1,Infinity,Infinity,-1,0,-1,105,0,1,-1,-1,-1,-1
950000,200,200,100,1517.9651741293533,3009.4059405940593,1,1,Infinity,Infinity,-1,0,-1,100,0,1,-1,-1,-1,-1
1000000,200,200,91,1357.17,2970.5494505494507,1,1,Infinity,Infinity,-1,0,-1,91,0,1,-1,-1,-1,-1
1050000,200,200,100,1441.642857142857,2931.6354166666665,1,1,Infinity,Infinity,-1,0,-1,100,0,1,-1,-1,-1,-1
1100000,200,200,103,1540.2920792079208,2952.019047619048,1,1,Infinity,Infinity,-1,0,-1,103,0,1,-1,-1,-1,-1
1150000,200,200,91,1339.3417085427136,2949.1111111111113,1,1,Infinity,Infinity,-1,0,-1,91,0,1,-1,-1,-1,-1
1200000,200,200,107,1608.1980198019803,2969.321100917431,1,1,Infinity,Infinity,-1,0,-1,107,0,1,-1,-1,-1,-1
1250000,200,200,82,1188.46,2885.512195121951,1,1,Infinity,Infinity,-1,0,-1,82,0,1,-1,-1,-1,-1
1300000,200,200,105,1576.15,2990.961904761905,1,1,Infinity,Infinity,-1,0,-1,105,0,1,-1,-1,-1,-1
1350000,200,200,104,1577.9405940594058,2995.8490566037735,1,1,Infinity,Infinity,-1,0,-1,104,0,1,-1,-1,-1,-1
1400000,200,200,93,1375.4278606965174,2929.095744680851,1,1,Infinity,Infinity,-1,0,-1,93,0,1,-1,-1,-1,-1
1450000,200,200,99,1458.7185929648242,2950.4285714285716,1,1,Infinity,Infinity,-1,0,-1,99,0,1,-1,-1,-1,-1
1500000,200,200,103,1487.0969387755101,2932.717171717172,1,1,Infinity,Infinity,-1,0,-1,103,0,1,-1,-1,-1,-1
1550000,200,200,129,1904.96,2944.2403100775196,0.999031007751938,0.9896510940272029,Infinity,Infinity,-1,0,-1,129,0,1.2248062015503876,-1,-1,-1,-1
1600000,200,200,141,2031.7788944723618,2951.635714285714,0.9985917696761071,0.9801249290176036,Infinity,Infinity,-1,0,-1,141,0,1.207142857142857,-1,-1,-1,-1
1650000,200,200,134,2007.6616915422885,2946.822222222222,0.9971177184466019,0.9715613891167624,Infinity,Infinity,-1,0,-1,134,0,1.1851851851851851,-1,-1,-1,-1
1700000,200,200,127,1893.402985074627,2965.6328125,0.9961725305461504,0.9630118890356671,Infinity,Infinity,-1,0,-1,127,0,1.2265625,-1,-1,-1,-1
1750000,200,200,150,2204.07960199005,2918.2317880794703,0.9952816700028596,0.9542682926829268,Infinity,Infinity,-1,0,-1,150,0,1.218543046357616,-1,-1,-1,-1
1800000,200,200,120,1731.430693069307,2839.245901639344,0.9948582545858811,0.9477575160177427,Infinity,Infinity,-1,0,-1,120,0,1.2377049180327868,-1,-1,-1,-1
1850000,200,200,129,1901.2908163265306,2979.16,0.9941829004329005,0.941190533110208,Infinity,Infinity,-1,0,-1,129,0,1.224,-1,-1,-1,-1
1900000,200,200,122,1795.175879396985,2970.1404958677685,0.9936767224344618,0.9365706319702602,Infinity,Infinity,-1,0,-1,122,0,1.1735537190082646,-1,-1,-1,-1
1950000,200,200,131,1921.1969696969697,2932.6046511627906,0.9931955321607395,0.931423415294383,Infinity,Infinity,-1,0,-1,131,0,1.2015503875968991,-1,-1,-1,-1
2000000,200,200,114,1726.590243902439,2994.798319327731,0.9926194645984489,0.9266256590509666,Infinity,Infinity,-1,0,-1,114,0,1.1932773109243697,-1,-1,-1,-1
2050000,200,200,124,1869.3497536945813,2926.0236220472443,0.9924362571672564,0.9213507159649498,Infinity,Infinity,-1,0,-1,124,0,1.2598425196850394,-1,-1,-1,-1
2100000,200,200,128,1823.5736040609138,2890.344,0.9916607100309746,0.9150707743547044,Infinity,Infinity,-1,0,-1,128,0,1.248,-1,-1,-1,-1
2150000,200,200,120,1753.6224489795918,2922.2155172413795,0.9911525029103608,0.9111788617886178,Infinity,Infinity,-1,0,-1,120,0,1.206896551724138,-1,-1,-1,-1
2200000,200,200,127,1868.134328358209,2952.3828125,0.9910135365714936,0.9080824088748018,Infinity,Infinity,-1,0,-1,127,0,1.1796875,-1,-1,-1,-1
2250000,200,200,121,1777.4676616915424,2919.565573770492,0.9906583629893239,0.9054158607350097,Infinity,Infinity,-1,0,-1,121,0,1.1639344262295082,-1,-1,-1,-1
