tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,183,35.351063829787236,31.32369942196532,1,1,Infinity,Infinity,-1,0.25136612021857924,-1,183,0,1,-1,-1,-1,-1
1000,200,200,166,32.31658291457286,31.604790419161677,1,1,Infinity,Infinity,-1,0.28313253012048195,-1,166,0,1,-1,-1,-1,-1
1500,200,200,151,29.47761194029851,31.093333333333334,1,1,Infinity,Infinity,-1,0.2913907284768212,-1,151,0,1,-1,-1,-1,-1
2000,200,200,147,29.248756218905474,31.751677852348994,1,1,Infinity,Infinity,-1,0.25170068027210885,-1,147,0,1,-1,-1,-1,-1
2500,200,200,128,26.202970297029704,32.04651162790697,1,1,Infinity,Infinity,-1,0.3515625,-1,128,0,1,-1,-1,-1,-1
3000,200,200,102,21.247524752475247,31.194174757281555,1,1,Infinity,Infinity,-1,0.3627450980392157,-1,102,0,1,-1,-1,-1,-1
3500,200,200,102,21.2,31.281553398058254,1,1,Infinity,Infinity,-1,0.3137254901960784,-1,102,0,1,-1,-1,-1,-1
4000,200,200,94,19.51530612244898,31.641304347826086,1,1,Infinity,Infinity,-1,0.35106382978723405,-1,94,0,1,-1,-1,-1,-1
4500,200,200,96,20.295566502463053,31.177083333333332,1,1,Infinity,Infinity,-1,0.375,-1,96,0,1,-1,-1,-1,-1
5000,200,200,91,19.525,31.76923076923077,1,1,Infinity,Infinity,-1,0.32967032967032966,-1,91,0,1,-1,-1,-1,-1
5500,200,200,92,19.55778894472362,31.49462365591398,1,1,Infinity,Infinity,-1,0.34782608695652173,-1,92,0,1,-1,-1,-1,-1
6000,200,200,88,18.925742574257427,31.40909090909091,1,1,Infinity,Infinity,-1,0.4090909090909091,-1,88,0,1,-1,-1,-1,-1
6500,200,200,100,20.715,30.980198019801982,1,1,Infinity,Infinity,-1,0.31,-1,100,0,1,-1,-1,-1,-1
7000,200,200,99,21.33,32.64646464646464,1,1,Infinity,Infinity,-1,0.31313131313131315,-1,99,0,1,-1,-1,-1,-1
7500,200,200,88,18.797029702970296,30.84269662921348,1,1,Infinity,Infinity,-1,0.2727272727272727,-1,88,0,1,-1,-1,-1,-1
8000,200,200,86,18.35175879396985,31.435294117647057,1,1,Infinity,Infinity,-1,0.26744186046511625,-1,86,0,1,-1,-1,-1,-1
8500,200,200,85,18.686567164179106,32.116279069767444,1,1,Infinity,Infinity,-1,0.35294117647058826,-1,85,0,1,-1,-1,-1,-1
9000,200,200,102,21.06153846153846,31.82,1,1,Infinity,Infinity,-1,0.3333333333333333,-1,102,0,1,-1,-1,-1,-1
9500,200,200,85,18.28358208955224,31.238095238095237,1,1,Infinity,Infinity,-1,0.3058823529411765,-1,85,0,1,-1,-1,-1,-1
10000,200,200,85,18.54679802955665,31.367816091954023,1,1,Infinity,Infinity,-1,0.38823529411764707,-1,85,0,1,-1,-1,-1,-1
10500,200,200,92,18.979591836734695,31.078651685393258,1,1,Infinity,Infinity,-1,0.30434782608695654,-1,92,0,1,-1,-1,-1,-1
11000,200,200,99,20.37,30.747474747474747,1,1,Infinity,Infinity,-1,0.32323232323232326,-1,99,0,1,-1,-1,-1,-1
11500,200,200,104,22.102941176470587,31.897196261682243,1,1,Infinity,Infinity,-1,0.3269230769230769,-1,104,0,1,-1,-1,-1,-1
12000,200,200,100,20.413265306122447,31.112244897959183,1,1,Infinity,Infinity,-1,0.28,-1,100,0,1,-1,-1,-1,-1
12500,200,200,102,20.954773869346734,30.93069306930693,1,1,Infinity,Infinity,-1,0.3137254901960784,-1,102,0,1,-1,-1,-1,-1
13000,200,200,83,18.514705882352942,31.848837209302324,1,1,Infinity,Infinity,-1,0.3855421686746988,-1,83,0,1,-1,-1,-1,-1
13500,200,200,100,20.67676767676768,31.459183673469386,1,1,Infinity,Infinity,-1,0.37,-1,100,0,1,-1,-1,-1,-1
14000,200,200,91,19.27363184079602,30.97826086956522,1,1,Infinity,Infinity,-1,0.45054945054945056,-1,91,0,1,-1,-1,-1,-1
14500,200,200,90,19.01492537313433,30.91111111111111,1,1,Infinity,Infinity,-1,0.4666666666666667,-1,90,0,1,-1,-1,-1,-1
15000,200,200,96,20.301507537688444,31.873684210526317,1,1,Infinity,Infinity,-1,0.28125,-1,96,0,1,-1,-1,-1,-1
15500,200,200,120,23.97029702970297,31.516393442622952,0.9983855343881175,0.9876619370758791,Infinity,Infinity,-1,0.425,-1,120,0,1.2377049180327868,-1,-1,-1,-1
16000,200,200,115,22.683673469387756,31.4375,0.9981220657276996,0.9803220035778175,Infinity,Infinity,-1,0.3739130434782609,-1,115,0,1.1964285714285714,-1,-1,-1,-1
16500,200,200,128,25.457286432160803,31.357142857142858,0.9974199423281226,0.9738505747126437,Infinity,Infinity,-1,0.4296875,-1,128,0,1.1666666666666667,-1,-1,-1,-1
17000,200,200,139,27.31,31.292857142857144,0.996464869642068,0.9629834254143647,Infinity,Infinity,-1,0.2733812949640288,-1,139,0,1.2642857142857142,-1,-1,-1,-1
17500,200,200,130,25.707920792079207,31.196969696969695,0.995136604205407,0.9552238805970149,Infinity,Infinity,-1,0.3384615384615385,-1,130,0,1.1893939393939394,-1,-1,-1,-1
18000,200,200,124,24.92,31.40650406504065,0.9944374913085802,0.9496774193548387,Infinity,Infinity,-1,0.3064516129032258,-1,124,0,1.170731707317073,-1,-1,-1,-1
18500,200,200,111,21.935323383084576,31.044642857142858,0.9935064935064936,0.9430649611236519,Infinity,Infinity,-1,0.27927927927927926,-1,111,0,1.1964285714285714,-1,-1,-1,-1
19000,200,200,112,23.034825870646767,31.50877192982456,0.9928881864875543,0.9380638868568641,Infinity,Infinity,-1,0.26785714285714285,-1,112,0,1.1929824561403508,-1,-1,-1,-1
19500,200,200,142,27.52820512820513,31.66176470588235,0.9920390344119158,0.9313193297144206,Infinity,Infinity,-1,0.2887323943661972,-1,142,0,1.2058823529411764,-1,-1,-1,-1
20000,200,200,145,28.22772277227723,31.66216216216216,0.9912390488110138,0.9233751425313569,Infinity,Infinity,-1,0.2206896551724138,-1,145,0,1.25,-1,-1,-1,-1
20500,200,200,135,27.423645320197043,31.656934306569344,0.990845844013182,0.9199469261388766,Infinity,Infinity,-1,0.3333333333333333,-1,135,0,1.1605839416058394,-1,-1,-1,-1
21000,200,200,115,23.207070707070706,31.79824561403509,0.9905851507567632,0.9158757549611735,Infinity,Infinity,-1,0.2782608695652174,-1,115,0,1.2105263157894737,-1,-1,-1,-1
21500,200,200,123,24.955445544554454,31.85483870967742,0.9902246014197603,0.9117647058823529,Infinity,Infinity,-1,0.21951219512195122,-1,123,0,1.2016129032258065,-1,-1,-1,-1
22000,200,200,132,25.984615384615385,31.598425196850393,0.989872553482021,0.9087374667485165,Infinity,Infinity,-1,0.3106060606060606,-1,132,0,1.1653543307086613,-1,-1,-1,-1
22500,200,200,120,23.675,31.270491803278688,0.9892078326657766,0.9049710521062089,Infinity,Infinity,-1,0.425,-1,120,0,1.1721311475409837,-1,-1,-1,-1
23000,200,200,125,25.238805970149254,31.782258064516128,0.9884644683861138,0.9004480810442237,Infinity,Infinity,-1,0.344,-1,125,0,1.2096774193548387,-1,-1,-1,-1
23500,200,200,103,21.72,31.76923076923077,0.9881776547023112,0.8984151231621157,Infinity,Infinity,-1,0.25,-1,104,0,1.1634615384615385,-1,-1,-1,-1
24000,200,200,125,25,32.176,0.9876942329752841,0.8948153674002238,Infinity,Infinity,-1,0.3709677419354839,-1,124,0,1.2,-1,-1,-1,-1
24500,200,200,130,26.119402985074625,31.62121212121212,0.9876404494382023,0.8929741536221333,Infinity,Infinity,-1,0.35384615384615387,-1,130,0,1.1666666666666667,-1,-1,-1,-1
25000,200,200,121,24.435,31.71900826446281,0.9871871871871872,0.8899376669634906,Infinity,Infinity,-1,0.3305785123966942,-1,122,0,1.1735537190082646,-1,-1,-1,-1
25500,200,200,124,24.776119402985074,31.588709677419356,0.9868511431655382,0.8867398501481094,Infinity,Infinity,-1,0.29838709677419356,-1,123,0,1.2096774193548387,-1,-1,-1,-1
26000,200,200,132,25.98,31.424242424242426,0.9862380906553748,0.8823028444898654,Infinity,Infinity,-1,0.29545454545454547,-1,132,0,1.2424242424242424,-1,-1,-1,-1
26500,200,200,117,24.01492537313433,31.508474576271187,0.9859327794561934,0.8797795959258641,Infinity,Infinity,-1,0.3418803418803419,-1,117,0,1.2118644067796611,-1,-1,-1,-1
27000,200,200,125,24.53233830845771,31.248,0.9859167979245808,0.8776578344782466,Infinity,Infinity,-1,0.312,-1,125,0,1.184,-1,-1,-1,-1
27500,200,200,122,24.66331658291457,31.768595041322314,0.9853529839883551,0.8744186046511628,Infinity,Infinity,-1,0.39344262295081966,-1,122,0,1.2231404958677685,-1,-1,-1,-1
