tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,200,2944.478947368421,2941.4315789473685,1,1,Infinity,Infinity,-1,0.005,-1,200,0,1,-1,-1,-1,-1
100000,200,200,200,2911.0913705583757,2908.0101522842638,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
150000,200,200,200,2933.2178217821784,2930.1732673267325,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
200000,200,200,200,2990.929648241206,2987.884422110553,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
250000,200,200,200,2940.323383084577,2937.283582089552,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
300000,200,200,200,2924.9004975124376,2921.820895522388,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
350000,200,200,200,2944.89898989899,2941.8282828282827,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
400000,200,200,200,2930.373134328358,2927.3084577114428,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
450000,200,200,200,2927,2923.955,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
500000,200,200,200,2982.5,2979.455,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
550000,200,200,200,2960,2956.9,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
600000,200,200,200,2930.6281407035176,2927.577889447236,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
650000,200,200,200,2950.5,2947.43,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
700000,200,200,200,2955,2951.95,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
750000,200,200,200,2991.0696517412935,2988.0049751243782,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
800000,200,200,200,2975,2971.925,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
850000,200,200,200,2963.128078817734,2960.0591133004928,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
900000,200,200,200,2906.522842639594,2903.4619289340103,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
950000,200,200,200,2949.7236180904524,2946.678391959799,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1000000,200,200,200,2964.5,2961.44,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1050000,200,200,200,2936.3432835820895,2933.2885572139303,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1100000,200,200,200,2977.222222222222,2974.1717171717173,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1150000,200,200,200,2950.5445544554455,2947.4851485148515,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1200000,200,200,200,2975.854271356784,2972.819095477387,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1250000,200,200,200,2948.5643564356437,2945.509900990099,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1300000,200,200,200,2934.145728643216,2931.1306532663316,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1350000,200,200,200,2946.791044776119,2943.726368159204,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1400000,200,200,200,2957.020202020202,2953.949494949495,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1450000,200,200,200,2942.8109452736317,2939.7213930348257,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1500000,200,200,200,2967,2963.935,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1550000,200,200,200,2931,2927.94,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1600000,200,200,200,2944.6984924623116,2941.643216080402,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1650000,200,200,200,2943.3084577114428,2940.2537313432836,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1700000,200,200,200,2984,2980.955,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1750000,200,200,200,2910.5,2907.455,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1800000,200,200,200,2990.5,2987.435,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1850000,200,200,200,2954.7512437810947,2951.7114427860697,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1900000,200,200,200,2905.5050505050503,2902.4444444444443,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1950000,200,200,200,3013.995,3010.925,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
