tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,199,34.435483870967744,31.171122994652407,1,1,Infinity,Infinity,-1,0.34673366834170855,-1,200,0,1,-1,-1,-1,-1
1000,200,200,200,34.375,31.12562814070352,1,1,Infinity,Infinity,-1,0.36,-1,200,0,1,-1,-1,-1,-1
1500,200,200,200,34.78894472361809,31.53731343283582,1,1,Infinity,Infinity,-1,0.3582089552238806,-1,200,0,1,-1,-1,-1,-1
2000,200,200,200,35.13930348258707,31.899497487437184,1,1,Infinity,Infinity,-1,0.40703517587939697,-1,200,0,1,-1,-1,-1,-1
2500,200,200,200,34.39,31.139303482587064,1,1,Infinity,Infinity,-1,0.425,-1,200,0,1,-1,-1,-1,-1
3000,200,200,200,35.09452736318408,31.81094527363184,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
3500,200,200,200,34.01005025125628,30.78787878787879,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
4000,200,200,200,34.81909547738694,31.575,1,1,Infinity,Infinity,-1,0.375,-1,200,0,1,-1,-1,-1,-1
4500,200,200,200,35.01990049751244,31.741293532338307,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
5000,200,200,200,34.99,31.8,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
5500,200,200,201,34.17171717171717,30.895,1,1,Infinity,Infinity,-1,0.417910447761194,-1,200,0,1,-1,-1,-1,-1
6000,200,200,199,34.63861386138614,31.39,1,1,Infinity,Infinity,-1,0.3768844221105528,-1,200,0,1,-1,-1,-1,-1
6500,200,200,200,34.78,31.56,1,1,Infinity,Infinity,-1,0.395,-1,200,0,1,-1,-1,-1,-1
7000,200,200,200,34.45454545454545,31.136363636363637,1,1,Infinity,Infinity,-1,0.375,-1,200,0,1,-1,-1,-1,-1
7500,200,200,200,34.575,31.36,1,1,Infinity,Infinity,-1,0.43,-1,200,0,1,-1,-1,-1,-1
8000,200,200,200,34.794117647058826,31.5,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
8500,200,200,200,34.7,31.455,1,1,Infinity,Infinity,-1,0.36,-1,200,0,1,-1,-1,-1,-1
9000,200,200,200,34.43434343434343,31.269035532994923,1,1,Infinity,Infinity,-1,0.34,-1,200,0,1,-1,-1,-1,-1
9500,200,200,200,34.265,30.945,1,1,Infinity,Infinity,-1,0.445,-1,200,0,1,-1,-1,-1,-1
10000,200,200,200,35.2636815920398,31.955445544554454,1,1,Infinity,Infinity,-1,0.46,-1,200,0,1,-1,-1,-1,-1
10500,200,200,200,34.84,31.5678391959799,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
11000,200,200,200,34.45728643216081,31.241206030150753,1,1,Infinity,Infinity,-1,0.35,-1,200,0,1,-1,-1,-1,-1
11500,200,200,200,34.482412060301506,31.243781094527364,1,1,Infinity,Infinity,-1,0.44776119402985076,-1,200,0,1,-1,-1,-1,-1
12000,200,200,200,34.47029702970297,31.119402985074625,1,1,Infinity,Infinity,-1,0.3768844221105528,-1,200,0,1,-1,-1,-1,-1
12500,200,200,200,34.834170854271356,31.616161616161616,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
13000,200,200,200,34.79601990049751,31.53731343283582,1,1,Infinity,Infinity,-1,0.385,-1,200,0,1,-1,-1,-1,-1
13500,200,200,200,35.12626262626262,31.899497487437184,1,1,Infinity,Infinity,-1,0.4,-1,200,0,1,-1,-1,-1,-1
14000,200,200,200,34.50990099009901,31.218905472636816,1,1,Infinity,Infinity,-1,0.405,-1,200,0,1,-1,-1,-1,-1
14500,200,200,200,34.85858585858586,31.5678391959799,1,1,Infinity,Infinity,-1,0.375,-1,200,0,1,-1,-1,-1,-1
15000,200,200,200,34.635,31.35175879396985,1,1,Infinity,Infinity,-1,0.46,-1,200,0,1,-1,-1,-1,-1
15500,200,200,200,34.26237623762376,31.054187192118228,1,1,Infinity,Infinity,-1,0.365,-1,200,0,1,-1,-1,-1,-1
16000,200,200,200,34.7979797979798,31.59090909090909,1,1,Infinity,Infinity,-1,0.395,-1,200,0,1,-1,-1,-1,-1
16500,200,200,200,34.34653465346535,31.113861386138613,1,1,Infinity,Infinity,-1,0.32,-1,200,0,1,-1,-1,-1,-1
17000,200,200,200,34.35175879396985,31.040201005025125,1,1,Infinity,Infinity,-1,0.42,-1,200,0,1,-1,-1,-1,-1
17500,200,200,200,34.715,31.522613065326635,1,1,Infinity,Infinity,-1,0.36,-1,200,0,1,-1,-1,-1,-1
18000,200,200,200,34.850746268656714,31.599009900990097,1,1,Infinity,Infinity,-1,0.345,-1,200,0,1,-1,-1,-1,-1
18500,200,200,200,35.01,31.763819095477388,1,1,Infinity,Infinity,-1,0.365,-1,200,0,1,-1,-1,-1,-1
19000,200,200,200,35,31.758793969849247,1,1,Infinity,Infinity,-1,0.4,-1,200,0,1,-1,-1,-1,-1
19500,200,200,200,34.75,31.465,1,1,Infinity,Infinity,-1,0.39,-1,200,0,1,-1,-1,-1,-1
20000,200,200,200,34.62814070351759,31.4,1,1,Infinity,Infinity,-1,0.405,-1,200,0,1,-1,-1,-1,-1
20500,200,200,200,35.09405940594059,31.83582089552239,1,1,Infinity,Infinity,-1,0.385,-1,200,0,1,-1,-1,-1,-1
21000,200,200,200,34.805,31.55,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
21500,200,200,200,34.51269035532995,31.262626262626263,1,1,Infinity,Infinity,-1,0.45,-1,200,0,1,-1,-1,-1,-1
22000,200,200,200,35.103960396039604,31.861386138613863,1,1,Infinity,Infinity,-1,0.395,-1,200,0,1,-1,-1,-1,-1
22500,200,200,200,34.98009950248756,31.671641791044777,1,1,Infinity,Infinity,-1,0.485,-1,200,0,1,-1,-1,-1,-1
23000,200,200,200,34.535353535353536,31.331658291457288,1,1,Infinity,Infinity,-1,0.39800995024875624,-1,200,0,1,-1,-1,-1,-1
23500,200,200,200,34.61691542288557,31.335,1,1,Infinity,Infinity,-1,0.4271356783919598,-1,200,0,1,-1,-1,-1,-1
24000,200,200,200,34.81094527363184,31.56,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
24500,200,200,200,34.55778894472362,31.28643216080402,1,1,Infinity,Infinity,-1,0.425,-1,200,0,1,-1,-1,-1,-1
25000,200,200,200,34.14427860696517,30.865671641791046,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
25500,200,200,200,34.14070351758794,30.915,1,1,Infinity,Infinity,-1,0.4,-1,200,0,1,-1,-1,-1,-1
26000,200,200,200,34.58,31.27,1,1,Infinity,Infinity,-1,0.405,-1,200,0,1,-1,-1,-1,-1
26500,200,200,200,34.675,31.417910447761194,1,1,Infinity,Infinity,-1,0.44776119402985076,-1,200,0,1,-1,-1,-1,-1
27000,200,200,200,33.97,30.69191919191919,1,1,Infinity,Infinity,-1,0.44221105527638194,-1,200,0,1,-1,-1,-1,-1
27500,200,200,200,34.705,31.46268656716418,1,1,Infinity,Infinity,-1,0.395,-1,200,0,1,-1,-1,-1,-1
28000,200,200,200,34.64179104477612,31.44,1,1,Infinity,Infinity,-1,0.35,-1,200,0,1,-1,-1,-1,-1
28500,200,200,200,34.79396984924623,31.53,1,1,Infinity,Infinity,-1,0.365,-1,200,0,1,-1,-1,-1,-1
