tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
50000,200,200,200,2940.4550264550267,2937.3597883597886,1,1,Infinity,Infinity,-1,0.005,-1,200,0,1,-1,-1,-1,-1
100000,200,200,200,2959.726368159204,2956.636815920398,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
150000,200,200,200,2980.757575757576,2977.691919191919,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
200000,200,200,200,2871.831683168317,2868.80198019802,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
250000,200,200,200,2932.638190954774,2929.5577889447236,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
300000,200,200,200,2941,2937.95,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
350000,200,200,200,2920.577889447236,2917.5175879396984,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
400000,200,200,200,2939.8258706467664,2936.766169154229,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
450000,200,200,200,2970.9898477157362,2967.9340101522844,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
500000,200,200,200,2921.256157635468,2918.1871921182264,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
550000,200,200,200,2956.5,2953.42,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
600000,200,200,200,2948.5,2945.425,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
650000,200,200,200,2957.261306532663,2954.2060301507536,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
700000,200,200,200,2974,2970.95,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
750000,200,200,200,2984.70297029703,2981.6237623762377,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
800000,200,200,200,2927.613065326633,2924.547738693467,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
850000,200,200,200,2948,2944.925,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
900000,200,200,200,2963.7064676616915,2960.6169154228855,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
950000,200,200,200,2959.5,2956.455,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1000000,200,200,200,2902.4874371859296,2899.4371859296484,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1050000,200,200,200,2942.6237623762377,2939.559405940594,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1100000,200,200,200,2952.236180904523,2949.175879396985,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1150000,200,200,200,2962.070707070707,2959.0151515151515,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1200000,200,200,200,2924.095477386935,2921.0502512562816,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1250000,200,200,200,2957.7363184079604,2954.686567164179,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1300000,200,200,200,2932.860696517413,2929.7860696517414,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1350000,200,200,200,2940,2936.915,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1400000,200,200,200,2956.5,2953.4,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1450000,200,200,200,2953.743718592965,2950.668341708543,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1500000,200,200,200,2999.5273631840796,2996.4726368159204,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1550000,200,200,200,2985.710659898477,2982.6548223350255,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1600000,200,200,200,2982.7227722772277,2979.6237623762377,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1650000,200,200,200,2956,2952.955,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1700000,200,200,200,2944.5,2941.455,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1750000,200,200,200,3009.0201005025124,3005.969849246231,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1800000,200,200,200,3025.89552238806,3022.8009950248756,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1850000,200,200,200,2986.592039800995,2983.502487562189,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1900000,200,200,200,3016,3012.95,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
1950000,200,200,200,2934.64824120603,2931.577889447236,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2000000,200,200,200,2947.2885572139303,2944.2487562189053,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2050000,200,200,200,2903,2899.93,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2100000,200,200,200,2928,2924.975,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2150000,200,200,200,2994,2990.945,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2200000,200,200,200,2970.326633165829,2967.291457286432,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2250000,200,200,200,2966.8811881188117,2963.8118811881186,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2300000,200,200,200,2989.924623115578,2986.8693467336684,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2350000,200,200,200,2949.221105527638,2946.140703517588,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2400000,200,200,200,2956.2437810945275,2953.1641791044776,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2450000,200,200,200,2923.5,2920.45,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2500000,200,200,200,2940.678391959799,2937.613065326633,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2550000,200,200,200,2971.3366336633662,2968.262376237624,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2600000,200,200,200,2978.7373737373737,2975.691919191919,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2650000,200,200,200,2995,2991.925,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2700000,200,200,200,2962.6354679802957,2959.56157635468,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2750000,200,200,200,2965.714285714286,2962.668367346939,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2800000,200,200,200,2974.1542288557216,2971.1094527363184,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2850000,200,200,200,2948.939393939394,2945.873737373737,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2900000,200,200,200,2978.267326732673,2975.1831683168316,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
2950000,200,200,200,2969.5,2966.435,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3000000,200,200,200,2983,2979.97,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3050000,200,200,200,2959.726368159204,2956.6417910447763,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3100000,200,200,200,2949.7236180904524,2946.688442211055,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3150000,200,200,200,2988.6633663366338,2985.59900990099,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3200000,200,200,200,2986.313131313131,2983.2727272727275,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3250000,200,200,200,2932.5,2929.45,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3300000,200,200,200,2963,2959.95,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3350000,200,200,200,2922.412935323383,2919.3034825870645,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3400000,200,200,200,2951.2311557788944,2948.1557788944724,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3450000,200,200,200,2968.18407960199,2965.0995024875624,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3500000,200,200,200,2952.979797979798,2949.919191919192,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3550000,200,200,200,2986.1881188118814,2983.1039603960394,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3600000,200,200,200,3005.5,3002.425,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3650000,200,200,200,2951.4646464646466,2948.40404040404,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3700000,200,200,200,2953.2758620689656,2950.2364532019706,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3750000,200,200,200,2982.889447236181,2979.819095477387,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3800000,200,200,200,2974.3467336683416,2971.2763819095476,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3850000,200,200,200,2939.975369458128,2936.911330049261,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3900000,200,200,200,2931.2626262626263,2928.191919191919,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
3950000,200,200,200,2939.5,2936.45,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4000000,200,200,200,2950.2261306532664,2947.1507537688444,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4050000,200,200,200,2942.5,2939.465,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4100000,200,200,200,2973.3168316831684,2970.2574257425745,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4150000,200,200,200,2955.753768844221,2952.678391959799,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4200000,200,200,200,2961.281407035176,2958.236180904523,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4250000,200,200,200,2910.4726368159204,2907.4228855721394,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4300000,200,200,200,2941.180904522613,2938.1256281407036,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4350000,200,200,200,2935.8457711442784,2932.781094527363,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4400000,200,200,200,2972.1641791044776,2969.1194029850744,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4450000,200,200,200,2907.5252525252527,2904.4949494949497,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4500000,200,200,200,2983.6069651741295,2980.5273631840796,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4550000,200,200,200,2938.830845771144,2935.766169154229,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4600000,200,200,200,2978.8693467336684,2975.78391959799,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4650000,200,200,200,2959.7738693467336,2956.6984924623116,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4700000,200,200,200,2920.4228855721394,2917.3930348258705,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4750000,200,200,200,2931.36815920398,2928.323383084577,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4800000,200,200,200,2940.678391959799,2937.618090452261,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4850000,200,200,200,2937.6633165829144,2934.5879396984924,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4900000,200,200,200,2924.80198019802,2921.7475247524753,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
4950000,200,200,200,2949.7236180904524,2946.6532663316584,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5000000,200,200,200,2976.6417910447763,2973.592039800995,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5050000,200,200,200,2923.592964824121,2920.527638190955,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5100000,200,200,200,2975.854271356784,2972.809045226131,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5150000,200,200,200,2988,2984.92,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5200000,200,200,200,2962,2958.975,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5250000,200,200,200,2951.5346534653463,2948.470297029703,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5300000,200,200,200,2950.7286432160804,2947.6582914572864,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5350000,200,200,200,2932.2727272727275,2929.2020202020203,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5400000,200,200,200,2931.865671641791,2928.776119402985,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
5450000,200,200,200,2986,2982.94,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1
