tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,meanCacheAge,hitCount,missCount,cacheSize
500,200,200,199,35.1505376344086,31.88235294117647,1,1,Infinity,Infinity,-1,0.35678391959798994,-1,200,0,1,-1,-1,-1,-1
1000,200,200,200,34.82914572864322,31.616161616161616,1,1,Infinity,Infinity,-1,0.36,-1,200,0,1,-1,-1,-1,-1
1500,200,200,200,34.43069306930693,31.216748768472907,1,1,Infinity,Infinity,-1,0.33,-1,200,0,1,-1,-1,-1,-1
2000,200,200,200,35.17,32.005025125628144,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
2500,200,200,200,34.537688442211056,31.28,1,1,Infinity,Infinity,-1,0.49,-1,200,0,1,-1,-1,-1,-1
3000,200,200,200,34.425,31.14,1,1,Infinity,Infinity,-1,0.39,-1,200,0,1,-1,-1,-1,-1
3500,200,200,200,34.78,31.527638190954775,1,1,Infinity,Infinity,-1,0.425,-1,200,0,1,-1,-1,-1,-1
4000,200,200,200,34.75,31.45273631840796,1,1,Infinity,Infinity,-1,0.395,-1,200,0,1,-1,-1,-1,-1
4500,200,200,200,34.830845771144276,31.58,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
5000,200,200,200,34.81909547738694,31.6,1,1,Infinity,Infinity,-1,0.38,-1,200,0,1,-1,-1,-1,-1
5500,200,200,200,34.72,31.482412060301506,1,1,Infinity,Infinity,-1,0.42,-1,200,0,1,-1,-1,-1,-1
6000,200,200,200,34.61691542288557,31.336633663366335,1,1,Infinity,Infinity,-1,0.395,-1,200,0,1,-1,-1,-1,-1
6500,200,200,200,34.67336683417086,31.497487437185928,1,1,Infinity,Infinity,-1,0.47,-1,200,0,1,-1,-1,-1,-1
7000,200,200,200,34.555,31.311557788944725,1,1,Infinity,Infinity,-1,0.4,-1,200,0,1,-1,-1,-1,-1
7500,200,200,200,34.79,31.46766169154229,1,1,Infinity,Infinity,-1,0.37,-1,200,0,1,-1,-1,-1,-1
8000,200,200,200,34.88059701492537,31.71144278606965,1,1,Infinity,Infinity,-1,0.33,-1,200,0,1,-1,-1,-1,-1
