tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,2952.1481481481483,2950.0793650793653,0.5714285714285714,0.5714285714285714,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2961.788944723618,2959.738693467337,0.678391959798995,0.678391959798995,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2946.569306930693,2944.509900990099,0.8118811881188119,0.8118811881188119,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2933.145728643216,2931.0854271356784,0.8693467336683417,0.8693467336683417,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2992.43216080402,2990.3668341708544,0.949748743718593,0.949748743718593,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2939.313432835821,2937.223880597015,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2932.643216080402,2930.5527638190956,0.9949748743718593,0.9949748743718593,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2948.495,2946.445,0.96,0.96,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2985.5,2983.435,0.92,0.92,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2982.10447761194,2980.044776119403,0.8606965174129353,0.8606965174129353,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,2936.1608040201004,2934.105527638191,0.7437185929648241,0.7437185929648241,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2938.8258706467664,2936.7611940298507,0.6169154228855721,0.6169154228855721,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,2975.212121212121,2973.161616161616,0.5151515151515151,0.5151515151515151,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,200,2910.5,2908.435,0.38,0.38,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,200,2959.940594059406,2957.8762376237623,0.2722772277227723,0.2722772277227723,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,200,2992.995,2990.92,0.165,0.165,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,200,2910,2907.945,0.11,0.11,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,200,2965.3065326633164,2963.2663316582916,0.020100502512562814,0.020100502512562814,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,200,3011.955223880597,3009.905472636816,0.014925373134328358,0.014925373134328358,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,200,2950.4646464646466,2948.409090909091,0,0,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,200,2961.920792079208,2959.8465346534654,0.034653465346534656,0.034653465346534656,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,200,2942.688442211055,2940.6231155778896,0.07537688442211055,0.07537688442211055,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,200,2942,2939.92,0.22,0.22,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,200,2943.6934673366836,2941.6281407035176,0.3065326633165829,0.3065326633165829,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,200,3005.492537313433,3003.457711442786,0.42786069651741293,0.42786069651741293,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,200,2975.6417910447763,2973.587064676617,0.5970149253731343,0.5970149253731343,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,200,2986.4120603015076,2984.3417085427136,0.7336683417085427,0.7336683417085427,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,200,2981.2227722772277,2979.1633663366338,0.7821782178217822,0.7821782178217822,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,200,2985.818181818182,2983.7676767676767,0.8585858585858586,0.8585858585858586,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,200,2930.727722772277,2928.6732673267325,0.9257425742574258,0.9257425742574258,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,200,2975.060913705584,2973.005076142132,0.9949238578680203,0.9949238578680203,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,200,200,200,2925.5,2923.4,1,1,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,200,200,200,2986.6732673267325,2984.5940594059407,0.9851485148514851,0.9851485148514851,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1700000,200,200,200,2931.777777777778,2929.7323232323233,0.9292929292929293,0.9292929292929293,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750000,200,200,200,2952.0148514851485,2949.960396039604,0.8762376237623762,0.8762376237623762,Infinity,Infinity,-1,0,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
