tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,375,375,375,2952.025495750708,2949.954674220963,1,1,28,Infinity,-1,0,-1,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2986.1451612903224,2910.612612612613,2963.8898305084745,NaN,NaN,NaN,NaN,NaN,NaN
100000,375,375,375,2961.878306878307,2959.7804232804233,1,1,28,Infinity,-1,0,-1,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2912.5581395348836,3000.8984375,2982.2479338842977,NaN,NaN,NaN,NaN,NaN,NaN
150000,750,750,750,1875.7608108108109,1873.75,0.6216216216216216,0.6216216216216216,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6234817813765182,0.5862068965517241,0.6594827586206896,1890.9028340080972,1739.448275862069,2022.3706896551723,NaN,NaN,NaN,NaN,NaN,NaN
200000,750,750,750,1880.1906666666666,1878.1746666666666,0.6266666666666667,0.6266666666666667,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.5927601809954751,0.6407407407407407,0.640926640926641,1787.343891402715,1923.7296296296297,1922.5405405405406,NaN,NaN,NaN,NaN,NaN,NaN
250000,750,750,750,1884.0585885486018,1882.045272969374,0.6284953395472703,0.6284953395472703,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6236162361623616,0.5847457627118644,0.6762295081967213,1856.2435424354244,1784.4194915254238,2020.377049180328,NaN,NaN,NaN,NaN,NaN,NaN
300000,750,750,750,1888.969292389853,1886.9465954606142,0.6248331108144193,0.6248331108144193,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6111111111111112,0.6244897959183674,0.6388888888888888,1844.357142857143,1887.669387755102,1943.5,NaN,NaN,NaN,NaN,NaN,NaN
350000,750,750,750,1856.0066577896139,1853.9747003994673,0.6191744340878829,0.6191744340878829,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.5877192982456141,0.6269230769230769,0.6387832699619772,1766.8026315789473,1883.7769230769231,1914.2433460076045,NaN,NaN,NaN,NaN,NaN,NaN
400000,750,750,750,1878.1615487316421,1876.1401869158879,0.6221628838451269,0.6221628838451269,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.5443548387096774,0.6334661354581673,0.688,1659.8548387096773,1911.3147410358565,2070.232,NaN,NaN,NaN,NaN,NaN,NaN
450000,750,750,750,1891.473404255319,1889.4574468085107,0.6329787234042553,0.6329787234042553,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6007194244604317,0.6473029045643154,0.6566523605150214,1804.111510791367,1930.045643153527,1965.2489270386266,NaN,NaN,NaN,NaN,NaN,NaN
500000,750,750,750,1883.4325767690254,1881.4125500667558,0.6221628838451269,0.6221628838451269,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.5947136563876652,0.603112840466926,0.6641509433962264,1811.7004405286343,1852.2996108949417,1983.3509433962265,NaN,NaN,NaN,NaN,NaN,NaN
550000,750,750,750,1873.2476697736352,1871.2183754993341,0.6271637816245007,0.6271637816245007,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6174242424242424,0.6238532110091743,0.6394052044609665,1817.5265151515152,1889.6422018348624,1922.828996282528,NaN,NaN,NaN,NaN,NaN,NaN
600000,750,750,750,1871.0613333333333,1869.0333333333333,0.6253333333333333,0.6253333333333333,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6345381526104418,0.591304347826087,0.6457564575645757,1886.7670682730923,1770.0347826086957,1950.4354243542437,NaN,NaN,NaN,NaN,NaN,NaN
650000,750,750,750,1884.3030707610146,1882.283044058745,0.630173564753004,0.630173564753004,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6182572614107884,0.6378600823045267,0.6339622641509434,1865.4854771784233,1890.432098765432,1904.101886792453,NaN,NaN,NaN,NaN,NaN,NaN
700000,750,750,750,1877.2349799732976,1875.2189586114819,0.6234979973297731,0.6234979973297731,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6408450704225352,0.6077586206896551,0.6180257510729614,1927.7288732394366,1860.3620689655172,1841.931330472103,NaN,NaN,NaN,NaN,NaN,NaN
750000,750,750,750,1891.2516644474035,1889.2356857523303,0.6338215712383488,0.6338215712383488,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.5991379310344828,0.6628352490421456,0.6356589147286822,1784.7887931034484,1985.2681992337166,1900.4302325581396,NaN,NaN,NaN,NaN,NaN,NaN
800000,750,750,750,1880.0825565912116,1878.0559254327563,0.6284953395472703,0.6284953395472703,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.611336032388664,0.5882352941176471,0.6867469879518072,1828.6356275303644,1768.2941176470588,2054.425702811245,NaN,NaN,NaN,NaN,NaN,NaN
850000,750,750,750,1878.3173333333334,1876.2906666666668,0.6213333333333333,0.6213333333333333,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6038461538461538,0.6470588235294118,0.6150793650793651,1827.373076923077,1967.2226890756303,1855.5992063492063,NaN,NaN,NaN,NaN,NaN,NaN
900000,750,750,750,1895.432,1893.4133333333334,0.628,0.628,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6604477611940298,0.6075949367088608,0.6122448979591837,2003.294776119403,1835.0210970464136,1844.9142857142858,NaN,NaN,NaN,NaN,NaN,NaN
950000,750,750,750,1885.7863818424566,1883.7797062750333,0.6221628838451269,0.6221628838451269,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6131687242798354,0.622568093385214,0.6305220883534136,1898.0041152263375,1890.4669260700389,1877.867469879518,NaN,NaN,NaN,NaN,NaN,NaN
1000000,750,750,750,1873.328437917223,1871.3084112149534,0.6261682242990654,0.6261682242990654,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6238532110091743,0.6153846153846154,0.6395348837209303,1869.967889908257,1847.5714285714287,1911.9263565891472,NaN,NaN,NaN,NaN,NaN,NaN
1050000,750,750,750,1882.5458167330678,1880.5179282868526,0.6228419654714475,0.6228419654714475,28,Infinity,-1,0,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.6108949416342413,0.6186440677966102,0.6384615384615384,1849.6303501945524,1870.614406779661,1934.4153846153847,NaN,NaN,NaN,NaN,NaN,NaN
