tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,400,400,400,2949.117333333333,2946.6293333333333,0.9946666666666667,0.9946666666666667,28,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,400,400,400,2969.304239401496,2966.790523690773,1,1,32,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,400,400,400,2957.583541147132,2955.089775561097,1,1,35,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,400,400,400,2952.945,2950.475,1,1,37,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,400,400,400,2957.965,2955.4675,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,400,400,400,2954.8521303258144,2952.3583959899747,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,400,400,400,2958.942786069652,2956.445273631841,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,400,400,400,2947.170854271357,2944.678391959799,1,1,38,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,400,400,400,2960.54094292804,2958.0397022332504,1,1,36,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,400,400,400,2969.876262626263,2967.3661616161617,1,1,33,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,400,400,400,2967.0074441687343,2964.5062034739453,1,1,30,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,400,400,400,2980.5465994962215,2978.0579345088163,1,1,27,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,400,400,400,2887.3225806451615,2884.8982630272953,0.9751861042183623,0.9751861042183623,23,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,400,400,400,2575.1836228287843,2572.9131513647644,0.8535980148883374,0.8535980148883374,19,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,400,400,400,2205.9356435643563,2203.7524752475247,0.7351485148514851,0.7351485148514851,16,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,400,400,400,1855.5746268656717,1853.4701492537313,0.6019900497512438,0.6019900497512438,13,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,400,400,400,1588.927680798005,1586.8403990024938,0.513715710723192,0.513715710723192,11,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,400,400,400,1389.3407960199006,1387.2810945273632,0.43034825870646765,0.43034825870646765,10,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,400,400,400,1335.6065162907269,1333.548872180451,0.41353383458646614,0.41353383458646614,10,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,400,400,400,1343.55,1341.4875,0.42,0.42,10,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,400,400,400,1427.8952618453866,1425.8229426433916,0.45885286783042395,0.45885286783042395,12,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,400,400,400,1639.969773299748,1637.8816120906802,0.5340050377833753,0.5340050377833753,14,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,400,400,400,1975.3727959697733,1973.2468513853905,0.6473551637279596,0.6473551637279596,17,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,400,400,400,2300.946835443038,2298.7316455696205,0.7645569620253164,0.7645569620253164,20,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,400,400,400,2703.4447236180904,2701.140703517588,0.9095477386934674,0.9095477386934674,24,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,400,400,400,2908.721105527638,2906.278894472362,0.9899497487437185,0.9899497487437185,28,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,400,400,400,2927.064516129032,2924.545905707196,1,1,31,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,400,400,400,2945.735,2943.2175,1,1,34,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,400,400,400,2962.3558897243106,2959.8546365914785,1,1,37,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,400,400,400,2947.1022443890274,2944.623441396509,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,400,400,400,2944.5739348370926,2942.062656641604,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,400,400,400,2927.23,2924.7275,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,400,400,400,2936.14463840399,2933.640897755611,1,1,38,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1700000,400,400,400,2960.027777777778,2957.5126262626263,1,1,36,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750000,400,400,400,2961.910891089109,2959.40099009901,1,1,34,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1800000,400,400,400,2957.9899497487436,2955.4824120603016,1,1,31,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850000,400,400,400,2968.6517412935323,2966.1492537313434,1,1,27,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1900000,400,400,400,2888.0426065162906,2885.5789473684213,0.9874686716791979,0.9874686716791979,23,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950000,400,400,400,2622.426799007444,2620.1588089330025,0.8833746898263027,0.8833746898263027,20,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000000,400,400,400,2235.287841191067,2233.0694789081886,0.749379652605459,0.749379652605459,16,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2050000,400,400,400,1921.076923076923,1918.9528535980148,0.6277915632754343,0.6277915632754343,13,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2100000,400,400,400,1601.547263681592,1599.4676616915424,0.5124378109452736,0.5124378109452736,11,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2150000,400,400,400,1415.6741293532339,1413.6119402985075,0.4502487562189055,0.4502487562189055,10,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2200000,400,400,400,1327.4925,1325.42,0.425,0.425,10,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250000,400,400,400,1345.12,1343.0575,0.4225,0.4225,10,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2300000,400,400,400,1375.9773869346734,1373.8994974874372,0.4396984924623116,0.4396984924623116,11,Infinity,-1,0.0025,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2350000,400,400,400,1627.1183879093198,1625.0428211586902,0.5188916876574308,0.5188916876574308,14,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2400000,400,400,400,1913.436090225564,1911.3057644110277,0.6115288220551378,0.6115288220551378,16,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2450000,400,400,400,2256.5363408521303,2254.34335839599,0.7493734335839599,0.7493734335839599,20,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500000,400,400,400,2627.5530303030305,2625.239898989899,0.8787878787878788,0.8787878787878788,24,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2550000,400,400,400,2895.099750623441,2892.650872817955,0.9775561097256857,0.9775561097256857,27,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2600000,400,400,400,2951.689393939394,2949.2020202020203,1,1,31,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2650000,400,400,400,2966.910447761194,2964.417910447761,1,1,34,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2700000,400,400,400,2923.2225,2920.7025,1,1,37,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750000,400,400,400,2937.9825,2935.4675,1,1,38,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2800000,400,400,400,2966.7688442211056,2964.253768844221,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2850000,400,400,400,2978.5336658354113,2976.027431421446,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2900000,400,400,400,2986.790404040404,2984.287878787879,1,1,39,Infinity,-1,0,-1,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
