tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,200,5795.858757062147,6080.788571428571,0.4293785310734463,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5500.909090909091,5845.890410958904,6063.163265306122,0.07272727272727272,0.4657534246575342,0.7755102040816326
100000,200,200,200,5915.325,6294.980099502488,0.335,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5510.746031746032,5979.714285714285,6213.040540540541,0.015873015873015872,0.19047619047619047,0.7297297297297297
150000,200,200,200,5938.875,6477.804020100502,0.225,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6000.612903225807,6353.439393939394,0,0.0967741935483871,0.5909090909090909
200000,200,200,200,5925.346733668342,6726.552763819095,0.1457286432160804,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6002.571428571428,6432.25,0,0.14285714285714285,0.35
250000,200,200,200,6055.183168316832,6939.209183673469,0.07425742574257425,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6013.920634920635,6494.375,0,0.015873015873015872,0.175
300000,200,200,200,6019.391959798995,7179.668316831683,0.03015075376884422,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6008.214285714285,6507.6567164179105,0,0.014285714285714285,0.07462686567164178
350000,200,200,200,6022.984924623115,7378.94,0.01507537688442211,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6013.857142857143,6512.432835820896,0,0.02857142857142857,0.014925373134328358
400000,200,200,200,5986.124378109453,7593.842639593909,0,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6014,6514,0,0,0
450000,200,200,200,5978.5,7808.94,0,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6014,6514,0,0,0
500000,200,200,200,5990.79797979798,8002.425,0,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5514,6014,6514,0,0,0
