tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,432,432,432,2950.479012345679,2948.241975308642,0.9975308641975309,0.9975308641975309,28,Infinity,-1,0.24768518518518517,-1,432,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,492,2748.0224032586557,2745.7922606924644,0.9307535641547862,0.9307535641547862,28,Infinity,-1,0.22764227642276422,-1,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,545,545,545,2529.0767824497257,2526.8244972577695,0.8427787934186471,0.8427787934186471,28,Infinity,-1,0.2018348623853211,-1,545,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,592,592,592,2352.97623089983,2350.7198641765704,0.7826825127334465,0.7826825127334465,28,Infinity,-1,0.20945945945945946,-1,592,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,625,2248.37898089172,2246.109872611465,0.7563694267515924,0.7563694267515924,28,Infinity,-1,0.1808,-1,625,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,644,2181.157076205288,2178.860031104199,0.7247278382581649,0.7247278382581649,28,Infinity,-1,0.1972049689440994,-1,644,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,649,2132.2484567901233,2129.992283950617,0.7160493827160493,0.7160493827160493,28,Infinity,-1,0.2049306625577812,-1,649,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,638,2205.357927786499,2203.078492935636,0.7299843014128728,0.7299843014128728,28,Infinity,-1,0.20532915360501566,-1,638,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,612,2292.6323529411766,2290.3382352941176,0.7630718954248366,0.7630718954248366,28,Infinity,-1,0.20751633986928106,-1,612,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,573,2401.528795811518,2399.2792321116926,0.8167539267015707,0.8167539267015707,28,Infinity,-1,0.1849912739965096,-1,573,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,524,524,523,2611.2580645161293,2608.9924098671727,0.8766603415559773,0.8766603415559773,28,Infinity,-1,0.1950286806883365,-1,524,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,465,465,466,2822.967741935484,2820.756989247312,0.9591397849462365,0.9591397849462365,28,Infinity,-1,0.2167381974248927,-1,465,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,404,404,404,2927.2364532019706,2925.014778325123,1,1,28,Infinity,-1,0.21287128712871287,-1,404,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,343,343,343,2974.4479768786127,2972.265895953757,1,1,28,Infinity,-1,0.1924198250728863,-1,343,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,284,284,284,2957.702422145329,2955.508650519031,1,1,28,Infinity,-1,0.23591549295774647,-1,284,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,233,233,233,2966.2489451476795,2964.0632911392404,1,1,28,Infinity,-1,0.16738197424892703,-1,233,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,193,193,193,2927.773195876289,2925.5515463917527,1,1,28,Infinity,-1,0.19170984455958548,-1,193,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,165,165,165,2909.3192771084337,2907.126506024096,1,1,28,Infinity,-1,0.24242424242424243,-1,165,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,151,151,151,2999.774834437086,2997.6423841059604,1,1,28,Infinity,-1,0.18543046357615894,-1,151,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,154,154,154,2936.1032258064515,2933.883870967742,1,1,28,Infinity,-1,0.24675324675324675,-1,154,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,172,172,172,2937.05325443787,2934.846153846154,1,1,28,Infinity,-1,0.25,-1,172,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,203,203,203,2959.569306930693,2957.3564356435645,1,1,28,Infinity,-1,0.2512315270935961,-1,203,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,247,247,247,2944.1563786008232,2941.991769547325,1,1,28,Infinity,-1,0.19433198380566802,-1,247,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,301,301,301,2980.6174496644294,2978.3791946308725,1,1,28,Infinity,-1,0.292358803986711,-1,301,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,361,361,361,2946.0364145658264,2943.7899159663866,1,1,28,Infinity,-1,0.2631578947368421,-1,361,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,423,423,423,2895.874109263658,2893.627078384798,0.997624703087886,0.997624703087886,28,Infinity,-1,0.20094562647754138,-1,423,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,483,483,483,2771.072463768116,2768.832298136646,0.937888198757764,0.937888198757764,28,Infinity,-1,0.2443064182194617,-1,483,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,539,539,539,2554.9795918367345,2552.7402597402597,0.8571428571428571,0.8571428571428571,28,Infinity,-1,0.2077922077922078,-1,539,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,586,586,586,2372.3418803418804,2370.0666666666666,0.7829059829059829,0.7829059829059829,28,Infinity,-1,0.21160409556313994,-1,586,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,621,621,621,2256.370786516854,2254.110754414125,0.7528089887640449,0.7528089887640449,28,Infinity,-1,0.1819645732689211,-1,621,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,643,643,643,2160.744548286604,2158.4828660436137,0.721183800623053,0.721183800623053,28,Infinity,-1,0.19751166407465007,-1,643,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,650,650,650,2158.4807395993835,2156.1926040061635,0.711864406779661,0.711864406779661,28,Infinity,-1,0.20153846153846153,-1,650,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,640,640,640,2188.1614420062697,2185.8652037617553,0.7335423197492164,0.7335423197492164,28,Infinity,-1,0.20625,-1,640,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1700000,616,616,616,2270.2272727272725,2267.964285714286,0.7564935064935064,0.7564935064935064,28,Infinity,-1,0.19642857142857142,-1,616,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750000,579,579,579,2390.544827586207,2388.2724137931036,0.803448275862069,0.803448275862069,28,Infinity,-1,0.22279792746113988,-1,579,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1800000,530,530,530,2593.5703564727955,2591.3189493433397,0.874296435272045,0.874296435272045,28,Infinity,-1,0.22075471698113208,-1,530,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850000,474,474,474,2823.7679324894516,2821.5379746835442,0.9493670886075949,0.9493670886075949,28,Infinity,-1,0.23628691983122363,-1,474,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1900000,413,413,413,2951.8057553956833,2949.613908872902,0.9952038369304557,0.9952038369304557,28,Infinity,-1,0.17433414043583534,-1,413,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950000,350,350,350,2960.4435028248586,2958.2542372881358,1,1,28,Infinity,-1,0.22,-1,350,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000000,292,292,292,2938.7619047619046,2936.5544217687075,1,1,28,Infinity,-1,0.2054794520547945,-1,292,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
