tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,324,4810.938547486034,2967.6402640264027,0.9162011173184358,0.5412541254125413,Infinity,Infinity,-1,1,-1,324,0,1.4983498349834983,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,337,4992.588235294118,2938.882697947214,0.9264705882352942,0.5542521994134897,Infinity,Infinity,-1,1,-1,337,0,1.5395894428152492,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,327,4855.350253807107,2975.4135802469136,0.9137055837563451,0.5555555555555556,Infinity,Infinity,-1,1,-1,327,0,1.5030864197530864,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,304,4494.945812807881,2959.938110749186,0.9655172413793104,0.6384364820846905,Infinity,Infinity,-1,1,-1,304,0,1.4332247557003257,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,297,4425.428571428572,2947.62,0.9655172413793104,0.6533333333333333,Infinity,Infinity,-1,1,-1,297,0,1.4133333333333333,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,271,3989.788944723618,2927.5222222222224,0.9798994974874372,0.7222222222222222,Infinity,Infinity,-1,1,-1,271,0,1.337037037037037,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,270,3985.815,2962.32962962963,0.975,0.7222222222222222,Infinity,Infinity,-1,1,-1,270,0,1.3148148148148149,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,259,3904.622448979592,3016.8705882352942,1,0.7686274509803922,Infinity,Infinity,-1,1,-1,259,0,1.2627450980392156,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,242,3675.2634146341466,2980.085020242915,1,0.8299595141700404,Infinity,Infinity,-1,1,-1,242,0,1.2186234817813766,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,230,3421.6188118811883,2984.719827586207,1,0.8706896551724138,Infinity,Infinity,-1,1,-1,230,0,1.1379310344827587,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
