tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,375,375,375,2966.0368271954676,2962.971671388102,1,1,28,28,-1,1,0,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2937.809917355372,2987.324324324324,2983.280991735537,NaN,NaN,NaN,NaN,NaN,NaN
100000,375,375,375,2927.7453580901856,2924.6710875331564,1,1,28,28,-1,1,0,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2952.954128440367,2895.8384615384616,2945.8840579710145,NaN,NaN,NaN,NaN,NaN,NaN
150000,750,750,477,10984.172707889125,2945.5863539445627,1,1,28,28,-1,8937.51572327044,273,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,10166.81045751634,11263.420118343196,11523.197278911564,NaN,NaN,NaN,NaN,NaN,NaN
200000,750,750,473,29340.405919661735,2968.0676532769558,1,1,28,28,-1,27473.446088794924,550,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,28791.642045454544,29899.01935483871,29420.6338028169,NaN,NaN,NaN,NaN,NaN,NaN
250000,750,750,473,47938.62367864694,2948.6046511627906,1,1,28,28,-1,46070.241014799154,827,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,47736.96052631579,47877.706586826345,48212.76623376623,NaN,NaN,NaN,NaN,NaN,NaN
300000,750,750,475,66149.94947368422,2950.1326315789474,1,1,28,28,-1,64283.25052631579,1102,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,66217.79470198676,66296.88484848484,65941.88050314465,NaN,NaN,NaN,NaN,NaN,NaN
350000,750,750,473,84572.35517970401,2967.029598308668,1,1,28,28,-1,82704.11627906977,1379,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,85023.10191082803,84269.15923566879,84435.46540880503,NaN,NaN,NaN,NaN,NaN,NaN
400000,750,750,470,103376.7744680851,2963.412765957447,1,1,28,28,-1,101509.80425531915,1659,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,103279.32919254659,102992.86875,103903.68456375839,NaN,NaN,NaN,NaN,NaN,NaN
450000,750,750,470,121729.78085106383,2981.9297872340426,1,1,28,28,-1,119862.2744680851,1939,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,121846.57232704402,121604.73611111111,121734.81437125748,NaN,NaN,NaN,NaN,NaN,NaN
500000,750,750,474,140448.6687763713,2950.8818565400843,1,1,28,28,-1,138580.13080168777,2215,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,139898.89261744966,140529.6894409938,140877.23780487804,NaN,NaN,NaN,NaN,NaN,NaN
550000,750,750,475,158816.73684210525,2959.395789473684,1,1,28,28,-1,156948.6505263158,2490,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,158993.3381294964,158833.4358974359,158673.7111111111,NaN,NaN,NaN,NaN,NaN,NaN
600000,750,750,475,176963.1848739496,2931.121848739496,1,1,28,28,-1,175078.45052631578,2764,750,0,1,-1,-1,-1,-1,0,NaN,1,1,1,177110.04761904763,176971.5317919075,176824.5705128205,NaN,NaN,NaN,NaN,NaN,NaN
