tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,375,375,375,2985.8611898016998,2982.7648725212466,1,1,28,28,-1,1,0,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2991.11214953271,2985.846153846154,2989.4651162790697,NaN,NaN,NaN,NaN,NaN,NaN
100000,375,375,375,2941.103723404255,2938.029255319149,1,1,28,28,-1,1,0,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2929.529411764706,2984.3333333333335,2916.780701754386,NaN,NaN,NaN,NaN,NaN,NaN
150000,750,750,477,9464.17463235294,2943.08067940552,0.8658088235294118,1,28,28,-1,8879.779874213837,199,677,73,1,-1,-1,-1,-1,0,NaN,0.8548387096774194,0.8736263736263736,0.8693181818181818,9431.016129032258,9551.642857142857,9417.863636363636,NaN,NaN,NaN,NaN,NaN,NaN
200000,750,750,475,14862.622666666666,2951.6898734177216,0.632,1,28,28,-1,20751.86736842105,199,474,276,1,-1,-1,-1,-1,0,NaN,0.6521739130434783,0.64,0.6032388663967612,15254.229249011858,15094.772,14235.546558704453,NaN,NaN,NaN,NaN,NaN,NaN
250000,750,750,473,15146.772,2958.5644820295984,0.6306666666666667,1,28,28,-1,21076.46511627907,199,473,277,1,-1,-1,-1,-1,0,NaN,0.6865079365079365,0.5629370629370629,0.6556603773584906,16505.97619047619,13498.923076923076,15764.622641509433,NaN,NaN,NaN,NaN,NaN,NaN
300000,750,750,470,15108.198666666667,2973.5893617021275,0.6266666666666667,1,28,28,-1,21126.9,199,470,280,1,-1,-1,-1,-1,0,NaN,0.5903614457831325,0.66,0.6294820717131474,14191.060240963856,15915.256,15223.04780876494,NaN,NaN,NaN,NaN,NaN,NaN
350000,750,750,474,15219.180240320427,2949.3945147679324,0.6328437917222964,1,28,28,-1,21076.495780590718,200,475,275,1,-1,-1,-1,-1,0,NaN,0.6423076923076924,0.6141078838174274,0.6411290322580645,15458.034615384615,14755.991701244813,15427.879032258064,NaN,NaN,NaN,NaN,NaN,NaN
400000,750,750,473,15131.025299600533,2972.5391120507397,0.62982689747004,1,28,28,-1,21067.154334038056,199,472,278,1,-1,-1,-1,-1,0,NaN,0.6485355648535565,0.6442687747035574,0.5984555984555985,15596.907949790795,15471.169960474308,14377.486486486487,NaN,NaN,NaN,NaN,NaN,NaN
450000,750,750,470,15230.003989361701,2995.3255319148934,0.625,1,28,28,-1,21372.76170212766,197,468,282,1,-1,-1,-1,-1,0,NaN,0.6642335766423357,0.576036866359447,0.6245210727969349,16160.540145985402,14064.391705069125,15230.842911877395,NaN,NaN,NaN,NaN,NaN,NaN
500000,750,750,468,15020.919786096256,2950.42094017094,0.6256684491978609,1,28,28,-1,21032.78846153846,199,470,280,1,-1,-1,-1,-1,0,NaN,0.5948275862068966,0.65,0.62890625,14313.366379310344,15581.346153846154,15101.6171875,NaN,NaN,NaN,NaN,NaN,NaN
550000,750,750,473,15147.94259012016,2958.9936575052852,0.6315086782376502,1,28,28,-1,21030.266384778013,200,474,276,1,-1,-1,-1,-1,0,NaN,0.620253164556962,0.6260504201680672,0.6459854014598541,14892.594936708861,15008.915966386554,15497.722627737227,NaN,NaN,NaN,NaN,NaN,NaN
600000,750,750,474,15159.446666666667,2967.1075949367087,0.632,1,28,28,-1,21035.07594936709,200,474,276,1,-1,-1,-1,-1,0,NaN,0.6406926406926406,0.6403162055335968,0.6165413533834586,15366.116883116883,15345.09486166008,14811.793233082706,NaN,NaN,NaN,NaN,NaN,NaN
650000,750,750,477,15267.969333333333,2933.7798742138366,0.636,1,28,28,-1,21037.362683438154,200,477,273,1,-1,-1,-1,-1,0,NaN,0.6101694915254238,0.6716981132075471,0.6224899598393574,14685.122881355932,16136.762264150944,14904.706827309237,NaN,NaN,NaN,NaN,NaN,NaN
700000,750,750,471,15026.266666666666,2959.8853503184714,0.628,1,28,28,-1,20995.895966029722,200,471,279,1,-1,-1,-1,-1,0,NaN,0.5991735537190083,0.66015625,0.623015873015873,14330.842975206611,15812.08203125,14904.674603174602,NaN,NaN,NaN,NaN,NaN,NaN
750000,750,750,468,15179.234666666667,2989.301282051282,0.624,1,28,28,-1,21320.773504273504,200,468,282,1,-1,-1,-1,-1,0,NaN,0.6693877551020408,0.6071428571428571,0.5968379446640316,16269.669387755102,14754.686507936507,14554.97628458498,NaN,NaN,NaN,NaN,NaN,NaN
800000,750,750,477,15173.844827586207,2967.329140461216,0.6326259946949602,1,28,28,-1,21036.582809224317,196,473,277,1,-1,-1,-1,-1,0,NaN,0.63671875,0.642570281124498,0.6184738955823293,15249.94140625,15428.18875502008,14850.301204819278,NaN,NaN,NaN,NaN,NaN,NaN
850000,750,750,473,15216.355227882037,2944.6279069767443,0.6340482573726541,1,28,28,-1,21025.327695560252,200,477,273,1,-1,-1,-1,-1,0,NaN,0.6527196652719666,0.6212765957446809,0.6286764705882353,15667.041841004184,14935.012765957446,15071.60294117647,NaN,NaN,NaN,NaN,NaN,NaN
900000,750,750,472,15133.27851458886,2977.561440677966,0.6259946949602122,1,28,28,-1,21203.228813559323,196,468,282,1,-1,-1,-1,-1,0,NaN,0.6108949416342413,0.6194029850746269,0.6506550218340611,14767.470817120622,14963.130597014926,15752.777292576418,NaN,NaN,NaN,NaN,NaN,NaN
950000,750,750,472,15093.722520107238,2930.3177966101694,0.6327077747989276,1,28,28,-1,20910.224576271186,200,476,274,1,-1,-1,-1,-1,0,NaN,0.6460905349794238,0.6205533596837944,0.632,15447.164609053498,14804.893280632412,15051.348,NaN,NaN,NaN,NaN,NaN,NaN
1000000,750,750,474,15143.886666666667,2951.915611814346,0.632,1,28,28,-1,21001.45147679325,200,474,276,1,-1,-1,-1,-1,0,NaN,0.6203007518796992,0.6311111111111111,0.6447876447876448,14847.827067669174,15141.262222222222,15458.868725868726,NaN,NaN,NaN,NaN,NaN,NaN
1050000,750,750,480,15286.328,2944.858333333333,0.64,1,28,28,-1,20935.120833333334,200,480,270,1,-1,-1,-1,-1,0,NaN,0.6530612244897959,0.6944444444444444,0.5731225296442688,15564.84081632653,16609.214285714286,13707.810276679842,NaN,NaN,NaN,NaN,NaN,NaN
