tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,431,431,431,2997.1761786600496,2987.1861042183623,1,1,28,28,-1,12.097447795823665,0,431,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,468,3549.980769230769,2975.1260683760684,1,1,28,28,-1,692.991452991453,24,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,546,546,473,7781.556025369979,2969.1458773784357,1,1,28,28,-1,5183.9852008456655,97,546,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,591,591,475,14927.326530612245,2942.745263157895,0.9693877551020408,1,28,28,-1,12983.734736842105,198,576,15,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,473,17560.341894060995,2943.553911205074,0.7592295345104334,1,28,28,-1,20391.137420718816,200,475,150,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,474,17608.743788819876,2958.2489451476795,0.7360248447204969,1,28,28,-1,20969.175105485232,200,474,170,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,475,17603.764252696456,2952.221052631579,0.7318952234206472,1,28,28,-1,21082.10105263158,200,475,174,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,479,17659.80465116279,2949.3089770354904,0.7426356589147287,1,28,28,-1,20833.711899791233,193,472,166,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,469,18452.583881578947,2955.859275053305,0.7713815789473685,1,28,28,-1,20988.183368869937,197,473,139,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,478,19919.805604203153,2928.274058577406,0.8371278458844134,1,28,28,-1,20837.03347280335,199,480,93,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,524,524,477,21556.311663479923,2925.3815513626832,0.9120458891013384,1,28,28,-1,20694.723270440252,200,478,46,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
