tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,375,375,375,2997.4759206798867,2994.3909348441925,1,1,28,28,-1,1,-1,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,3057.25,2957.691056910569,2983.4150943396226,NaN,NaN,NaN,NaN,NaN,NaN
100000,375,375,375,2962.4489247311826,2959.3629032258063,1,1,28,28,-1,1,-1,375,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2957.1810344827586,2939.4113475177305,3005.4347826086955,NaN,NaN,NaN,NaN,NaN,NaN
150000,750,750,477,4143.306010928962,2963.9071729957805,0.8633879781420765,1,28,28,-1,1694.7798742138364,-1,750,0,1,-1,-1,-1,-1,0,NaN,0.18478260869565216,1,1,2139.391304347826,6273.218446601942,3136.179282868526,NaN,NaN,NaN,NaN,NaN,NaN
200000,750,750,471,6920.136,2950.1061571125265,0.628,1,28,28,-1,4532.144373673036,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,1,1,6067.921146953405,11753.080508474577,3087.851063829787,NaN,NaN,NaN,NaN,NaN,NaN
250000,750,750,477,10014.293333333333,2940.0670859538786,0.636,1,28,28,-1,8105.121593291405,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,1,1,8728.619047619048,18539.631355932204,3131.4522821576766,NaN,NaN,NaN,NaN,NaN,NaN
300000,750,750,471,14887.263368983957,2971.9851380042464,0.6296791443850267,1,28,28,-1,9508.07643312102,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,1,1,19631.007220216605,22392.255707762557,3159.5515873015875,NaN,NaN,NaN,NaN,NaN,NaN
350000,750,750,482,18809.138666666666,2914.5995850622407,0.6426666666666667,1,28,28,-1,13563.38796680498,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,1,1,22453.055970149253,29845.242914979757,3063.395744680851,NaN,NaN,NaN,NaN,NaN,NaN
400000,750,750,474,12581.172,2930.6139240506327,0.632,1,28,28,-1,15604.628691983122,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,1,1,2302.5108695652175,32676.262096774193,3092.495575221239,NaN,NaN,NaN,NaN,NaN,NaN
450000,750,750,477,23225.91090425532,2969.2285115303985,0.6343085106382979,1,28,28,-1,15393.893081761007,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,1,1,32633.98909090909,35268.133027522934,3109.359073359073,NaN,NaN,NaN,NaN,NaN,NaN
500000,750,750,469,20615.47396528705,2968.0106609808104,0.6261682242990654,1,28,28,-1,17919.36673773987,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.9517543859649122,1,21478.75092936803,38921.820175438595,3139.936507936508,NaN,NaN,NaN,NaN,NaN,NaN
550000,750,750,473,15170.622666666666,2948.2241014799156,0.6306666666666667,1,28,28,-1,20299.274841437633,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.9444444444444444,1,797.2661596958175,41411.869047619046,3126.4893617021276,NaN,NaN,NaN,NaN,NaN,NaN
600000,750,750,471,14568.881174899867,2967.9341825902334,0.6288384512683578,1,28,28,-1,19189.165605095543,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.9012875536480687,1,1178.650980392157,42031.82832618026,3143.080459770115,NaN,NaN,NaN,NaN,NaN,NaN
650000,750,750,465,14897.28362183755,3003.617204301075,0.6191744340878829,1,28,28,-1,21113.21505376344,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.8252032520325203,1,436.9218106995885,41677.89024390244,3172.3702290076335,NaN,NaN,NaN,NaN,NaN,NaN
700000,750,750,473,15808.694259012016,2980.1479915433406,0.6315086782376502,1,28,28,-1,21360.649048625794,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.9047619047619048,1,518.047619047619,43434.86111111111,3129.8448979591835,NaN,NaN,NaN,NaN,NaN,NaN
750000,750,750,469,15122.625333333333,2979.095948827292,0.6253333333333333,1,28,28,-1,21898.82302771855,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.875,1,682.724,41851.342741935485,3152.3373015873017,NaN,NaN,NaN,NaN,NaN,NaN
800000,750,750,475,15787.138482023967,2947.720588235294,0.6338215712383488,1,28,28,-1,20871.72,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.99581589958159,1,1084.4890510948906,45286.58577405858,3099.7268907563025,NaN,NaN,NaN,NaN,NaN,NaN
850000,750,750,472,14204.271637816246,2967.9341825902334,0.6271637816245007,1,28,28,-1,19094.23093220339,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.9126637554585153,1,1762.496153846154,40933.08296943231,3197.408396946565,NaN,NaN,NaN,NaN,NaN,NaN
900000,750,750,471,15872.605614973261,2943.7537154989386,0.6296791443850267,1,28,28,-1,21577.71974522293,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.89272030651341,1,620.6425702811244,42067.4061302682,3112.6344537815125,NaN,NaN,NaN,NaN,NaN,NaN
950000,750,750,471,14183.552,2987.265392781316,0.628,1,28,28,-1,19003.367303609342,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.7913669064748201,1,478.04072398190044,35025.27338129497,3176.191235059761,NaN,NaN,NaN,NaN,NaN,NaN
1000000,750,750,469,16459.568,2986.7889125799575,0.6253333333333333,1,28,28,-1,23309.014925373136,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.8727272727272727,1,510.2723577235772,41837.62181818182,3126.8165938864627,NaN,NaN,NaN,NaN,NaN,NaN
1050000,750,750,480,14065.531208499337,2921.31875,0.6374501992031872,1,28,28,-1,19053.222916666666,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.902542372881356,1,1091.484,40242.44915254237,3084.265917602996,NaN,NaN,NaN,NaN,NaN,NaN
1100000,750,750,466,15165.082998661312,2990.9656652360513,0.6238286479250335,1,28,28,-1,20732.71459227468,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.8852459016393442,1,469.39525691699606,42747.71721311475,3125.396,NaN,NaN,NaN,NaN,NaN,NaN
1150000,750,750,479,14877.8362183755,2955.39248434238,0.6378162450066578,1,28,28,-1,19796.772442588728,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.84375,1,1099.051724137931,39437.546875,3134.977186311787,NaN,NaN,NaN,NaN,NaN,NaN
1200000,750,750,475,16047.842666666667,2940.452631578947,0.6333333333333333,1,28,28,-1,21821.945263157893,-1,750,0,1,-1,-1,-1,-1,0,NaN,0,0.8863636363636364,1,713.9224489795919,42073.181818181816,3136.46887966805,NaN,NaN,NaN,NaN,NaN,NaN
