tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,431,431,431,2975.163771712159,2969.7940446650123,1,1,28,28,-1,4.663573085846868,-1,431,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2982.2413793103447,3049.5615384615385,2899.484375,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,475,3349.6884210526314,2934.717894736842,1,1,28,28,-1,491.58736842105264,-1,492,0,1,-1,-1,-1,-1,0,NaN,1,1,1,3964.1960784313724,3101.204968944099,3021.7018633540374,NaN,NaN,NaN,NaN,NaN,NaN
150000,546,546,465,6011.090322580645,2988.3397849462367,1,1,28,28,-1,3302.4709677419355,-1,546,0,1,-1,-1,-1,-1,0,NaN,1,1,1,14999,3209.3988095238096,3184.2688172043013,NaN,NaN,NaN,NaN,NaN,NaN
200000,591,591,477,8795.74134419552,2944.8867924528304,0.9714867617107943,1,28,28,-1,6184.1194968553455,-1,591,0,1,-1,-1,-1,-1,0,NaN,0.8571428571428571,1,1,30859.48979591837,3467.276595744681,3140.907317073171,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,478,7948.438202247191,2941.675732217573,0.7672552166934189,1,28,28,-1,8491.878661087867,-1,625,0,1,-1,-1,-1,-1,0,NaN,0.2639593908629442,1,1,17956.05583756345,3540.6991150442477,3079.85,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,473,10903.748837209303,2954.133192389006,0.7333333333333333,1,28,28,-1,11326.564482029598,-1,644,0,1,-1,-1,-1,-1,0,NaN,0.22522522522522523,1,1,25398.666666666668,3458.221198156682,3134.349514563107,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,476,11239.83076923077,2929.840336134454,0.7323076923076923,1,28,28,-1,12577.008403361344,-1,649,0,1,-1,-1,-1,-1,0,NaN,0.17535545023696683,1,1,27487.369668246447,3792.8371040723982,3071.3119266055046,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,481,20023.622257053292,2932.089397089397,0.7539184952978056,1,28,28,-1,22528.677754677756,-1,638,0,1,-1,-1,-1,-1,0,NaN,0.27314814814814814,1,1,52761.75925925926,3436.3205741626793,3108.0985915492956,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,470,24810.3,2939.340425531915,0.7704918032786885,1,28,28,-1,30860.348936170212,-1,612,0,1,-1,-1,-1,-1,0,NaN,0.3333333333333333,1,1,66031.34761904762,3250.054187192118,3094.1218274111675,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,478,26693.07986111111,2949.615062761506,0.8298611111111112,1,28,28,-1,27081.416317991632,-1,573,0,1,-1,-1,-1,-1,0,NaN,0.4895833333333333,1,1,73718.02083333333,3287.4864864864867,3088.708542713568,NaN,NaN,NaN,NaN,NaN,NaN
