tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,431,431,431,2941.6666666666665,2932.7012345679013,1,1,28,28,-1,7.464037122969837,-1,431,0,1,-1,-1,-1,-1,0,NaN,1,1,1,2945.1843971631206,2922.659722222222,2968.8,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,473,3323.543524416136,2939.855626326964,1,1,28,28,-1,453.7610993657505,-1,492,0,1,-1,-1,-1,-1,0,NaN,1,1,1,4006.157894736842,3110.709497206704,2999.7044025157234,NaN,NaN,NaN,NaN,NaN,NaN
150000,546,546,472,6008.563559322034,2958.9110169491523,1,1,28,28,-1,3295.2478813559323,-1,546,0,1,-1,-1,-1,-1,0,NaN,1,1,1,15939.504854368932,3332.544943820225,3153.30890052356,NaN,NaN,NaN,NaN,NaN,NaN
200000,591,591,480,10042.512396694216,2929.41875,0.9917355371900827,1,28,28,-1,7175.866666666667,-1,591,0,1,-1,-1,-1,-1,0,NaN,0.963302752293578,1,1,33776.84403669725,3190.774358974359,3099.7,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,481,7755.735668789809,2912.322245322245,0.7659235668789809,1,28,28,-1,8274.627858627859,-1,625,0,1,-1,-1,-1,-1,0,NaN,0.2722772277227723,1,1,17305.861386138615,3390.354066985646,3077.820276497696,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,470,7925.49766718507,2972.755319148936,0.7309486780715396,1,28,28,-1,6265.985106382978,-1,644,0,1,-1,-1,-1,-1,0,NaN,0.16826923076923078,1,1,17370.966346153848,3678.6232558139536,3153.25,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,471,10229.75,2952.4458598726114,0.7268518518518519,1,28,28,-1,11284.938428874735,-1,649,0,1,-1,-1,-1,-1,0,NaN,0.15714285714285714,1,1,24619.085714285713,3562.626126126126,3100.4074074074074,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,474,14962.62441314554,2965.42194092827,0.7417840375586855,1,28,28,-1,18450.78270042194,-1,638,0,1,-1,-1,-1,-1,0,NaN,0.2028985507246377,1,1,39297.41062801932,3494.0873362445413,3094.0591133004928,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,472,26181.647058823528,2964.2033898305085,0.7712418300653595,1,28,28,-1,30089.22033898305,-1,612,0,1,-1,-1,-1,-1,0,NaN,0.32038834951456313,1,1,71259.2281553398,3487.799019607843,3137.8861386138615,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,474,33276.143356643355,2962.4578059071728,0.8286713286713286,1,28,28,-1,37414.350210970464,-1,573,0,1,-1,-1,-1,-1,0,NaN,0.4895833333333333,1,1,92887.31770833333,3281.0813953488373,3061.110576923077,NaN,NaN,NaN,NaN,NaN,NaN
