tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,195,2919.952879581152,2994.3924731182797,0.5549738219895288,0.543010752688172,Infinity,Infinity,-1,1,-1,195,0,1,23712.877551020407,-1,-1,-1,753.1603773584906,15967,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,183,2741.286432160804,2993.153846153846,0.7386934673366834,0.7142857142857143,Infinity,Infinity,-1,1,-1,183,0,1,45549.92105263158,-1,-1,-1,3755.095238095238,32470.529411764706,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,164,2429.5148514851485,2951.9638554216867,0.8514851485148515,0.8192771084337349,Infinity,Infinity,-1,1,-1,164,0,1,68976.14285714286,-1,-1,-1,10570.593023255815,50503.944444444445,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,154,2276.3768844221104,2956.176470588235,0.8844221105527639,0.8496732026143791,Infinity,Infinity,-1,1,-1,154,0,1,94409.41582150101,-1,-1,-1,22873.079545454544,87514.39130434782,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,131,1918.7070707070707,2939.922480620155,0.9595959595959596,0.937984496124031,Infinity,Infinity,-1,1,-1,131,0,1,121013.46254071662,-1,-1,-1,39659.7,109207.86956521739,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,122,1842.686274509804,2978.15873015873,0.9901960784313726,0.9841269841269841,Infinity,Infinity,-1,1,-1,122,0,1,146506.26287262872,-1,-1,-1,53739.43564356436,139171.35897435897,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,110,1586.3959390862944,2915.0654205607475,1,1,Infinity,Infinity,-1,1,-1,110,0,1,174913.94082840238,-1,-1,-1,67879.84771573605,148581.44444444444,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,103,1572.370731707317,2978.796296296296,0.9853658536585366,0.9722222222222222,Infinity,Infinity,-1,1,-1,103,0,1,203230.8282402529,-1,-1,-1,89782.47029702971,186969.68041237115,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,91,1339.960396039604,2904.1075268817203,0.9603960396039604,0.9139784946236559,Infinity,Infinity,-1,1,-1,91,0,1,227905.75,-1,-1,-1,119375.89175257731,212467.18348623853,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,99,1401.3673469387754,2885.1157894736843,0.9030612244897959,0.8,Infinity,Infinity,-1,1,-1,99,0,1,244446.65,-1,-1,-1,131349.70056497175,230187.099009901,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,107,1577.2636815920398,2929.740740740741,0.8805970149253731,0.7777777777777778,Infinity,Infinity,-1,1,-1,107,0,1,256351.4,-1,-1,-1,141038.53672316385,268428.18279569893,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,103,1535.2574257425742,2947.695238095238,0.7871287128712872,0.5904761904761905,Infinity,Infinity,-1,1,-1,103,0,1,276837.35,-1,-1,-1,161948.16981132075,265461.43298969074,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,96,1413.4472361809046,2954.6105263157897,0.8040201005025126,0.5894736842105263,Infinity,Infinity,-1,1,-1,96,0,1,298695.65,-1,-1,-1,208675.8625,321039.78846153844,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,105,1539.7537688442212,2940.4326923076924,0.6633165829145728,0.3557692307692308,Infinity,Infinity,-1,1,-1,105,0,1,328852.75,-1,-1,-1,242304.2803030303,336675.4210526316,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,96,1460.851485148515,3005.0204081632655,0.6287128712871287,0.23469387755102042,Infinity,Infinity,-1,1,-1,96,0,1,365740.35,-1,-1,-1,292376.2834645669,357036.42307692306,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,112,1648.725,2938.5803571428573,0.545,0.1875,Infinity,Infinity,-1,1,-1,112,0,1,403396.6,-1,-1,-1,313314.5504587156,388082.79545454547,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,110,1611.1592039800994,2911.8828828828828,0.5024875621890548,0.0990990990990991,Infinity,Infinity,-1,1,-1,110,0,1,446017.45,-1,-1,-1,370142.8712871287,415382.55555555556,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,87,1281.5979899497488,2958.9302325581393,0.5778894472361809,0.023255813953488372,Infinity,Infinity,-1,1,-1,87,0,1,494619.9,-1,-1,-1,488727.48695652175,497377.5309734513,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,90,1324.8844221105528,2955.9101123595506,0.5527638190954773,0,Infinity,Infinity,-1,1,-1,90,0,1,544619.9,-1,-1,-1,534621.0909090909,534621.0909090909,NaN,NaN,NaN,NaN,NaN,NaN
