tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,199,2964.010582010582,2973.8829787234044,0.5343915343915344,0.5319148936170213,Infinity,Infinity,-1,0,-1,199,0,1,22577.36,-1,-1,-1,5.415841584158416,547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,187,2819.2311557788944,3010.05376344086,0.5276381909547738,0.4946236559139785,Infinity,Infinity,-1,0,-1,187,0,1,50148.369791666664,-1,-1,-1,4331.533333333334,34985.46153846154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,174,2555.6666666666665,2928.902857142857,0.6567164179104478,0.6057142857142858,Infinity,Infinity,-1,0,-1,174,0,1,73439.87542087543,-1,-1,-1,11934.628787878788,60591.192307692305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,155,2313.448275862069,2965.4367088607596,0.729064039408867,0.6518987341772152,Infinity,Infinity,-1,0,-1,155,0,1,98093.25313283208,-1,-1,-1,27782.83108108108,91374.64444444445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,160,2379.477386934673,2971.301886792453,0.7638190954773869,0.7044025157232704,Infinity,Infinity,-1,0,-1,160,0,1,121324.2431372549,-1,-1,-1,30469.24342105263,115783.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,132,1947.1881188118812,2927.6641791044776,0.7970297029702971,0.6940298507462687,Infinity,Infinity,-1,0,-1,132,0,1,149097.5058236273,-1,-1,-1,56419.81366459627,133582.20588235295,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,126,1883.965,2982.436507936508,0.845,0.753968253968254,Infinity,Infinity,-1,0,-1,126,0,1,175621.8201438849,-1,-1,-1,67776.4023668639,154786.64864864864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,121,1828.385,3013.9256198347107,0.88,0.8016528925619835,Infinity,Infinity,-1,0,-1,121,0,1,201041.41287878787,-1,-1,-1,85359.64204545454,190168.31645569621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,107,1566.6969696969697,2945.2761904761905,0.8838383838383839,0.780952380952381,Infinity,Infinity,-1,0,-1,107,0,1,229812.22768878718,-1,-1,-1,121196.04,228057.06451612903,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,96,1449.189054726368,2993.1958762886597,0.9104477611940298,0.8144329896907216,Infinity,Infinity,-1,0,-1,96,0,1,259051.10399159664,-1,-1,-1,140027.9836065574,246395.39423076922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,88,1321.039408866995,2936.5934065934066,0.9458128078817734,0.8791208791208791,Infinity,Infinity,-1,0,-1,88,0,1,280718.18,-1,-1,-1,167362.94270833334,286907.90178571426,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,82,1170.8877551020407,2930.6794871794873,0.9642857142857143,0.9102564102564102,Infinity,Infinity,-1,0,-1,82,0,1,295709.501,-1,-1,-1,185363.56084656084,296895.8728813559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,92,1422.5294117647059,3012.9375,0.9411764705882353,0.875,Infinity,Infinity,-1,0,-1,92,0,1,305549.418,-1,-1,-1,186830.171875,332142.52777777775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,90,1382.79,3062.488888888889,0.97,0.9333333333333333,Infinity,Infinity,-1,0,-1,90,0,1,316209.189,-1,-1,-1,186180.61340206186,328354.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,95,1423.462311557789,3003.5425531914893,0.9748743718592965,0.9468085106382979,Infinity,Infinity,-1,0,-1,95,0,1,324714.823,-1,-1,-1,202963.6649484536,374999.5333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,78,1152.6039603960396,2898.8125,0.9900990099009901,0.975,Infinity,Infinity,-1,0,-1,78,0,1,338188.002,-1,-1,-1,214451.405,351559.68032786885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,95,1420.88,2981.3894736842103,0.99,0.9789473684210527,Infinity,Infinity,-1,0,-1,95,0,1,342532.642,-1,-1,-1,194043.44949494948,365910.50476190477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,102,1494.378787878788,2949.43,0.9848484848484849,0.97,Infinity,Infinity,-1,0,-1,102,0,1,343167.281,-1,-1,-1,149249.04102564103,296975.13265306124,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,98,1469.445,2989.183673469388,1,1,Infinity,Infinity,-1,0,-1,98,0,1,340999.626,-1,-1,-1,213263.77,418164.2549019608,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,92,1392.9752475247524,2983.3617021276596,1,1,Infinity,Infinity,-1,0,-1,92,0,1,340768.221,-1,-1,-1,188643.23267326734,352832.712962963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,93,1345.2121212121212,2916.813186813187,1,1,Infinity,Infinity,-1,0,-1,93,0,1,334665.948,-1,-1,-1,194081.4595959596,359141.3925233645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,101,1520.2450980392157,2944.3142857142857,0.9950980392156863,0.9904761904761905,Infinity,Infinity,-1,0,-1,101,0,1,321921.44,-1,-1,-1,175012.85221674878,358864.7373737374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,102,1489.5641025641025,2985.0103092783506,0.9897435897435898,0.979381443298969,Infinity,Infinity,-1,0,-1,102,0,1,313827.377,-1,-1,-1,174642.01554404144,343937.8469387755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,114,1697.436274509804,2926.101694915254,1,1,Infinity,Infinity,-1,0,-1,114,0,1,296638.684,-1,-1,-1,124155.87745098039,294509.29069767444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,91,1283.9390862944163,2863.8863636363635,0.9949238578680203,0.9886363636363636,Infinity,Infinity,-1,0,-1,91,0,1,297662.618,-1,-1,-1,175448.32142857142,315485.0550458716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,100,1505.5073891625616,2957.747572815534,1,1,Infinity,Infinity,-1,0,-1,100,0,1,295865.27,-1,-1,-1,138322.41871921183,280794.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,90,1305.243654822335,2945.022988505747,0.9593908629441624,0.9080459770114943,Infinity,Infinity,-1,0,-1,90,0,1,299746.763,-1,-1,-1,176582.61375661375,303401.0363636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,93,1406.8308457711444,2998.2659574468084,0.9601990049751243,0.9148936170212766,Infinity,Infinity,-1,0,-1,93,0,1,306600.352,-1,-1,-1,176363.33160621763,318113.2990654206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,89,1354.5812807881773,2978.641304347826,0.9655172413793104,0.9239130434782609,Infinity,Infinity,-1,0,-1,89,0,1,311164.053,-1,-1,-1,168337.85204081633,297245.2162162162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,102,1460.6082474226805,2942.0520833333335,0.9123711340206185,0.8229166666666666,Infinity,Infinity,-1,0,-1,102,0,1,315163.845,-1,-1,-1,199069.23163841807,359543.4081632653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,97,1425.2376237623762,2898.4444444444443,0.9257425742574258,0.8484848484848485,Infinity,Infinity,-1,0,-1,97,0,1,321022.195,-1,-1,-1,177637.66310160427,322507.213592233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,200,200,101,1457.49,2876.6534653465346,0.925,0.8514851485148515,Infinity,Infinity,-1,0,-1,101,0,1,329638.496,-1,-1,-1,197577.32972972974,369210.16161616164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,200,200,101,1477.6567164179105,2902.4901960784314,0.900497512437811,0.803921568627451,Infinity,Infinity,-1,0,-1,101,0,1,333383.953,-1,-1,-1,209355.3038674033,382760.70707070705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
