tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,197,5648.314606741573,6042.30459770115,0.33146067415730335,1,Infinity,Infinity,-1,0,-1,197,0,1,24979.014492753624,-1,-1,-1,997.3050847457627,19613.666666666668,NaN,NaN,NaN,NaN,NaN,NaN,5438.557692307692,5806.373134328358,5661.932203389831,0.11538461538461539,0.3880597014925373,0.4576271186440678
100000,200,200,190,5498.915,6293.5,0.16,1,Infinity,Infinity,-1,0,-1,190,0,1,59898.34,-1,-1,-1,14384.9375,46031.8,NaN,NaN,NaN,NaN,NaN,NaN,5365.135135135135,5764.650793650793,5399.3650793650795,0.02702702702702703,0.20634920634920634,0.2698412698412698
150000,200,200,187,5441.211055276382,6533.0213903743315,0.11055276381909548,1,Infinity,Infinity,-1,0,-1,187,0,1,100521.61061946902,-1,-1,-1,47386.681818181816,80192.84615384616,NaN,NaN,NaN,NaN,NaN,NaN,5267.373134328358,5540.20895522388,5527.276923076923,0.04477611940298507,0.14925373134328357,0.13846153846153847
200000,200,200,191,5593.8,6693.031578947369,0.065,1,Infinity,Infinity,-1,0,-1,191,0,1,145472.09322033898,-1,-1,-1,83105.38461538461,120041.11111111111,NaN,NaN,NaN,NaN,NaN,NaN,5233.864406779661,5735.746268656716,5760.22972972973,0.06779661016949153,0.05970149253731343,0.06756756756756757
250000,200,200,187,5428.074257425743,6955.768817204301,0.06930693069306931,1,Infinity,Infinity,-1,0,-1,187,0,1,192511.60833333334,-1,-1,-1,153707.85714285713,165531.53846153847,NaN,NaN,NaN,NaN,NaN,NaN,5310,5208.583333333333,5810.491803278688,0.037037037037037035,0.13333333333333333,0.04918032786885246
300000,200,200,184,5375.969696969697,7203.644808743169,0.08080808080808081,1,Infinity,Infinity,-1,0,-1,184,0,1,242511.60833333334,-1,-1,-1,217953.25,217953.25,NaN,NaN,NaN,NaN,NaN,NaN,5076.857142857143,5433.369863013699,5621.677419354839,0.07936507936507936,0.0958904109589041,0.06451612903225806
350000,200,200,187,5452.796019900497,7387.101063829788,0.06467661691542288,1,Infinity,Infinity,-1,0,-1,187,0,1,292511.60833333334,-1,-1,-1,266054.46153846156,266054.46153846156,NaN,NaN,NaN,NaN,NaN,NaN,5354.347826086957,5547.2307692307695,5471.4029850746265,0.028985507246376812,0.07692307692307693,0.08955223880597014
400000,200,200,187,5442.945273631841,7596.117647058823,0.06467661691542288,1,Infinity,Infinity,-1,0,-1,187,0,1,342511.60833333334,-1,-1,-1,309873.6923076923,309873.6923076923,NaN,NaN,NaN,NaN,NaN,NaN,5290.7027027027025,5479.308823529412,5602.016949152542,0.04054054054054054,0.08823529411764706,0.06779661016949153
450000,200,200,187,5461.888888888889,7796.054347826087,0.06565656565656566,1,Infinity,Infinity,-1,0,-1,187,0,1,392511.60833333334,-1,-1,-1,357970,357970,NaN,NaN,NaN,NaN,NaN,NaN,5251.714285714285,5716.170731707317,5329.377358490566,0.047619047619047616,0.04878048780487805,0.11320754716981132
500000,200,200,192,5585.24,7942.185185185185,0.04,1,Infinity,Infinity,-1,0,-1,192,0,1,442511.60833333334,-1,-1,-1,407934.25,407934.25,NaN,NaN,NaN,NaN,NaN,NaN,5367.12,5547.2307692307695,5908.95,0.02666666666666667,0.07692307692307693,0.016666666666666666
