tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,2,2954.8823529411766,0.065,0.9946524064171123,Infinity,Infinity,-1,1,-1,200,0,1,23278.659090909092,-1,-1,-1,12739.307692307691,12739.307692307691,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2,2927.445,0.165,0.995,Infinity,Infinity,-1,1,-1,200,0,1,47000.43274853801,-1,-1,-1,35572.757575757576,35572.757575757576,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2,2972.2425742574255,0.225,0.9851485148514851,Infinity,Infinity,-1,1,-1,200,0,1,69532.15261044177,-1,-1,-1,56948.11111111111,56948.11111111111,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2,2894.9751243781093,0.305,0.9751243781094527,Infinity,Infinity,-1,1,-1,200,0,1,91683.54402515723,-1,-1,-1,79273.22950819672,79273.22950819672,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2,2940.425,0.415,0.985,Infinity,Infinity,-1,1,-1,200,0,1,111756.6329787234,-1,-1,-1,111029.53012048193,111029.53012048193,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2,2980.222222222222,0.415,0.9696969696969697,Infinity,Infinity,-1,1,-1,200,0,1,132965.72653534182,-1,-1,-1,110871.69879518072,110871.69879518072,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2,2936.0841584158416,0.525,0.9603960396039604,Infinity,Infinity,-1,1,-1,200,0,1,153836.53653444676,-1,-1,-1,131100.80952380953,131100.80952380953,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2,2906.9646464646466,0.565,0.9545454545454546,Infinity,Infinity,-1,1,-1,200,0,1,165255.8,-1,-1,-1,151598.32743362832,151598.32743362832,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2,2969.44,0.56,0.95,Infinity,Infinity,-1,1,-1,200,0,1,168699.9,-1,-1,-1,154943.42857142858,154943.42857142858,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2,3000.415,0.5,0.96,Infinity,Infinity,-1,1,-1,200,0,1,169253.6,-1,-1,-1,149774.5,149774.5,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,2,2968.6119402985073,0.515,0.9601990049751243,Infinity,Infinity,-1,1,-1,200,0,1,166398.7,-1,-1,-1,177997,177997,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2,2933.273631840796,0.51,0.9502487562189055,Infinity,Infinity,-1,1,-1,200,0,1,163893,-1,-1,-1,167951.9019607843,167951.9019607843,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,2,2953.4545454545455,0.56,0.9343434343434344,Infinity,Infinity,-1,1,-1,200,0,1,168165.4,-1,-1,-1,157165.30357142858,157165.30357142858,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,200,2,2949.2413793103447,0.505,0.9310344827586207,Infinity,Infinity,-1,1,-1,200,0,1,168470.35,-1,-1,-1,147973.73267326734,147973.73267326734,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,200,2,2990.2741116751267,0.505,0.9289340101522843,Infinity,Infinity,-1,1,-1,200,0,1,169094.15,-1,-1,-1,157541.55445544556,157541.55445544556,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,200,2,3041.935,0.55,0.965,Infinity,Infinity,-1,1,-1,200,0,1,169511.4,-1,-1,-1,159567.45454545456,159567.45454545456,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,200,2,2905.945,0.505,0.95,Infinity,Infinity,-1,1,-1,200,0,1,171154,-1,-1,-1,145366.801980198,145366.801980198,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,200,2,2959.44,0.545,0.935,Infinity,Infinity,-1,1,-1,200,0,1,172268.6,-1,-1,-1,154942.87155963303,154942.87155963303,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,200,2,2912.92,0.595,0.87,Infinity,Infinity,-1,1,-1,200,0,1,176577.35,-1,-1,-1,182549.9411764706,182549.9411764706,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,200,2,2920.522613065327,0.545,0.9296482412060302,Infinity,Infinity,-1,1,-1,200,0,1,176438.05,-1,-1,-1,176956.17431192662,176956.17431192662,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,200,2,2939.0544554455446,0.54,0.900990099009901,Infinity,Infinity,-1,1,-1,200,0,1,175636.3,-1,-1,-1,161569.6851851852,161569.6851851852,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,200,2,2987.955,0.515,0.89,Infinity,Infinity,-1,1,-1,200,0,1,175573.1,-1,-1,-1,169882.9223300971,169882.9223300971,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,200,2,2904.4343434343436,0.49,0.8686868686868687,Infinity,Infinity,-1,1,-1,200,0,1,174838.1,-1,-1,-1,194324.04081632654,194324.04081632654,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,200,2,2978.1782178217823,0.61,0.8712871287128713,Infinity,Infinity,-1,1,-1,200,0,1,178721.75,-1,-1,-1,167081.4262295082,167081.4262295082,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,200,2,2921.44,0.55,0.89,Infinity,Infinity,-1,1,-1,200,0,1,181278.95,-1,-1,-1,157672.9090909091,157672.9090909091,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,200,2,2989.96,0.61,0.885,Infinity,Infinity,-1,1,-1,200,0,1,183338.65,-1,-1,-1,178354.7868852459,178354.7868852459,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,200,2,2987.945,0.54,0.835,Infinity,Infinity,-1,1,-1,200,0,1,186247.55,-1,-1,-1,166230.33333333334,166230.33333333334,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,200,2,2952.681592039801,0.565,0.8557213930348259,Infinity,Infinity,-1,1,-1,200,0,1,188634.8,-1,-1,-1,179269.5663716814,179269.5663716814,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,200,2,2956.989898989899,0.555,0.8434343434343434,Infinity,Infinity,-1,1,-1,200,0,1,189850.2,-1,-1,-1,197460.51351351352,197460.51351351352,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,200,2,2931.318407960199,0.55,0.845771144278607,Infinity,Infinity,-1,1,-1,200,0,1,192350.95,-1,-1,-1,169358.36363636365,169358.36363636365,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,200,2,3002.4371859296484,0.565,0.8291457286432161,Infinity,Infinity,-1,1,-1,200,0,1,192260.55,-1,-1,-1,206921.77876106196,206921.77876106196,NaN,NaN,NaN,NaN,NaN,NaN
1600000,200,200,200,2,2944.4950495049507,0.625,0.8663366336633663,Infinity,Infinity,-1,1,-1,200,0,1,190673.25,-1,-1,-1,202534.2,202534.2,NaN,NaN,NaN,NaN,NaN,NaN
1650000,200,200,200,2,2975.291457286432,0.5,0.8291457286432161,Infinity,Infinity,-1,1,-1,200,0,1,190302.25,-1,-1,-1,198455.5,198455.5,NaN,NaN,NaN,NaN,NaN,NaN
1700000,200,200,200,2,2954.93,0.48,0.835,Infinity,Infinity,-1,1,-1,200,0,1,187843.95,-1,-1,-1,181369.39583333334,181369.39583333334,NaN,NaN,NaN,NaN,NaN,NaN
1750000,200,200,200,2,3027.212121212121,0.555,0.8232323232323232,Infinity,Infinity,-1,1,-1,200,0,1,190983.9,-1,-1,-1,187244.2972972973,187244.2972972973,NaN,NaN,NaN,NaN,NaN,NaN
1800000,200,200,200,2,2945.9950495049507,0.515,0.8118811881188119,Infinity,Infinity,-1,1,-1,200,0,1,191153,-1,-1,-1,207135.83495145632,207135.83495145632,NaN,NaN,NaN,NaN,NaN,NaN
1850000,200,200,200,2,2955.713567839196,0.455,0.8492462311557789,Infinity,Infinity,-1,1,-1,200,0,1,189434.85,-1,-1,-1,188244.25274725276,188244.25274725276,NaN,NaN,NaN,NaN,NaN,NaN
1900000,200,200,200,2,2914.3217821782177,0.455,0.8366336633663366,Infinity,Infinity,-1,1,-1,200,0,1,185737.55,-1,-1,-1,199086.56043956045,199086.56043956045,NaN,NaN,NaN,NaN,NaN,NaN
1950000,200,200,200,2,2979.935,0.525,0.805,Infinity,Infinity,-1,1,-1,200,0,1,190087.25,-1,-1,-1,180417,180417,NaN,NaN,NaN,NaN,NaN,NaN
