tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,2.005,1415.3556701030927,0.075,1,Infinity,Infinity,-1,0.995,-1,200,0,1,-1,-1,-1,-1,14033.666666666666,14033.666666666666,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2,1488.3517587939698,0.115,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,46403.52173913043,46403.52173913043,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2,1454.445,0.25,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,59959,59959,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2,1447.9752475247524,0.34,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,70372,70372,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2,1485.965,0.37,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,94619.2972972973,94619.2972972973,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2,1481.3366834170854,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,127799.77777777778,127799.77777777778,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2,1438.7562189054727,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,132250.63636363635,132250.63636363635,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2,1440.1306532663316,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,157796.51923076922,157796.51923076922,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2,1439.925,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,168589.9245283019,168589.9245283019,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2,1462.3366336633662,0.5,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,168854.5,168854.5,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,2,1494.391959798995,0.535,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,141969.89719626168,141969.89719626168,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2,1404.9203980099503,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,174677.47619047618,174677.47619047618,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,2,1413.9849246231156,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,136963.2037037037,136963.2037037037,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,200,2,1428.465,0.57,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,162792.61403508772,162792.61403508772,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,200,2,1430.945,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,157741.66019417476,157741.66019417476,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,200,2,1480.7171717171718,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,138149.40384615384,138149.40384615384,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,200,2,1487.569306930693,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,165282.9223300971,165282.9223300971,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,200,2,1470.1262626262626,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,170935.679245283,170935.679245283,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,200,2,1484.955,0.58,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,139212.94827586206,139212.94827586206,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,200,2,1416.6995073891626,0.48,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,158119.91666666666,158119.91666666666,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,200,2,1445.92,0.51,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,146703.3725490196,146703.3725490196,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,200,2,1405.445,0.5,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,166781.5,166781.5,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,200,2,1436.7929292929293,0.535,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,130611.01869158879,130611.01869158879,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,200,2,1461.2462311557788,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154867.9090909091,154867.9090909091,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,200,2,1440.549504950495,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,143541.7619047619,143541.7619047619,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,200,2,1471.788944723618,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,161732.57692307694,161732.57692307694,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,200,2,1434.45,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,143402.2380952381,143402.2380952381,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,200,2,1426.148514851485,0.495,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,144643.9696969697,144643.9696969697,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,200,2,1433.94,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,153299.35849056602,153299.35849056602,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,200,2,1484.3668341708542,0.51,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,151589.64705882352,151589.64705882352,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,200,2,2389.630769230769,0.44,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,136974.8409090909,136974.8409090909,NaN,NaN,NaN,NaN,NaN,NaN
1600000,200,200,200,2,2488.9950248756218,0.505,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154010.36633663366,154010.36633663366,NaN,NaN,NaN,NaN,NaN,NaN
1650000,200,200,200,2,2492.894472361809,0.535,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154907.7476635514,154907.7476635514,NaN,NaN,NaN,NaN,NaN,NaN
1700000,200,200,200,2,2459.9,0.59,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,142589.37288135593,142589.37288135593,NaN,NaN,NaN,NaN,NaN,NaN
1750000,200,200,200,2,2478.43,0.495,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154157.60606060605,154157.60606060605,NaN,NaN,NaN,NaN,NaN,NaN
1800000,200,200,200,2,2477.5671641791046,0.6,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,141789.91666666666,141789.91666666666,NaN,NaN,NaN,NaN,NaN,NaN
1850000,200,200,200,2,2475.925,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,153468.81818181818,153468.81818181818,NaN,NaN,NaN,NaN,NaN,NaN
1900000,200,200,200,2,2418.41,0.51,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,158899.45098039217,158899.45098039217,NaN,NaN,NaN,NaN,NaN,NaN
1950000,200,200,200,2,2449.935,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,159943.15384615384,159943.15384615384,NaN,NaN,NaN,NaN,NaN,NaN
2000000,200,200,200,2,2483.854271356784,0.6,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,146809.5,146809.5,NaN,NaN,NaN,NaN,NaN,NaN
2050000,200,200,200,2,2404.445,0.545,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,143180.48623853212,143180.48623853212,NaN,NaN,NaN,NaN,NaN,NaN
2100000,200,200,200,2,2478.5671641791046,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,155410.5922330097,155410.5922330097,NaN,NaN,NaN,NaN,NaN,NaN
2150000,200,200,200,2,2433.2323232323233,0.575,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,158777,158777,NaN,NaN,NaN,NaN,NaN,NaN
2200000,200,200,200,2,2446.783251231527,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,168434.96296296295,168434.96296296295,NaN,NaN,NaN,NaN,NaN,NaN
2250000,200,200,200,2,2447.175879396985,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,137306.2233009709,137306.2233009709,NaN,NaN,NaN,NaN,NaN,NaN
2300000,200,200,200,2,2486.8391959798996,0.58,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,151311.22413793104,151311.22413793104,NaN,NaN,NaN,NaN,NaN,NaN
2350000,200,200,200,2,2452.6716417910447,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,132214.61904761905,132214.61904761905,NaN,NaN,NaN,NaN,NaN,NaN
2400000,200,200,200,2,2469.7738693467336,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,172298.38888888888,172298.38888888888,NaN,NaN,NaN,NaN,NaN,NaN
2450000,200,200,200,2,2469.0995024875624,0.61,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,168094.54098360657,168094.54098360657,NaN,NaN,NaN,NaN,NaN,NaN
2500000,200,200,200,2,2451.45,0.5,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,148271.5,148271.5,NaN,NaN,NaN,NaN,NaN,NaN
2550000,200,200,200,2,2465.246231155779,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,153928.0185185185,153928.0185185185,NaN,NaN,NaN,NaN,NaN,NaN
2600000,200,200,200,2,2456.21608040201,0.48,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,140534.5,140534.5,NaN,NaN,NaN,NaN,NaN,NaN
2650000,200,200,200,2,2465.636815920398,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,157591.81132075473,157591.81132075473,NaN,NaN,NaN,NaN,NaN,NaN
2700000,200,200,200,2,2446.643216080402,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154569.6851851852,154569.6851851852,NaN,NaN,NaN,NaN,NaN,NaN
2750000,200,200,200,2,2434.579207920792,0.585,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,163165.37606837606,163165.37606837606,NaN,NaN,NaN,NaN,NaN,NaN
2800000,200,200,200,2,2454.4747474747473,0.565,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,150677.97345132745,150677.97345132745,NaN,NaN,NaN,NaN,NaN,NaN
2850000,200,200,200,2,2412.910447761194,0.5,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,144474,144474,NaN,NaN,NaN,NaN,NaN,NaN
2900000,200,200,200,2,2462.455,0.475,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,153230.68421052632,153230.68421052632,NaN,NaN,NaN,NaN,NaN,NaN
2950000,200,200,200,2,2472.955,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,149782.37735849057,149782.37735849057,NaN,NaN,NaN,NaN,NaN,NaN
3000000,200,200,200,2,2451.673366834171,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,155141.66019417476,155141.66019417476,NaN,NaN,NaN,NaN,NaN,NaN
3050000,200,200,200,2,2903.425,0.555,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,153860.06306306308,153860.06306306308,NaN,NaN,NaN,NaN,NaN,NaN
3100000,200,200,200,2,2956.211055276382,0.54,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,157134.5,157134.5,NaN,NaN,NaN,NaN,NaN,NaN
3150000,200,200,200,2,2944.0148514851485,0.56,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,153407.26785714287,153407.26785714287,NaN,NaN,NaN,NaN,NaN,NaN
3200000,200,200,200,2,2918.1573604060914,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,162826.8076923077,162826.8076923077,NaN,NaN,NaN,NaN,NaN,NaN
3250000,200,200,200,2,2936.2885572139303,0.57,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,143674.63157894736,143674.63157894736,NaN,NaN,NaN,NaN,NaN,NaN
3300000,200,200,200,2,2946.233830845771,0.515,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154307.6796116505,154307.6796116505,NaN,NaN,NaN,NaN,NaN,NaN
3350000,200,200,200,2,2966.2763819095476,0.505,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,148231.15841584158,148231.15841584158,NaN,NaN,NaN,NaN,NaN,NaN
3400000,200,200,200,2,2966.6069651741295,0.45,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,146048.11111111112,146048.11111111112,NaN,NaN,NaN,NaN,NaN,NaN
3450000,200,200,200,2,2892.415,0.495,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,151823.7676767677,151823.7676767677,NaN,NaN,NaN,NaN,NaN,NaN
3500000,200,200,200,2,2935.939086294416,0.57,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154149.63157894736,154149.63157894736,NaN,NaN,NaN,NaN,NaN,NaN
3550000,200,200,200,2,2981.138613861386,0.56,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,155980.92857142858,155980.92857142858,NaN,NaN,NaN,NaN,NaN,NaN
3600000,200,200,200,2,2947.44,0.525,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,160284.61904761905,160284.61904761905,NaN,NaN,NaN,NaN,NaN,NaN
3650000,200,200,200,2,2978.049751243781,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,159606.90566037735,159606.90566037735,NaN,NaN,NaN,NaN,NaN,NaN
3700000,200,200,200,2,2926.0502512562816,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,161398.81818181818,161398.81818181818,NaN,NaN,NaN,NaN,NaN,NaN
3750000,200,200,200,2,2965.43,0.52,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,164294.11538461538,164294.11538461538,NaN,NaN,NaN,NaN,NaN,NaN
3800000,200,200,200,2,2941.39,0.51,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,124061.2156862745,124061.2156862745,NaN,NaN,NaN,NaN,NaN,NaN
3850000,200,200,200,2,2963.30198019802,0.53,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,154046.05660377358,154046.05660377358,NaN,NaN,NaN,NaN,NaN,NaN
3900000,200,200,200,2,2907.925,0.495,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,150274.27272727274,150274.27272727274,NaN,NaN,NaN,NaN,NaN,NaN
3950000,200,200,200,2,2966.286432160804,0.55,1,Infinity,Infinity,-1,1,-1,200,0,1,-1,-1,-1,-1,164836.54545454544,164836.54545454544,NaN,NaN,NaN,NaN,NaN,NaN
