tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,200,2,2946.871657754011,0.015,0.5240641711229946,Infinity,Infinity,-1,1,-1,200,0,1,21651.291666666668,-1,-1,-1,15747,15747,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2,2983.5940594059407,0.09,0.6485148514851485,Infinity,Infinity,-1,1,-1,200,0,1,44452.25471698113,-1,-1,-1,28763.666666666668,28763.666666666668,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2,2979.044776119403,0.19,0.8109452736318408,Infinity,Infinity,-1,1,-1,200,0,1,62866.38372093023,-1,-1,-1,47999.63157894737,47999.63157894737,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2,2952.44,0.185,0.89,Infinity,Infinity,-1,1,-1,200,0,1,82659.71428571429,-1,-1,-1,61744.2972972973,61744.2972972973,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2,2927.075376884422,0.305,0.9346733668341709,Infinity,Infinity,-1,1,-1,200,0,1,102826.17741935483,-1,-1,-1,77625.68852459016,77625.68852459016,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2,2939.1356783919596,0.405,0.9748743718592965,Infinity,Infinity,-1,1,-1,200,0,1,120841.91105121294,-1,-1,-1,112045.76543209876,112045.76543209876,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2,2942.228855721393,0.4,0.9950248756218906,Infinity,Infinity,-1,1,-1,200,0,1,138947.6756126021,-1,-1,-1,127407,127407,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2,2968.7738693467336,0.435,0.9798994974874372,Infinity,Infinity,-1,1,-1,200,0,1,158775.48340248963,-1,-1,-1,128713.091954023,128713.091954023,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2,2924.41,0.525,0.92,Infinity,Infinity,-1,1,-1,200,0,1,165962.5,-1,-1,-1,161154.14285714287,161154.14285714287,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2,2896.4950495049507,0.515,0.8613861386138614,Infinity,Infinity,-1,1,-1,200,0,1,169123.25,-1,-1,-1,164075.64077669903,164075.64077669903,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,2,2963.2663316582916,0.52,0.7286432160804021,Infinity,Infinity,-1,1,-1,200,0,1,180221.5,-1,-1,-1,167821.03846153847,167821.03846153847,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2,2926.2885572139303,0.52,0.5970149253731343,Infinity,Infinity,-1,1,-1,200,0,1,192865,-1,-1,-1,184796.51923076922,184796.51923076922,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,2,2940.1256281407036,0.585,0.49246231155778897,Infinity,Infinity,-1,1,-1,200,0,1,216833.55,-1,-1,-1,184314.94871794872,184314.94871794872,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,200,2,2962.748743718593,0.49,0.35678391959798994,Infinity,Infinity,-1,1,-1,200,0,1,243445.85,-1,-1,-1,232328.1224489796,232328.1224489796,NaN,NaN,NaN,NaN,NaN,NaN
