tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,200,2,2953.809523809524,0.025,0.5291005291005291,Infinity,Infinity,-1,1,-1,200,0,1,22908.285714285714,-1,-1,-1,9737,9737,0.014925373134328358,0.04054054054054054,0.01694915254237288,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,200,2,3013.935,0.09,0.56,Infinity,Infinity,-1,1,-1,200,0,1,46582.38383838384,-1,-1,-1,31858.11111111111,31858.11111111111,0.13846153846153847,0.09859154929577464,0.03125,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,200,2,2875.0746268656717,0.12,0.582089552238806,Infinity,Infinity,-1,1,-1,200,0,1,69759.94684385382,-1,-1,-1,50134.5,50134.5,0.08695652173913043,0.11290322580645161,0.15942028985507245,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,200,2,2980.3366834170856,0.175,0.6482412060301508,Infinity,Infinity,-1,1,-1,200,0,1,90533.19902912622,-1,-1,-1,86322.71428571429,86322.71428571429,0.1917808219178082,0.16666666666666666,0.16363636363636364,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,200,2,2963.7688442211056,0.245,0.628140703517588,Infinity,Infinity,-1,1,-1,200,0,1,112012.8492063492,-1,-1,-1,105078.63265306123,105078.63265306123,0.208955223880597,0.3064516129032258,0.22535211267605634,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,200,2,2978.455,0.295,0.735,Infinity,Infinity,-1,1,-1,200,0,1,131625.43564356436,-1,-1,-1,112406.32203389831,112406.32203389831,0.25757575757575757,0.3333333333333333,0.288135593220339,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,200,2,2939.731343283582,0.33,0.736318407960199,Infinity,Infinity,-1,1,-1,200,0,1,151460.94915254237,-1,-1,-1,134915.18181818182,134915.18181818182,0.3230769230769231,0.3384615384615385,0.32857142857142857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,200,2,2924.8258706467664,0.42,0.7313432835820896,Infinity,Infinity,-1,1,-1,200,0,1,169513.73684210525,-1,-1,-1,165677.35714285713,165677.35714285713,0.4852941176470588,0.43661971830985913,0.32786885245901637,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,200,2,2980.0348258706467,0.44,0.8159203980099502,Infinity,Infinity,-1,1,-1,200,0,1,183799.33108866442,-1,-1,-1,191509.5,191509.5,0.43661971830985913,0.4406779661016949,0.44285714285714284,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,200,2,2951.439393939394,0.49,0.8585858585858586,Infinity,Infinity,-1,1,-1,200,0,1,200357.81780962128,-1,-1,-1,169127.10204081633,169127.10204081633,0.46875,0.5362318840579711,0.4626865671641791,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,200,2,2925.43,0.545,0.815,Infinity,Infinity,-1,1,-1,200,0,1,203440.15,-1,-1,-1,199191.0366972477,199191.0366972477,0.6119402985074627,0.49295774647887325,0.532258064516129,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,200,2,2933.94,0.57,0.92,Infinity,Infinity,-1,1,-1,200,0,1,196193.75,-1,-1,-1,183577.70175438595,183577.70175438595,0.5294117647058824,0.5757575757575758,0.6060606060606061,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,200,2,2977.809045226131,0.52,0.9195979899497487,Infinity,Infinity,-1,1,-1,200,0,1,190628.65,-1,-1,-1,183223.4423076923,183223.4423076923,0.5588235294117647,0.4090909090909091,0.5909090909090909,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
