tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,200,4,6062.254237288135,0.035,1,Infinity,Infinity,-1,0,-1,200,0,1,21603.404624277457,-1,-1,-1,22797,22797,NaN,NaN,NaN,NaN,NaN,NaN,6.982758620689655,7,6.986301369863014,0,0.043478260869565216,0.0547945205479452
100000,200,200,200,4,6273.435,0.16,1,Infinity,Infinity,-1,0,-1,200,0,1,45624.72514619883,-1,-1,-1,36995.4375,36995.4375,NaN,NaN,NaN,NaN,NaN,NaN,6.948717948717949,6.966101694915254,6.9523809523809526,0.1282051282051282,0.1694915254237288,0.19047619047619047
150000,200,200,200,4,6507.477157360406,0.235,1,Infinity,Infinity,-1,0,-1,200,0,1,68111.43177189409,-1,-1,-1,56304.44680851064,56304.44680851064,NaN,NaN,NaN,NaN,NaN,NaN,6.966666666666667,6.955223880597015,6.917808219178082,0.2,0.23880597014925373,0.2602739726027397
200000,200,200,200,4,6734.592964824121,0.305,1,Infinity,Infinity,-1,0,-1,200,0,1,90103.58451816745,-1,-1,-1,77927.32786885246,77927.32786885246,NaN,NaN,NaN,NaN,NaN,NaN,6.951612903225806,6.887096774193548,6.934210526315789,0.27419354838709675,0.3548387096774194,0.2894736842105263
250000,200,200,200,4,6946.455,0.335,1,Infinity,Infinity,-1,0,-1,200,0,1,111811.60313315927,-1,-1,-1,93667.89552238806,93667.89552238806,NaN,NaN,NaN,NaN,NaN,NaN,6.9,6.967741935483871,6.955882352941177,0.38571428571428573,0.3064516129032258,0.3088235294117647
300000,200,200,200,4,7197.89898989899,0.44,1,Infinity,Infinity,-1,0,-1,200,0,1,132985.80821917808,-1,-1,-1,115268.59090909091,115268.59090909091,NaN,NaN,NaN,NaN,NaN,NaN,6.9,6.9411764705882355,6.902777777777778,0.43333333333333335,0.4117647058823529,0.4722222222222222
350000,200,200,200,4,7397.457711442786,0.49,1,Infinity,Infinity,-1,0,-1,200,0,1,152126.93039918118,-1,-1,-1,140879.14285714287,140879.14285714287,NaN,NaN,NaN,NaN,NaN,NaN,6.926470588235294,6.9,6.903225806451613,0.47058823529411764,0.4142857142857143,0.5967741935483871
400000,200,200,200,4,7531.525510204082,0.5,1,Infinity,Infinity,-1,0,-1,200,0,1,156138.9,-1,-1,-1,157219.5,157219.5,NaN,NaN,NaN,NaN,NaN,NaN,6.907692307692308,6.913043478260869,6.848484848484849,0.49230769230769234,0.5072463768115942,0.5
450000,200,200,200,4,7813.331683168317,0.585,1,Infinity,Infinity,-1,0,-1,200,0,1,157634.95,-1,-1,-1,154911.95726495725,154911.95726495725,NaN,NaN,NaN,NaN,NaN,NaN,6.901639344262295,6.8375,6.915254237288136,0.6065573770491803,0.575,0.576271186440678
500000,200,200,200,4,7935.272727272727,0.54,1,Infinity,Infinity,-1,0,-1,200,0,1,157799.5,-1,-1,-1,156700.24074074073,156700.24074074073,NaN,NaN,NaN,NaN,NaN,NaN,6.8979591836734695,6.805194805194805,6.851351351351352,0.5306122448979592,0.5714285714285714,0.5135135135135135
550000,200,200,200,4,8138.435,0.465,1,Infinity,Infinity,-1,0,-1,200,0,1,156295.95,-1,-1,-1,162160.97849462365,162160.97849462365,NaN,NaN,NaN,NaN,NaN,NaN,6.871428571428571,6.967213114754099,6.884057971014493,0.4714285714285714,0.4098360655737705,0.5072463768115942
600000,200,200,200,4,8323.141414141413,0.535,1,Infinity,Infinity,-1,0,-1,200,0,1,156043.35,-1,-1,-1,149927.3738317757,149927.3738317757,NaN,NaN,NaN,NaN,NaN,NaN,6.9375,6.869565217391305,6.91044776119403,0.46875,0.6231884057971014,0.5074626865671642
650000,200,200,200,4,8419.890547263682,0.495,1,Infinity,Infinity,-1,0,-1,200,0,1,157147.5,-1,-1,-1,145477.30303030304,145477.30303030304,NaN,NaN,NaN,NaN,NaN,NaN,6.950819672131147,6.884057971014493,6.914285714285715,0.5245901639344263,0.5362318840579711,0.42857142857142855
700000,200,200,200,4,8588.44,0.58,1,Infinity,Infinity,-1,0,-1,200,0,1,158159.6,-1,-1,-1,156660.7931034483,156660.7931034483,NaN,NaN,NaN,NaN,NaN,NaN,6.96969696969697,6.882352941176471,6.909090909090909,0.5151515151515151,0.6176470588235294,0.6060606060606061
750000,200,200,200,4,8689.884422110552,0.555,1,Infinity,Infinity,-1,0,-1,200,0,1,157625.75,-1,-1,-1,142253.75675675675,142253.75675675675,NaN,NaN,NaN,NaN,NaN,NaN,6.885245901639344,6.923076923076923,6.9324324324324325,0.6065573770491803,0.5846153846153846,0.4864864864864865
