tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,375,2,2942.5397727272725,0.05,0.5028409090909091,Infinity,Infinity,-1,0,-1,375,0,1.8295454545454546,22155.880239520957,-1,-1,-1,14927,14927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,345,2,2949.253561253561,0.17,0.584045584045584,Infinity,Infinity,-1,0,-1,345,0,1.7806267806267806,44967.3125,-1,-1,-1,36473.76470588235,36473.76470588235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,332,2,2935.16,0.28,0.5938461538461538,Infinity,Infinity,-1,0,-1,332,0,1.646153846153846,68357.84631578947,-1,-1,-1,53351.03571428572,53351.03571428572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,323,2,2931.1656626506024,0.275,0.6265060240963856,Infinity,Infinity,-1,0,-1,323,0,1.7379518072289157,89388.69292604501,-1,-1,-1,76957.85454545454,76957.85454545454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,322,2,2961.3375,0.375,0.61875,Infinity,Infinity,-1,0,-1,322,0,1.646875,110669.23631508679,-1,-1,-1,92185.64,92185.64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,269,2,2965.80073800738,0.43,0.7453874538745388,Infinity,Infinity,-1,0,-1,269,0,1.3763837638376384,132147.12746234066,-1,-1,-1,110500.47674418605,110500.47674418605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,262,2,2923.8264150943396,0.47,0.7660377358490567,Infinity,Infinity,-1,0,-1,262,0,1.3056603773584905,152609.77239958805,-1,-1,-1,119849.0744680851,119849.0744680851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,255,2,2932.1150793650795,0.52,0.7817460317460317,Infinity,Infinity,-1,0,-1,255,0,1.246031746031746,159731.102,-1,-1,-1,142753.28846153847,142753.28846153847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,242,2,3010.9590163934427,0.51,0.8278688524590164,Infinity,Infinity,-1,0,-1,242,0,1.290983606557377,158053.98,-1,-1,-1,161622.5980392157,161622.5980392157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,239,2,2959.858333333333,0.52,0.8375,Infinity,Infinity,-1,0,-1,239,0,1.1916666666666667,158591.408,-1,-1,-1,136522.4423076923,136522.4423076923,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,227,2,2970.382222222222,0.53,0.88,Infinity,Infinity,-1,0,-1,227,0,1.1244444444444444,158419.27,-1,-1,-1,155688.93396226416,155688.93396226416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,230,2,2951.7296137339054,0.51,0.871244635193133,Infinity,Infinity,-1,0,-1,230,0,1.1545064377682404,156348.141,-1,-1,-1,154328.51960784313,154328.51960784313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
