tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,377,2,2941.5714285714284,0.05,0.4942857142857143,Infinity,28,-1,1.3050397877984086,-1,377,0,1.86,22424.11111111111,-1,-1,-1,14668.8,14668.8,0.04938271604938271,0.06557377049180328,0.034482758620689655,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,355,2,2947.1353591160223,0.095,0.5718232044198895,Infinity,28,-1,1,-1,355,0,1.9171270718232045,45572.5632183908,-1,-1,-1,42633.68421052631,42633.68421052631,0.13846153846153847,0.0967741935483871,0.0547945205479452,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,311,2,2941.7727272727275,0.19,0.6396103896103896,Infinity,28,-1,1,-1,311,0,1.5974025974025974,69383.80708661418,-1,-1,-1,62103.10526315789,62103.10526315789,0.18333333333333332,0.21428571428571427,0.17142857142857143,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,310,2,2991.741324921136,0.305,0.6529968454258676,Infinity,28,-1,1,-1,310,0,1.6687697160883281,90999.71274961598,-1,-1,-1,76282.26229508196,76282.26229508196,0.3181818181818182,0.29411764705882354,0.30303030303030304,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,296,2,2944.952861952862,0.38,0.6767676767676768,Infinity,28,-1,1,-1,296,0,1.5151515151515151,112997.34149484536,-1,-1,-1,92940.56578947368,92940.56578947368,0.3389830508474576,0.43243243243243246,0.3582089552238806,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,282,2,2945.286219081272,0.43,0.7102473498233216,Infinity,28,-1,1,-1,282,0,1.4063604240282686,132745.8309070549,-1,-1,-1,130283,130283,0.36666666666666664,0.4603174603174603,0.45454545454545453,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,273,2,3000.741697416974,0.51,0.7306273062730627,Infinity,28,-1,1,-1,273,0,1.4022140221402215,154593.15501519758,-1,-1,-1,135341.75490196078,135341.75490196078,0.5,0.4533333333333333,0.5964912280701754,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,261,2,2920.110687022901,0.515,0.767175572519084,Infinity,28,-1,1,-1,261,0,1.297709923664122,157502,-1,-1,-1,151147.5922330097,151147.5922330097,0.4153846153846154,0.5454545454545454,0.5862068965517241,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,250,2,2940.7871485943774,0.555,0.7991967871485943,Infinity,28,-1,1,-1,250,0,1.2570281124497993,158454.396,-1,-1,-1,157522.66666666666,157522.66666666666,0.5,0.6216216216216216,0.5333333333333333,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,247,2,2940.734939759036,0.505,0.8112449799196787,Infinity,28,-1,1,-1,247,0,1.21285140562249,158953.494,-1,-1,-1,138565.81188118813,138565.81188118813,0.5757575757575758,0.46153846153846156,0.4782608695652174,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,223,2,2982.1793721973095,0.51,0.8968609865470852,Infinity,28,-1,1,-1,223,0,1.1614349775784754,157104.915,-1,-1,-1,163791.33333333334,163791.33333333334,0.47761194029850745,0.5142857142857142,0.5396825396825397,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,230,2,2948.1353711790393,0.5,0.868995633187773,Infinity,28,-1,1,-1,230,0,1.1572052401746724,154829.338,-1,-1,-1,168569.14,168569.14,0.4142857142857143,0.6153846153846154,0.47692307692307695,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,216,2,2982.557603686636,0.525,0.9262672811059908,Infinity,28,-1,1,-1,216,0,1.0829493087557605,155851.813,-1,-1,-1,147559.8,147559.8,0.5081967213114754,0.5166666666666667,0.5443037974683544,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,219,2,2966.1493212669684,0.49,0.9140271493212669,Infinity,28,-1,1,-1,219,0,1.1176470588235294,155902.341,-1,-1,-1,153646.04081632654,153646.04081632654,0.42592592592592593,0.5974025974025974,0.42028985507246375,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,209,2,2998.0625,0.505,0.9567307692307693,Infinity,28,-1,1,-1,209,0,1.0384615384615385,155487.712,-1,-1,-1,148398.44554455444,148398.44554455444,0.484375,0.5,0.5357142857142857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,205,2,2959.4829268292683,0.485,0.975609756097561,Infinity,28,-1,1,-1,205,0,1.0292682926829269,155602.503,-1,-1,-1,149874.28865979382,149874.28865979382,0.5,0.5737704918032787,0.38461538461538464,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,206,2,2945.606796116505,0.52,0.970873786407767,Infinity,28,-1,1,-1,206,0,1.029126213592233,156557.903,-1,-1,-1,147281.5576923077,147281.5576923077,0.5294117647058824,0.5303030303030303,0.5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,201,2,2980.7586206896553,0.48,0.9950738916256158,Infinity,28,-1,1,-1,201,0,1.0049261083743843,155005.133,-1,-1,-1,158822.625,158822.625,0.43478260869565216,0.5,0.5072463768115942,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,202,2,2988.4776119402986,0.55,0.9900497512437811,Infinity,28,-1,1,-1,202,0,1.0099502487562189,155963.866,-1,-1,-1,145731.29090909092,145731.29090909092,0.6,0.5806451612903226,0.48717948717948717,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,200,2,2961.415,0.55,1,Infinity,28,-1,1,-1,200,0,1,156243.468,-1,-1,-1,157830.30909090908,157830.30909090908,0.5230769230769231,0.6206896551724138,0.5194805194805194,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,201,2,2938.059405940594,0.535,0.995049504950495,Infinity,28,-1,1,-1,201,0,1.004950495049505,156006.846,-1,-1,-1,154550.06542056074,154550.06542056074,0.47761194029850745,0.5,0.6197183098591549,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,202,2,2990.497512437811,0.56,0.9900497512437811,Infinity,28,-1,1,-1,202,0,1.0099502487562189,158402.515,-1,-1,-1,148428.85714285713,148428.85714285713,0.5161290322580645,0.5441176470588235,0.6142857142857143,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,204,2,2968.6176470588234,0.525,0.9803921568627451,Infinity,28,-1,1,-1,204,0,1.0245098039215685,156938.861,-1,-1,-1,156829.24761904762,156829.24761904762,0.6268656716417911,0.5362318840579711,0.40625,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,204,2,2975.039800995025,0.58,0.9800995024875622,Infinity,28,-1,1,-1,204,0,1.0199004975124377,160186.852,-1,-1,-1,151907.9396551724,151907.9396551724,0.559322033898305,0.65,0.5432098765432098,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,208,2,2952.3952380952383,0.57,0.9619047619047619,Infinity,28,-1,1,-1,208,0,1.0380952380952382,158100.583,-1,-1,-1,172619.45614035087,172619.45614035087,0.4838709677419355,0.6567164179104478,0.5633802816901409,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,209,2,2949.052380952381,0.54,0.9571428571428572,Infinity,28,-1,1,-1,209,0,1.042857142857143,156734.901,-1,-1,-1,161850.09259259258,161850.09259259258,0.5692307692307692,0.47368421052631576,0.5932203389830508,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,212,2,2970.311004784689,0.56,0.9425837320574163,Infinity,28,-1,1,-1,212,0,1.062200956937799,158506.631,-1,-1,-1,152568.92857142858,152568.92857142858,0.5454545454545454,0.5423728813559322,0.5866666666666667,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,216,2,2933.5,0.6,0.926605504587156,Infinity,28,-1,1,-1,216,0,1.0779816513761469,160033.185,-1,-1,-1,153584.48333333334,153584.48333333334,0.5517241379310345,0.6049382716049383,0.639344262295082,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,227,2,2918.1541850220265,0.525,0.8810572687224669,Infinity,28,-1,1,-1,227,0,1.1233480176211454,158659.158,-1,-1,-1,154265.73333333334,154265.73333333334,0.5441176470588235,0.5492957746478874,0.47540983606557374,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,231,2,2953.6052631578946,0.53,0.8640350877192983,Infinity,28,-1,1,-1,231,0,1.1403508771929824,157653.782,-1,-1,-1,154393.71698113208,154393.71698113208,0.5,0.5517241379310345,0.5405405405405406,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,241,2,2954.124481327801,0.54,0.8298755186721992,Infinity,28,-1,1,-1,241,0,1.1950207468879668,157535.829,-1,-1,-1,156001.61111111112,156001.61111111112,0.5454545454545454,0.5333333333333333,0.5405405405405406,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1600000,200,200,237,2,2987.6192468619247,0.53,0.8451882845188284,Infinity,28,-1,1,-1,237,0,1.213389121338912,159058.462,-1,-1,-1,153563,153563,0.4666666666666667,0.5652173913043478,0.5492957746478874,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1650000,200,200,258,2,2972.027450980392,0.565,0.7725490196078432,Infinity,28,-1,1,-1,258,0,1.2901960784313726,159175.306,-1,-1,-1,169077.7610619469,169077.7610619469,0.5492957746478874,0.5588235294117647,0.5901639344262295,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1700000,200,200,283,2,2944.3794326241136,0.58,0.7056737588652482,Infinity,28,-1,1,-1,283,0,1.4184397163120568,157974.287,-1,-1,-1,165637.87068965516,165637.87068965516,0.5466666666666666,0.5294117647058824,0.6842105263157895,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1750000,200,200,278,2,2912.2043010752686,0.555,0.7204301075268817,Infinity,28,-1,1,-1,278,0,1.3691756272401434,159095.707,-1,-1,-1,139031.00900900902,139031.00900900902,0.6197183098591549,0.625,0.4153846153846154,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1800000,200,200,288,2,2936.7439446366784,0.525,0.6955017301038062,Infinity,28,-1,1,-1,288,0,1.4186851211072664,157540.496,-1,-1,-1,157664.33333333334,157664.33333333334,0.5818181818181818,0.5405405405405406,0.4647887323943662,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1850000,200,200,304,2,2939.0398671096345,0.595,0.654485049833887,Infinity,28,-1,1,-1,304,0,1.4551495016611296,158314.398,-1,-1,-1,164452.04201680672,164452.04201680672,0.6774193548387096,0.6,0.5205479452054794,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1900000,200,200,312,2,2957.741214057508,0.505,0.6421725239616614,Infinity,28,-1,1,-1,312,0,1.5335463258785942,159407.534,-1,-1,-1,129844.02970297029,129844.02970297029,0.43373493975903615,0.5714285714285714,0.5409836065573771,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1950000,200,200,359,2,2956.4789915966385,0.49,0.5546218487394958,Infinity,28,-1,1,-1,359,0,1.7478991596638656,156962.064,-1,-1,-1,156808.7142857143,156808.7142857143,0.5671641791044776,0.42857142857142855,0.4714285714285714,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2000000,200,200,325,2,2945.188854489164,0.59,0.6130030959752322,Infinity,28,-1,1,-1,325,0,1.6439628482972137,159307.094,-1,-1,-1,161194.06779661018,161194.06779661018,0.6081081081081081,0.5757575757575758,0.5833333333333334,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2050000,200,200,407,2,2933.9310344827586,0.51,0.49014778325123154,Infinity,28,-1,8.2997542997543,-1,407,0,2.0270935960591134,157328.425,-1,-1,-1,162394.0588235294,162394.0588235294,0.5352112676056338,0.4461538461538462,0.546875,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2100000,200,200,453,2,2933.4632516703787,0.515,0.4365256124721604,Infinity,28,-1,95.60706401766005,-1,453,0,2.1915367483296215,157973.907,-1,-1,-1,157557.94174757283,157557.94174757283,0.5571428571428572,0.5352112676056338,0.4406779661016949,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2150000,200,200,475,2.005,2942.181434599156,0.53,0.34810126582278483,Infinity,28,-1,988.4547368421053,-1,509,0,2.7046413502109705,163610.319,-1,-1,-1,167702.61320754717,167702.61320754717,0.5,0.5,0.581081081081081,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2200000,200,200,471,2,2983.1974522292994,0.555,0.3673036093418259,Infinity,28,-1,2512.64118895966,-1,498,0,2.7346072186836516,169923.159,-1,-1,-1,156852.4144144144,156852.4144144144,0.5102040816326531,0.5070422535211268,0.625,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2250000,200,200,471,2,2954.543524416136,0.56,0.31422505307855625,Infinity,28,-1,3364.5711252653928,-1,523,0,3.0042462845010616,182703.056,-1,-1,-1,165992.7142857143,165992.7142857143,0.48333333333333334,0.5625,0.6333333333333333,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2300000,200,200,474,2.005,2964.5485232067513,0.5,0.3080168776371308,Infinity,28,-1,5761.183544303797,-1,528,0,3.2552742616033754,191935.316,-1,-1,-1,189169.63,189169.63,0.453125,0.5694444444444444,0.46875,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
