tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency
50000,200,200,200,2993.9786096256685,1458.4948979591836,0.9946524064171123,1,Infinity,Infinity,-1,0.335,-1,200,0,1,23884.844086021505,-1,-1,-1,1541.3494623655913,1541.3494623655913,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.866666666667
100000,200,200,200,3004.4752475247524,1465.5151515151515,1,1,Infinity,Infinity,-1,0.3,-1,200,0,1,46711.04584527221,-1,-1,-1,1535.4108910891089,1535.4108910891089,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.972602739726,3504.8307692307694
150000,200,200,200,2991.89898989899,1492.34,1,1,Infinity,Infinity,-1,0.315,-1,200,0,1,70558.35542168675,-1,-1,-1,1493.7676767676767,1493.7676767676767,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.983333333333,3504.865671641791
200000,200,200,200,2972.1492537313434,1532.35,1,1,Infinity,Infinity,-1,0.295,-1,200,0,1,92707.39937597504,-1,-1,-1,1448.7860696517414,1448.7860696517414,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9322033898306
250000,200,200,200,2991.9497487437184,1544.845,0.9949748743718593,1,Infinity,Infinity,-1,0.325,-1,200,0,1,112035.33069828722,-1,-1,-1,1451.8333333333333,1451.8333333333333,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.972602739726,3504.8032786885246
300000,200,200,200,3011.950248756219,1573.385,1,1,Infinity,Infinity,-1,0.3,-1,200,0,1,132080.36300578035,-1,-1,-1,1425.636815920398,1425.636815920398,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.985507246377,3504.8823529411766
350000,200,200,200,3044.5,1605.4422110552764,1,1,Infinity,Infinity,-1,0.275,-1,200,0,1,152201.50922131148,-1,-1,-1,1429.76,1429.76,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9850746268658,3504.866666666667
400000,200,200,200,2999.4747474747473,1630.435,0.98989898989899,1,Infinity,Infinity,-1,0.3,-1,200,0,1,154209.775,-1,-1,-1,2188.5867346938776,2188.5867346938776,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9846153846156,3504.818181818182
450000,200,200,200,3006.926108374384,1658.6119402985075,0.9950738916256158,1,Infinity,Infinity,-1,0.26,-1,200,0,1,159229.671,-1,-1,-1,1349.2623762376238,1349.2623762376238,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.931506849315
500000,200,200,200,2957,1679.6767676767677,0.995,1,Infinity,Infinity,-1,0.275,-1,200,0,1,159039.138,-1,-1,-1,1293.8040201005026,1293.8040201005026,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.975,3504.9607843137255
550000,200,200,200,2921.191919191919,1706.8855721393036,0.98989898989899,1,Infinity,Infinity,-1,0.29,-1,200,0,1,157522.387,-1,-1,-1,3627.3826530612246,3627.3826530612246,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8846153846152
600000,200,200,200,2962.591133004926,1714.9004975124378,0.9950738916256158,1,Infinity,Infinity,-1,0.255,-1,200,0,1,157897.926,-1,-1,-1,2256.90099009901,2256.90099009901,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.967213114754,3504.8888888888887
650000,200,200,200,2929.5,1797.3737373737374,0.99,1,Infinity,Infinity,-1,0.26,-1,200,0,1,158955.824,-1,-1,-1,3398.020202020202,3398.020202020202,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.925925925926
700000,200,200,200,2976.8743718592964,1820.273631840796,0.9748743718592965,1,Infinity,Infinity,-1,0.32,-1,200,0,1,154447.03,-1,-1,-1,1425.1134020618556,1425.1134020618556,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9661016949153,3504.8307692307694
750000,200,200,200,2974.361809045226,1839.681592039801,0.9899497487437185,1,Infinity,Infinity,-1,0.335,-1,200,0,1,150005.382,-1,-1,-1,1988.1522842639595,1988.1522842639595,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.951612903226,3504.84126984127
800000,200,200,200,3009.537688442211,1851.4,0.9849246231155779,1,Infinity,Infinity,-1,0.265,-1,200,0,1,152953.385,-1,-1,-1,3174.576530612245,3174.576530612245,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9444444444443
850000,200,200,200,2982,1846.5829145728644,0.995,1,Infinity,Infinity,-1,0.32,-1,200,0,1,153125.63,-1,-1,-1,2138.743718592965,2138.743718592965,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8358208955224
900000,200,200,200,3049.029702970297,1870.395,0.995049504950495,1,Infinity,Infinity,-1,0.295,-1,200,0,1,154256.131,-1,-1,-1,6469.412935323383,6469.412935323383,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9841269841268,3504.8734177215188
