tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,200,5998.350282485876,6029.177142857143,0.4576271186440678,1,Infinity,Infinity,-1,0,-1,200,0,1,21887.670658682633,-1,-1,-1,1498.851851851852,1498.851851851852,NaN,NaN,NaN,NaN,NaN,NaN,5507,6007,6506.857142857143,0.05172413793103448,0.47619047619047616,0.8571428571428571
100000,200,200,200,5963.585858585859,6259.72,0.4090909090909091,1,Infinity,Infinity,-1,0,-1,200,0,1,45236.88787878788,-1,-1,-1,7000.234567901234,7000.234567901234,NaN,NaN,NaN,NaN,NaN,NaN,5506.987341772152,6006.964285714285,6506.809523809524,0.189873417721519,0.3392857142857143,0.746031746031746
150000,200,200,200,6008.945544554455,6474.929292929293,0.3712871287128713,1,Infinity,Infinity,-1,0,-1,200,0,1,67451.50614754099,-1,-1,-1,30793.76,30793.76,NaN,NaN,NaN,NaN,NaN,NaN,5507,6006.96875,6506.9,0.23529411764705882,0.21875,0.6428571428571429
200000,200,200,200,6006.487562189055,6765.175,0.38308457711442784,1,Infinity,Infinity,-1,0,-1,200,0,1,89255.94408945687,-1,-1,-1,60390.72727272727,60390.72727272727,NaN,NaN,NaN,NaN,NaN,NaN,5507,6006.974358974359,6506.935483870968,0.3770491803278688,0.34615384615384615,0.43548387096774194
250000,200,200,200,5958.75879396985,6907.266331658291,0.4221105527638191,1,Infinity,Infinity,-1,0,-1,200,0,1,109773.38120805369,-1,-1,-1,89895.36904761905,89895.36904761905,NaN,NaN,NaN,NaN,NaN,NaN,5506.987012987013,6006.984126984127,6506.796610169492,0.36363636363636365,0.4603174603174603,0.4576271186440678
300000,200,200,200,5983.985,7148.22,0.425,1,Infinity,Infinity,-1,0,-1,200,0,1,129773.5,-1,-1,-1,113697.75294117647,113697.75294117647,NaN,NaN,NaN,NaN,NaN,NaN,5507,6006.928571428572,6506.836065573771,0.4927536231884058,0.37142857142857144,0.4098360655737705
350000,200,200,200,6061.49,7420.97461928934,0.49,1,Infinity,Infinity,-1,0,-1,200,0,1,148613.41761658032,-1,-1,-1,147918.64285714287,147918.64285714287,NaN,NaN,NaN,NaN,NaN,NaN,5507,6006.950819672131,6506.901234567901,0.46551724137931033,0.5409836065573771,0.4691358024691358
400000,200,200,200,5988.995,7591.2835820895525,0.6,1,Infinity,Infinity,-1,0,-1,200,0,1,157053.187,-1,-1,-1,154339.04166666666,154339.04166666666,NaN,NaN,NaN,NaN,NaN,NaN,5506.972972972973,6006.9655172413795,6506.838235294118,0.5675675675675675,0.6206896551724138,0.6176470588235294
450000,200,200,200,5971.326633165829,7744.366834170854,0.5175879396984925,1,Infinity,Infinity,-1,0,-1,200,0,1,158508.096,-1,-1,-1,142039.0485436893,142039.0485436893,NaN,NaN,NaN,NaN,NaN,NaN,5506.986666666667,6006.919354838709,6506.854838709677,0.5066666666666667,0.532258064516129,0.5161290322580645
500000,200,200,200,5969,7986.298507462687,0.58,1,Infinity,Infinity,-1,0,-1,200,0,1,158833.1,-1,-1,-1,159870.1379310345,159870.1379310345,NaN,NaN,NaN,NaN,NaN,NaN,5507,6006.911764705882,6506.813559322034,0.5205479452054794,0.6470588235294118,0.576271186440678
