tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,193,2869.994680851064,2975.07182320442,1,0.994475138121547,Infinity,Infinity,-1,0,-1,192,0,1.0055248618784531,23976.296089385476,-1,-1,-1,825.6117021276596,19401.875,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,171,2530.014778325123,2945.051724137931,1,1,Infinity,Infinity,-1,0,-1,171,0,1,50167.6,-1,-1,-1,5738.8078817733995,40171.65517241379,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,154,2241.7611940298507,2900.0129032258064,1,0.9612903225806452,Infinity,Infinity,-1,0,-1,148,0,1.0451612903225806,78021.92741935483,-1,-1,-1,16179.278606965174,62539.13461538462,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,142,2067.1573604060914,2922.0863309352517,1,1,Infinity,Infinity,-1,0,-1,142,0,1,105522.83937007874,-1,-1,-1,29326.426395939085,99608.72413793103,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,142,2120.134328358209,2972.5314685314684,1,0.9790209790209791,Infinity,Infinity,-1,0,-1,139,0,1.020979020979021,132312.1358344114,-1,-1,-1,36260.96517412936,119482.85245901639,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,102,1546.0966183574878,2926.743119266055,1,0.981651376146789,Infinity,Infinity,-1,0,-1,100,0,1.018348623853211,163045.71363636362,-1,-1,-1,70470.2463768116,145873.41,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,106,1526.3775510204082,2923.529411764706,1,0.9803921568627451,Infinity,Infinity,-1,0,-1,104,0,1.0196078431372548,193903.35137895812,-1,-1,-1,87108.47959183673,177846.47916666666,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,96,1437.7254901960785,2922.98,1,0.97,Infinity,Infinity,-1,0,-1,93,0,1.03,211957.616,-1,-1,-1,108964.29901960785,207745.01869158878,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,101,1474.5589743589744,2985.2916666666665,1,0.9583333333333334,Infinity,Infinity,-1,0,-1,97,0,1.0416666666666667,225968.21,-1,-1,-1,124337.61025641026,235396.44660194175,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,104,1548.6176470588234,2943.6574074074074,1,0.9444444444444444,Infinity,Infinity,-1,0,-1,98,0,1.0462962962962963,233722.4,-1,-1,-1,120389.38235294117,240778.76470588235,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,95,1422.3618090452262,2969.0106382978724,1,0.9468085106382979,Infinity,Infinity,-1,0,-1,90,0,1.0638297872340425,245383.238,-1,-1,-1,137410.33165829146,248587.78181818183,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,103,1498.8442211055276,2914.735294117647,1,0.9215686274509803,Infinity,Infinity,-1,0,-1,95,0,1.0784313725490196,252445.578,-1,-1,-1,128083.77889447236,242749.25714285715,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,116,1735.0298507462687,2972.051282051282,1,0.9487179487179487,Infinity,Infinity,-1,0,-1,110,0,1.0598290598290598,250648.872,-1,-1,-1,115095.93034825871,257047.57777777777,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,88,1317.7525252525252,3022.9186046511627,1,0.9534883720930233,Infinity,Infinity,-1,0,-1,84,0,1.0465116279069768,260798.214,-1,-1,-1,139099.84848484848,237429.05172413794,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,117,1739.68,2994.290598290598,1,0.9401709401709402,Infinity,Infinity,-1,0,-1,110,0,1.0512820512820513,256001.606,-1,-1,-1,118799.17,263998.15555555554,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,111,1650.9292929292928,2984.5504587155965,1,0.8990825688073395,Infinity,Infinity,-1,0,-1,100,0,1.1009174311926606,256542.388,-1,-1,-1,127195.88888888889,251847.86,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,95,1414.24,2971.4210526315787,1,0.9263157894736842,Infinity,Infinity,-1,0,-1,88,0,1.0736842105263158,261672.478,-1,-1,-1,152321.94,272003.46428571426,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,95,1479.7549019607843,3007.050505050505,1,0.8787878787878788,Infinity,Infinity,-1,0,-1,83,0,1.1313131313131313,266213.86,-1,-1,-1,140539.78431372548,245043.7264957265,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,110,1601.9900497512438,2915.4864864864867,1,0.8918918918918919,Infinity,Infinity,-1,0,-1,98,0,1.0990990990990992,264651.64,-1,-1,-1,133491.62189054728,263057.01960784313,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,107,1540.030612244898,2996.126213592233,0.9948979591836735,0.912621359223301,Infinity,Infinity,-1,0,-1,98,0,1.0970873786407767,265756.542,-1,-1,-1,145463.94871794872,278092.8431372549,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,118,1731.819095477387,2885.735042735043,1,0.9316239316239316,Infinity,Infinity,-1,0,-1,110,0,1.0940170940170941,259342.986,-1,-1,-1,115206.6432160804,254734.6888888889,NaN,NaN,NaN,NaN,NaN,NaN
