tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,333,5015.3626373626375,2976.5492063492065,0.9340659340659341,0.5396825396825397,Infinity,Infinity,-1,1,-1,333,0,1.507936507936508,-1,-1,-1,-1,0,NaN,0.9180327868852459,0.8888888888888888,1,5041.295081967213,5010.190476190476,5001.3448275862065,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,344,5093.9794871794875,2982.4719764011797,0.9128205128205128,0.5250737463126843,Infinity,Infinity,-1,1,-1,344,0,1.5398230088495575,-1,-1,-1,-1,0,NaN,0.9666666666666667,0.873015873015873,0.9027777777777778,4594.733333333334,5389.873015873016,5257.569444444444,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,295,4455.598086124402,2946.0394736842104,0.937799043062201,0.6447368421052632,Infinity,Infinity,-1,1,-1,295,0,1.4342105263157894,-1,-1,-1,-1,0,NaN,0.8769230769230769,0.9459459459459459,0.9857142857142858,4562.092307692307,4745.013513513513,4057.7,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,295,4321.45641025641,2955.403448275862,0.9384615384615385,0.6310344827586207,Infinity,Infinity,-1,1,-1,295,0,1.3862068965517242,-1,-1,-1,-1,0,NaN,0.8805970149253731,0.9830508474576272,0.9565217391304348,4488.79104477612,4334.813559322034,4154.144927536232,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,286,4261.20487804878,2956.6013745704468,0.9658536585365853,0.6804123711340206,Infinity,Infinity,-1,1,-1,286,0,1.3848797250859106,-1,-1,-1,-1,0,NaN,0.9855072463768116,0.9571428571428572,0.9545454545454546,3991.6666666666665,4362.271428571428,4442.969696969697,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,274,3997.0410256410255,2960.6802973977697,0.9794871794871794,0.7100371747211895,Infinity,Infinity,-1,1,-1,274,0,1.3197026022304832,-1,-1,-1,-1,0,NaN,0.9846153846153847,0.972972972972973,0.9821428571428571,3948.9846153846156,4070.0135135135133,3964.3214285714284,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,268,4053.8529411764707,2948.643382352941,0.9901960784313726,0.7426470588235294,Infinity,Infinity,-1,1,-1,268,0,1.3051470588235294,-1,-1,-1,-1,0,NaN,1,0.9850746268656716,0.9846153846153847,3840.777777777778,4399.089552238806,3941.3384615384616,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,257,3799.6417910447763,2967.4573643410854,0.9900497512437811,0.7713178294573644,Infinity,Infinity,-1,1,-1,257,0,1.251937984496124,-1,-1,-1,-1,0,NaN,1,0.9846153846153847,0.9866666666666667,3674.2622950819673,3711.8307692307694,3983.72,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,262,3891.0854271356784,2961.704980842912,0.9899497487437185,0.7547892720306514,Infinity,Infinity,-1,1,-1,262,0,1.2796934865900382,-1,-1,-1,-1,0,NaN,0.9848484848484849,0.984375,1,4131.924242424242,3539.875,3993.057971014493,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,232,3445.326829268293,2941.5738396624474,0.9902439024390244,0.8565400843881856,Infinity,Infinity,-1,1,-1,232,0,1.1645569620253164,-1,-1,-1,-1,0,NaN,1,0.9753086419753086,1,3439.5,3564.1728395061727,3311.4848484848485,NaN,NaN,NaN,NaN,NaN,NaN
