tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,333,2,2974.5948553054664,0.015,0.5659163987138264,Infinity,Infinity,-1,0,-1,333,0,1.607717041800643,22813.554913294796,-1,-1,-1,23545,23545,0,0.015625,0.02857142857142857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,364,2,2969.5540166204987,0.16,0.5457063711911357,Infinity,Infinity,-1,0,-1,364,0,1.6703601108033241,46693.630177514795,-1,-1,-1,34309.5,34309.5,0.14492753623188406,0.16071428571428573,0.17333333333333334,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,326,2,2937.6816816816818,0.21,0.6216216216216216,Infinity,Infinity,-1,0,-1,326,0,1.6996996996996998,69706.84168336673,-1,-1,-1,47168.333333333336,47168.333333333336,0.234375,0.21333333333333335,0.18032786885245902,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,335,2,2954.9434523809523,0.295,0.5952380952380952,Infinity,Infinity,-1,0,-1,335,0,1.6279761904761905,91521.08553654743,-1,-1,-1,80959.83050847458,80959.83050847458,0.28378378378378377,0.27941176470588236,0.3275862068965517,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,282,2,2953.707746478873,0.385,0.7077464788732394,Infinity,Infinity,-1,0,-1,282,0,1.4753521126760563,111394.13725490196,-1,-1,-1,115130.11688311688,115130.11688311688,0.359375,0.4,0.39436619718309857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,268,2,2932.8754716981134,0.455,0.7433962264150943,Infinity,Infinity,-1,0,-1,268,0,1.3094339622641509,132083.5361653272,-1,-1,-1,117166.69230769231,117166.69230769231,0.46153846153846156,0.45588235294117646,0.44776119402985076,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,280,2,2938.594306049822,0.545,0.7153024911032029,Infinity,Infinity,-1,0,-1,280,0,1.387900355871886,152432.74637681158,-1,-1,-1,136497.39449541285,136497.39449541285,0.56,0.5161290322580645,0.5555555555555556,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,250,2,2937.771653543307,0.55,0.8031496062992126,Infinity,Infinity,-1,0,-1,250,0,1.2834645669291338,158441.044,-1,-1,-1,153825.9,153825.9,0.5373134328358209,0.5616438356164384,0.55,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,249,2,2980.6947791164657,0.52,0.8032128514056225,Infinity,Infinity,-1,0,-1,249,0,1.2208835341365463,157076.979,-1,-1,-1,149082.09615384616,149082.09615384616,0.5138888888888888,0.46153846153846156,0.5873015873015873,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,235,2,2953.628205128205,0.475,0.8504273504273504,Infinity,Infinity,-1,0,-1,235,0,1.1752136752136753,157071.825,-1,-1,-1,138347.43157894738,138347.43157894738,0.49333333333333335,0.44680851063829785,0.47435897435897434,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,223,2,3003.2844444444445,0.545,0.8977777777777778,Infinity,Infinity,-1,0,-1,223,0,1.12,155997.518,-1,-1,-1,156927.25688073394,156927.25688073394,0.5333333333333333,0.5483870967741935,0.5512820512820513,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,218,2,2970.8812785388127,0.555,0.9178082191780822,Infinity,Infinity,-1,0,-1,218,0,1.095890410958904,156516.708,-1,-1,-1,150564.68468468467,150564.68468468467,0.5,0.5409836065573771,0.6268656716417911,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,213,2,2943.4528301886794,0.51,0.9386792452830188,Infinity,Infinity,-1,0,-1,213,0,1.0613207547169812,153595.366,-1,-1,-1,168151.91176470587,168151.91176470587,0.5211267605633803,0.5217391304347826,0.48333333333333334,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,212,2,2934.644549763033,0.52,0.943127962085308,Infinity,Infinity,-1,0,-1,212,0,1.0568720379146919,156579.858,-1,-1,-1,136607.54807692306,136607.54807692306,0.5789473684210527,0.48333333333333334,0.484375,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,209,2,3000.980952380952,0.54,0.9571428571428572,Infinity,Infinity,-1,0,-1,209,0,1.0476190476190477,156564.082,-1,-1,-1,155391.5185185185,155391.5185185185,0.5396825396825397,0.547945205479452,0.53125,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,205,2,3026.950980392157,0.56,0.9754901960784313,Infinity,Infinity,-1,0,-1,205,0,1.0245098039215685,158657.904,-1,-1,-1,157540.82142857142,157540.82142857142,0.5616438356164384,0.578125,0.5396825396825397,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,203,2,2989.705882352941,0.59,0.9852941176470589,Infinity,Infinity,-1,0,-1,203,0,1.0147058823529411,160993.714,-1,-1,-1,143449.0338983051,143449.0338983051,0.5857142857142857,0.5882352941176471,0.5967741935483871,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,200,2,2955.935,0.53,1,Infinity,Infinity,-1,0,-1,200,0,1,158885.718,-1,-1,-1,165652.93396226416,165652.93396226416,0.5645161290322581,0.5263157894736842,0.5,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,200,2,2949.42,0.565,1,Infinity,Infinity,-1,0,-1,200,0,1,159974.654,-1,-1,-1,145652.85840707965,145652.85840707965,0.5802469135802469,0.6,0.5084745762711864,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,200,2,2940.832512315271,0.515,1,Infinity,Infinity,-1,0,-1,200,0,1,157631.793,-1,-1,-1,149205.16504854368,149205.16504854368,0.55,0.5769230769230769,0.4032258064516129,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,200,2,2946.338383838384,0.51,1,Infinity,Infinity,-1,0,-1,200,0,1,158374.967,-1,-1,-1,147693.5294117647,147693.5294117647,0.5873015873015873,0.4714285714285714,0.47761194029850745,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,200,2,2919.935,0.575,1,Infinity,Infinity,-1,0,-1,200,0,1,159485.082,-1,-1,-1,150972.3391304348,150972.3391304348,0.6285714285714286,0.6153846153846154,0.47692307692307695,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,202,2,2958.445,0.535,0.99,Infinity,Infinity,-1,0,-1,202,0,1.01,158156.538,-1,-1,-1,168832.8504672897,168832.8504672897,0.6,0.47692307692307695,0.5230769230769231,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1200000,200,200,206,2,2924.9186602870814,0.465,0.9712918660287081,Infinity,Infinity,-1,0,-1,206,0,1.0287081339712918,155103.427,-1,-1,-1,152086.36559139786,152086.36559139786,0.4246575342465753,0.559322033898305,0.4264705882352941,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1250000,200,200,208,2,2935.112195121951,0.515,0.9609756097560975,Infinity,Infinity,-1,0,-1,208,0,1.0341463414634147,154312.759,-1,-1,-1,157367.79611650485,157367.79611650485,0.582089552238806,0.53125,0.43478260869565216,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1300000,200,200,208,2,2953.3632075471696,0.52,0.9622641509433962,Infinity,Infinity,-1,0,-1,208,0,1.0424528301886793,155220.138,-1,-1,-1,146664.67307692306,146664.67307692306,0.4657534246575342,0.6,0.5194805194805194,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1350000,200,200,218,2,2944.7069767441862,0.52,0.9162790697674419,Infinity,Infinity,-1,0,-1,218,0,1.0883720930232559,154153.588,-1,-1,-1,160020.9326923077,160020.9326923077,0.5666666666666667,0.5416666666666666,0.45588235294117646,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1400000,200,200,216,2,2984.9449541284403,0.51,0.926605504587156,Infinity,Infinity,-1,0,-1,216,0,1.0825688073394495,154999.159,-1,-1,-1,136601.19607843139,136601.19607843139,0.5625,0.42592592592592593,0.5151515151515151,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1450000,200,200,229,2,2928.2991071428573,0.47,0.8705357142857143,Infinity,Infinity,-1,0,-1,229,0,1.1160714285714286,156244.943,-1,-1,-1,140310.89361702127,140310.89361702127,0.5,0.390625,0.5147058823529411,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1500000,200,200,227,2,2986.5701754385964,0.55,0.881578947368421,Infinity,Infinity,-1,0,-1,227,0,1.1359649122807018,158585.225,-1,-1,-1,146108.92727272728,146108.92727272728,0.5573770491803278,0.49295774647887325,0.6029411764705882,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1550000,200,200,244,2,2951.748971193416,0.47,0.8189300411522634,Infinity,Infinity,-1,0,-1,244,0,1.2016460905349795,157065.738,-1,-1,-1,156571.78723404257,156571.78723404257,0.47619047619047616,0.4225352112676056,0.5151515151515151,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1600000,200,200,240,2,2996.5062761506274,0.505,0.8326359832635983,Infinity,Infinity,-1,0,-1,240,0,1.205020920502092,156770.86,-1,-1,-1,151079.47524752477,151079.47524752477,0.5263157894736842,0.45454545454545453,0.5217391304347826,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1650000,200,200,256,2,2923.521568627451,0.54,0.7803921568627451,Infinity,Infinity,-1,0,-1,256,0,1.2705882352941176,158388.929,-1,-1,-1,148545.75,148545.75,0.5538461538461539,0.43283582089552236,0.6323529411764706,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1700000,200,200,268,2,2955.439114391144,0.51,0.7490774907749077,Infinity,Infinity,-1,0,-1,268,0,1.3431734317343174,155850.831,-1,-1,-1,163236.74509803922,163236.74509803922,0.5555555555555556,0.5,0.4810126582278481,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1750000,200,200,286,2,2936.4542253521126,0.51,0.6971830985915493,Infinity,Infinity,-1,0,-1,286,0,1.4330985915492958,157024.854,-1,-1,-1,150015.36274509804,150015.36274509804,0.5441176470588235,0.4915254237288136,0.4931506849315068,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1800000,200,200,290,2,2933.432525951557,0.535,0.6885813148788927,Infinity,Infinity,-1,0,-1,290,0,1.4775086505190311,157819.202,-1,-1,-1,150073.57009345794,150073.57009345794,0.6229508196721312,0.5217391304347826,0.4714285714285714,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1850000,200,200,310,2,2929.986970684039,0.575,0.6416938110749185,Infinity,Infinity,-1,0,-1,310,0,1.49185667752443,157955.468,-1,-1,-1,178320.77391304346,178320.77391304346,0.6086956521739131,0.5925925925925926,0.5324675324675324,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1900000,200,200,333,2,2960.489552238806,0.52,0.6029850746268657,Infinity,Infinity,-1,0,-1,333,0,1.6865671641791045,156950.09,-1,-1,-1,151667.82692307694,151667.82692307694,0.5333333333333333,0.4909090909090909,0.5285714285714286,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
1950000,200,200,372,2,2983.2520325203254,0.52,0.5257452574525745,Infinity,Infinity,-1,0,-1,372,0,1.829268292682927,158805.572,-1,-1,-1,147128.875,147128.875,0.48484848484848486,0.5076923076923077,0.5652173913043478,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2000000,200,200,348,2,2962.134670487106,0.465,0.5644699140401146,Infinity,Infinity,-1,0,-1,348,0,1.7134670487106016,158721.637,-1,-1,-1,150702.30107526883,150702.30107526883,0.45,0.4305555555555556,0.5147058823529411,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2050000,200,200,420,2,2947.108695652174,0.6,0.45169082125603865,Infinity,Infinity,-1,0,-1,420,0,2.024154589371981,164703.903,-1,-1,-1,145096.08333333334,145096.08333333334,0.6349206349206349,0.618421052631579,0.5409836065573771,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2100000,200,200,444,2,2945.5214446952596,0.49,0.43340857787810383,Infinity,Infinity,-1,0,-1,444,0,2.128668171557562,164846.694,-1,-1,-1,165474.51020408163,165474.51020408163,0.5142857142857142,0.4307692307692308,0.5230769230769231,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2150000,200,200,487,2,2968.0831600831602,0.565,0.3908523908523909,Infinity,Infinity,-1,0,-1,487,0,2.2162162162162162,165827.97,-1,-1,-1,155002.5221238938,155002.5221238938,0.6612903225806451,0.47058823529411764,0.5714285714285714,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2200000,200,200,483,2,2957.543388429752,0.54,0.384297520661157,Infinity,Infinity,-1,0,-1,483,0,2.2644628099173554,166934.727,-1,-1,-1,176261.63888888888,176261.63888888888,0.5797101449275363,0.5294117647058824,0.5079365079365079,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2250000,200,200,591,2,2957.4180887372013,0.575,0.2901023890784983,Infinity,Infinity,-1,0,-1,591,0,2.5648464163822524,173550.346,-1,-1,-1,168682.91304347827,168682.91304347827,0.5342465753424658,0.5714285714285714,0.631578947368421,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2300000,200,200,600,2,2970.1755852842807,0.64,0.2842809364548495,Infinity,Infinity,-1,0,-1,600,0,2.5468227424749164,179229.576,-1,-1,-1,174102.3203125,174102.3203125,0.6176470588235294,0.6307692307692307,0.6716417910447762,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2350000,200,200,669,2,2955.6390977443607,0.475,0.2511278195488722,Infinity,Infinity,-1,0,-1,669,0,2.687218045112782,180509.91,-1,-1,-1,168275.26315789475,168275.26315789475,0.36923076923076925,0.4642857142857143,0.569620253164557,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2400000,200,200,720,2,2981.6805555555557,0.5,0.20277777777777778,Infinity,Infinity,-1,0,-1,720,0,2.861111111111111,187231.806,-1,-1,-1,176208.14,176208.14,0.4426229508196721,0.5166666666666667,0.5316455696202531,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
2450000,200,200,785,2,2948.4495530012773,0.485,0.18646232439335889,Infinity,Infinity,-1,0,-1,785,0,2.9348659003831417,193698.83,-1,-1,-1,179043.80412371134,179043.80412371134,0.5,0.42424242424242425,0.5277777777777778,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
