tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,193,2816.063157894737,2916.344262295082,1,0.9890710382513661,Infinity,Infinity,-1,0.20725388601036268,-1,193,0,1.010928961748634,23768.45810055866,-1,-1,-1,675.9842105263158,14270.777777777777,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,165,2491.935,3012.6666666666665,1,0.9939393939393939,Infinity,Infinity,-1,0,-1,165,0,1.006060606060606,50867.60526315789,-1,-1,-1,7289.49,40497.166666666664,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,157,2304.7064676616915,2923.8291139240505,1,0.9873417721518988,Infinity,Infinity,-1,0,-1,157,0,1.0126582278481013,76990.77309236948,-1,-1,-1,15666.57711442786,69977.37777777777,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,148,2184.1831683168316,2932.9266666666667,1,0.9933333333333333,Infinity,Infinity,-1,0,-1,148,0,1.0066666666666666,103443.83616692426,-1,-1,-1,24832.554455445545,94644.83018867925,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,113,1662.315,2932.097345132743,1,0.9557522123893806,Infinity,Infinity,-1,0,-1,113,0,1.0442477876106195,135130.88344370862,-1,-1,-1,54757.735,119038.55434782608,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,117,1731.965,2950.7863247863247,1,0.9743589743589743,Infinity,Infinity,-1,0,-1,117,0,1.0256410256410255,164177.81127733027,-1,-1,-1,64985.225,151128.43023255814,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,103,1527.9701492537313,2942.375,1,0.9807692307692307,Infinity,Infinity,-1,0,-1,103,0,1.0192307692307692,194353.80226570545,-1,-1,-1,88767.65174129354,180225.2323232323,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,91,1353.9651741293533,2946.391304347826,1,0.967391304347826,Infinity,Infinity,-1,0,-1,91,0,1.0326086956521738,216172.346,-1,-1,-1,118104.54228855722,211955.4732142857,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,94,1395.3465346534654,2987.2395833333335,1,0.9375,Infinity,Infinity,-1,0,-1,94,0,1.0520833333333333,230694.788,-1,-1,-1,131369.8514851485,236934.9107142857,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,82,1256.1708542713568,3000.5061728395062,0.9949748743718593,1,Infinity,Infinity,-1,0,-1,82,0,1.0246913580246915,246764.038,-1,-1,-1,148623.81818181818,249385.7288135593,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,105,1482.7422680412371,2894.777777777778,1,0.9393939393939394,Infinity,Infinity,-1,0,-1,105,0,1.0606060606060606,255592.523,-1,-1,-1,137994.27835051547,265058.31683168316,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,86,1335.623188405797,2960.94623655914,1,0.956989247311828,Infinity,Infinity,-1,0,-1,86,0,1.053763440860215,264011.311,-1,-1,-1,141274.65217391305,247829.2627118644,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,129,1798.2953367875648,2860.2049180327867,1,0.9180327868852459,Infinity,Infinity,-1,0,-1,129,0,1.0819672131147542,259883.893,-1,-1,-1,101881.95854922279,242755.77777777778,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,106,1630.671568627451,2986.427272727273,1,0.9363636363636364,Infinity,Infinity,-1,0,-1,106,0,1.0727272727272728,259489.32,-1,-1,-1,137265.63725490196,277249.40594059404,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,110,1649.4925373134329,2976.7027027027025,1,0.9369369369369369,Infinity,Infinity,-1,0,-1,110,0,1.063063063063063,256345.265,-1,-1,-1,109867.17910447762,227662.9175257732,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,120,1757.1725888324872,2976.3504273504273,1,0.9316239316239316,Infinity,Infinity,-1,0,-1,120,0,1.0598290598290598,250237.703,-1,-1,-1,109622.39593908629,245404.68181818182,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,119,1816.3465346534654,2996.1570247933882,0.995049504950495,0.9338842975206612,Infinity,Infinity,-1,0,-1,119,0,1.0826446280991735,243214.088,-1,-1,-1,108167.50248756219,244288.40449438203,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,102,1506.0591133004925,2900.9714285714285,1,0.9619047619047619,Infinity,Infinity,-1,0,-1,102,0,1.0380952380952382,242564.285,-1,-1,-1,124926.45812807881,248628.14705882352,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,117,1656.6958762886597,2909.072072072072,1,0.8828828828828829,Infinity,Infinity,-1,0,-1,117,0,1.117117117117117,243324.713,-1,-1,-1,119630.69072164949,241753.6875,NaN,NaN,NaN,NaN,NaN,NaN
1000000,200,200,105,1590.1336633663366,2989.6728971962616,0.995049504950495,0.897196261682243,Infinity,Infinity,-1,0,-1,105,0,1.1495327102803738,246096.336,-1,-1,-1,116796.47263681592,221472.55660377358,NaN,NaN,NaN,NaN,NaN,NaN
1050000,200,200,109,1617.641791044776,2945.6,1,0.9454545454545454,Infinity,Infinity,-1,0,-1,109,0,1.0545454545454545,245018.339,-1,-1,-1,119555.71144278607,247739.15463917525,NaN,NaN,NaN,NaN,NaN,NaN
1100000,200,200,115,1627.8434343434344,2893.8672566371683,1,0.8495575221238938,Infinity,Infinity,-1,0,-1,115,0,1.1592920353982301,248499.612,-1,-1,-1,122180.06565656565,237173.068627451,NaN,NaN,NaN,NaN,NaN,NaN
1150000,200,200,102,1542.35,2984.0686274509803,1,0.8529411764705882,Infinity,Infinity,-1,0,-1,102,0,1.1764705882352942,255543.382,-1,-1,-1,134068.425,237289.24778761063,NaN,NaN,NaN,NaN,NaN,NaN
