tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,379,4339.259459459459,2947.341736694678,0.6270270270270271,0.48739495798319327,28,28,-1,18.25065963060686,0,379,0,1.9103641456582634,23856.45535714286,-1,-1,-1,710.8965517241379,20616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,340,3969.469696969697,2959.0588235294117,0.6868686868686869,0.55,28,28,-1,1,0,340,0,1.8911764705882352,48405.92340425532,-1,-1,-1,4321.691176470588,45211.53846153846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,274,3319.8522167487686,2932.3705035971225,0.7733990147783252,0.6079136690647482,28,28,-1,1,0,274,0,1.8237410071942446,73561.30532212886,-1,-1,-1,13767.56050955414,61757.34285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,245,3234.8048780487807,2971.312252964427,0.7951219512195122,0.6758893280632411,28,28,-1,1,0,245,0,1.5256916996047432,97957.60165975103,-1,-1,-1,19812.674846625767,87282.86486486487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,210,2595.68,2942.626794258373,0.85,0.631578947368421,28,28,-1,1,0,210,0,1.5741626794258374,126405.34871794871,-1,-1,-1,45977.74705882353,116659.95522388059,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,178,2397.688442211055,2924.2808988764045,0.8894472361809045,0.7247191011235955,28,28,-1,1,0,178,0,1.398876404494382,153330.1695652174,-1,-1,-1,57551.41242937853,143473.2394366197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,166,2304.1666666666665,2968.8470588235296,0.8970588235294118,0.7529411764705882,28,28,-1,1,0,166,0,1.3470588235294119,179409.59598494353,-1,-1,-1,65434.234972677594,157558.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,126,1776.1741293532339,2927.5714285714284,0.9502487562189055,0.8095238095238095,28,28,-1,1,0,126,0,1.253968253968254,208361.87064116987,-1,-1,-1,98479.98429319372,191935.47959183675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,143,2016.2412060301508,3001.5694444444443,0.9246231155778895,0.7708333333333334,28,28,-1,1,0,143,0,1.3194444444444444,235888.01932858597,-1,-1,-1,103420.21739130435,211436.88888888888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,106,1483.8737373737374,2924.125,0.9696969696969697,0.8653846153846154,28,28,-1,1,0,106,0,1.1730769230769231,252530.021,-1,-1,-1,146373.72395833334,260219.9537037037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,105,1512.1940298507463,2937.877358490566,0.9701492537313433,0.8962264150943396,28,28,-1,1,0,105,0,1.0849056603773586,263731.531,-1,-1,-1,144477.97435897434,265784.9528301887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,97,1373.0696517412935,2908.0408163265306,0.9751243781094527,0.8469387755102041,28,28,-1,1,0,97,0,1.1938775510204083,280453.828,-1,-1,-1,180731.5918367347,300198.23728813557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,114,1645.7777777777778,2902.964285714286,0.9545454545454546,0.9017857142857143,28,28,-1,1,0,114,0,1.1071428571428572,290534.37,-1,-1,-1,149421.8201058201,291141.4845360825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,200,200,107,1624.1519607843138,2966.936936936937,0.9803921568627451,0.9009009009009009,28,28,-1,1,0,107,0,1.1081081081081081,298807.495,-1,-1,-1,156680.42,301308.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,200,200,113,1612.20202020202,2896.6666666666665,0.9848484848484849,0.9369369369369369,28,28,-1,1,0,113,0,1.054054054054054,303299.802,-1,-1,-1,154601.00512820514,320714.8510638298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,200,200,90,1341.2311557788944,2954.6516853932585,0.9949748743718593,0.9662921348314607,28,28,-1,1,0,90,0,1.0449438202247192,313088.231,-1,-1,-1,194740.77272727274,341227.19469026546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,200,200,81,1248.2118226600985,3014.8809523809523,0.9950738916256158,0.9880952380952381,28,28,-1,1,0,81,0,1.0119047619047619,324521.164,-1,-1,-1,221955.5297029703,373625.14166666666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,200,200,102,1425.4205128205128,2853.4845360824743,1,1,28,28,-1,1,0,102,0,1,325783.875,-1,-1,-1,170190.0205128205,338643.4081632653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,200,200,90,1391.2378640776699,2972.75,1,1,28,28,-1,1,0,90,0,1,326841.299,-1,-1,-1,198759.23300970873,372221.83636363636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
