tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,344,2,2909.8981481481483,0.045,0.5555555555555556,Infinity,28,-1,1,-1,344,0,1.7530864197530864,21970.84117647059,-1,-1,-1,13243.222222222223,13243.222222222223,0.056338028169014086,0.028169014084507043,0.05172413793103448,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,352,2,2947.935754189944,0.175,0.5754189944134078,Infinity,28,-1,1,-1,352,0,1.7988826815642458,44302.997041420116,-1,-1,-1,35470.514285714286,35470.514285714286,0.14516129032258066,0.2537313432835821,0.1267605633802817,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,328,2,3021.283950617284,0.19,0.6049382716049383,Infinity,28,-1,1,-1,328,0,1.632716049382716,67282.06451612903,-1,-1,-1,56738.84210526316,56738.84210526316,0.15384615384615385,0.18666666666666668,0.23333333333333334,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,298,2,2933.16,0.28,0.6733333333333333,Infinity,28,-1,1,-1,298,0,1.5,89944.08062015504,-1,-1,-1,76648.96428571429,76648.96428571429,0.3142857142857143,0.2459016393442623,0.2753623188405797,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,290,2,2988.993079584775,0.4,0.6885813148788927,Infinity,28,-1,1,-1,290,0,1.4186851211072664,111975.5065616798,-1,-1,-1,94613.75,94613.75,0.410958904109589,0.47368421052631576,0.32857142857142857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,275,2,2963.1182795698924,0.395,0.7311827956989247,Infinity,28,-1,1,-1,275,0,1.3870967741935485,131559.7163841808,-1,-1,-1,122124.74683544303,122124.74683544303,0.4864864864864865,0.3709677419354839,0.3125,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,257,2,2925.3227091633466,0.485,0.7729083665338645,Infinity,28,-1,1,-1,257,0,1.2589641434262948,152060.03346855985,-1,-1,-1,139045.19587628866,139045.19587628866,0.46153846153846156,0.4107142857142857,0.5757575757575758,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,274,2,2916.76512455516,0.56,0.7366548042704626,Infinity,28,-1,1,-1,274,0,1.3843416370106763,157133.511,-1,-1,-1,136774.39285714287,136774.39285714287,0.65625,0.5846153846153846,0.4507042253521127,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,256,2,2972.98418972332,0.495,0.7786561264822134,Infinity,28,-1,1,-1,256,0,1.2885375494071147,156301.06,-1,-1,-1,168119.64646464647,168119.64646464647,0.4520547945205479,0.5614035087719298,0.4857142857142857,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,235,2,2961.580508474576,0.485,0.8516949152542372,Infinity,28,-1,1,-1,235,0,1.1779661016949152,154811.157,-1,-1,-1,141258.9175257732,141258.9175257732,0.49230769230769234,0.4307692307692308,0.5285714285714286,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,229,2,2991.030303030303,0.575,0.8744588744588745,Infinity,28,-1,1,-1,229,0,1.1601731601731602,156289.273,-1,-1,-1,155817.00869565218,155817.00869565218,0.5714285714285714,0.5076923076923077,0.6388888888888888,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,222,2,2958.3766816143498,0.555,0.9013452914798207,Infinity,28,-1,1,-1,222,0,1.1390134529147982,158124.354,-1,-1,-1,145357.97297297296,145357.97297297296,0.5942028985507246,0.5161290322580645,0.5507246376811594,5,5,5,NaN,NaN,NaN,NaN,NaN,NaN
