tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,185,2765.7305699481867,2994.629213483146,1,1,Infinity,Infinity,-1,1,-1,185,0,1,24362.25842696629,-1,-1,-1,1409.6113989637306,18137,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,162,2337.5,2888.18125,1,1,Infinity,Infinity,-1,1,-1,162,0,1,51479.119047619046,-1,-1,-1,7763.565656565656,40452.26315789474,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,151,2240.628712871287,2953.575163398693,0.9900990099009901,0.9869281045751634,Infinity,Infinity,-1,1,-1,151,0,1,77806.42299794662,-1,-1,-1,15097.765,61623.5306122449,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,138,2080.9950495049507,2997.692857142857,0.9851485148514851,0.9785714285714285,Infinity,Infinity,-1,1,-1,138,0,1,104963.39102564103,-1,-1,-1,31666.402010050253,101638.93548387097,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,131,1909.611111111111,2925.9612403100773,0.9949494949494949,0.9922480620155039,Infinity,Infinity,-1,1,-1,131,0,1,132816.37017310254,-1,-1,-1,40174.32994923858,114700.62318840579,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,108,1626.4405940594058,2981.0636363636363,0.9900990099009901,0.9818181818181818,Infinity,Infinity,-1,1,-1,108,0,1,163426.03033838974,-1,-1,-1,67968.12,147756.78260869565,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,102,1511.1015228426395,3000.959595959596,0.9695431472081218,0.9393939393939394,Infinity,Infinity,-1,1,-1,102,0,1,195506.44725738396,-1,-1,-1,100182.75392670157,195254.14285714287,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,97,1450.7635467980297,2938.99,0.9802955665024631,0.96,Infinity,Infinity,-1,1,-1,97,0,1,218351.2,-1,-1,-1,112389.90452261307,217141.66019417476,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,91,1371.1584158415842,2971.8709677419356,0.9801980198019802,0.956989247311828,Infinity,Infinity,-1,1,-1,91,0,1,235270.65,-1,-1,-1,132940.2676767677,241487.82568807338,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,97,1418.9949748743718,2935.3125,0.9849246231155779,0.96875,Infinity,Infinity,-1,1,-1,97,0,1,250270.15,-1,-1,-1,139250.4642857143,264981.46601941745,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,109,1599.6180904522614,2941.759259259259,0.9849246231155779,0.9722222222222222,Infinity,Infinity,-1,1,-1,109,0,1,259973.6,-1,-1,-1,127273.0969387755,274126.6703296703,NaN,NaN,NaN,NaN,NaN,NaN
600000,200,200,90,1364.9014778325122,2972.935483870968,0.9802955665024631,0.956989247311828,Infinity,Infinity,-1,1,-1,90,0,1,275289.7,-1,-1,-1,169276.9849246231,306237.45454545453,NaN,NaN,NaN,NaN,NaN,NaN
650000,200,200,107,1523.139175257732,2919.792079207921,0.9536082474226805,0.9108910891089109,Infinity,Infinity,-1,1,-1,107,0,1,287067.25,-1,-1,-1,147144.16756756758,292706.1397849462,NaN,NaN,NaN,NaN,NaN,NaN
