tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,189,2801.8888888888887,2969.005617977528,1,1,Infinity,Infinity,-1,0,-1,189,0,1,24232.89265536723,-1,-1,-1,757.4285714285714,13014,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,178,2637.2786069651743,2955.0055865921786,1,0.9776536312849162,Infinity,Infinity,-1,0,-1,174,0,1.0223463687150838,50144.57102272727,-1,-1,-1,6027.059701492537,46593.807692307695,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,149,2176.3152709359606,2899.3355263157896,1,0.9671052631578947,Infinity,Infinity,-1,0,-1,144,0,1.0328947368421053,78409.21843687375,-1,-1,-1,20571.24630541872,74570.76785714286,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,140,2076.572864321608,2965.2805755395684,1,0.9928057553956835,Infinity,Infinity,-1,0,-1,139,0,1.0071942446043165,106132.92295597485,-1,-1,-1,26197.48743718593,85463.9344262295,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,111,1666.2835820895523,2981.4553571428573,1,0.9642857142857143,Infinity,Infinity,-1,0,-1,107,0,1.0357142857142858,137291.2274562584,-1,-1,-1,59855.02487562189,129364.08602150538,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,118,1707.205,2884.991525423729,1,0.9491525423728814,Infinity,Infinity,-1,0,-1,112,0,1.0508474576271187,166046.94730679158,-1,-1,-1,70635.675,160535.625,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,94,1394.7860696517414,2958.821052631579,0.9950248756218906,0.9473684210526315,Infinity,Infinity,-1,0,-1,89,0,1.0842105263157895,198100.97136797456,-1,-1,-1,100841.255,181695.95495495494,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,103,1486.824120603015,2891.1862745098038,1,0.9607843137254902,Infinity,Infinity,-1,0,-1,99,0,1.0490196078431373,220648.573,-1,-1,-1,107182.59798994975,211181.55445544556,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,94,1375.235,2915.7978723404253,1,0.9468085106382979,Infinity,Infinity,-1,0,-1,89,0,1.053191489361702,237331.214,-1,-1,-1,133417.46,240391.81981981982,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,104,1539.4926108374384,2911.3177570093458,1,0.9626168224299065,Infinity,Infinity,-1,0,-1,100,0,1.0373831775700935,248103.913,-1,-1,-1,115462.25123152709,234388.37,NaN,NaN,NaN,NaN,NaN,NaN
