tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,432,432,432,2953.029776674938,2950.786600496278,1,1,Infinity,Infinity,-1,0.23842592592592593,-1,432,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,492,2953.3905930470346,2951.169734151329,1,1,Infinity,Infinity,-1,0.21544715447154472,-1,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,545,545,545,2967.2444444444445,2965.05,1,1,Infinity,Infinity,-1,0.21651376146788992,-1,545,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,592,592,592,2958.052100840336,2955.8672268907562,1,1,Infinity,Infinity,-1,0.21452702702702703,-1,592,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,625,2928.6945337620577,2926.4887459807073,1,1,Infinity,Infinity,-1,0.1888,-1,625,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,644,2952.787596899225,2950.593798449612,1,1,Infinity,Infinity,-1,0.21428571428571427,-1,644,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,649,2948.320493066256,2946.1278890600925,1,1,Infinity,Infinity,-1,0.2033898305084746,-1,649,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,638,2982.138147566719,2979.927786499215,1,1,Infinity,Infinity,-1,0.2084639498432602,-1,638,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,612,2981.6682926829267,2979.4552845528456,1,1,Infinity,Infinity,-1,0.20588235294117646,-1,612,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,573,2941.731707317073,2939.498257839721,1,1,Infinity,Infinity,-1,0.1849912739965096,-1,573,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,524,524,523,2952.307400379507,2950.087286527514,1,1,Infinity,Infinity,-1,0.19120458891013384,-1,524,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,465,465,466,2963.9872611464966,2961.770700636943,1,1,Infinity,Infinity,-1,0.22532188841201717,-1,465,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,404,404,404,2960.4,2958.204938271605,1,1,Infinity,Infinity,-1,0.2079207920792079,-1,404,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,343,343,343,2952.798270893372,2950.5965417867437,1,1,Infinity,Infinity,-1,0.19533527696793002,-1,343,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,284,284,284,2973.7979094076654,2971.5365853658536,1,1,Infinity,Infinity,-1,0.2112676056338028,-1,284,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,233,233,233,2975.5126050420167,2973.340336134454,1,1,Infinity,Infinity,-1,0.17167381974248927,-1,233,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,193,193,193,2946.0673575129535,2943.8445595854923,1,1,Infinity,Infinity,-1,0.20207253886010362,-1,193,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,165,165,165,2932.2395209580836,2930.005988023952,1,1,Infinity,Infinity,-1,0.23030303030303031,-1,165,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,151,151,151,2926.0866666666666,2923.84,1,1,Infinity,Infinity,-1,0.19205298013245034,-1,151,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,154,154,154,2975.564935064935,2973.318181818182,1,1,Infinity,Infinity,-1,0.24025974025974026,-1,154,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,172,172,172,2976.4529411764706,2974.241176470588,1,1,Infinity,Infinity,-1,0.23837209302325582,-1,172,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,203,203,203,3015.5671641791046,3013.378109452736,1,1,Infinity,Infinity,-1,0.2413793103448276,-1,203,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,247,247,247,2907.3211382113823,2905.130081300813,1,1,Infinity,Infinity,-1,0.1902834008097166,-1,247,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,301,301,301,2958.0305084745764,2955.8101694915254,1,1,Infinity,Infinity,-1,0.2823920265780731,-1,301,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,361,361,361,2945.2555555555555,2943.0138888888887,1,1,Infinity,Infinity,-1,0.2548476454293629,-1,361,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,423,423,423,2981.1909307875894,2979,1,1,Infinity,Infinity,-1,0.19858156028368795,-1,423,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,483,483,483,2940.1541666666667,2937.920833333333,1,1,Infinity,Infinity,-1,0.2422360248447205,-1,483,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,539,539,539,2970.588454376164,2968.383612662942,1,1,Infinity,Infinity,-1,0.2077922077922078,-1,539,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,586,586,586,2970.6603448275864,2968.456896551724,1,1,Infinity,Infinity,-1,0.21843003412969283,-1,586,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1500000,621,621,621,2959.2299035369774,2957.014469453376,1,1,Infinity,Infinity,-1,0.1932367149758454,-1,621,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1550000,643,643,643,2933.8341158059466,2931.6384976525824,1,1,Infinity,Infinity,-1,0.19906687402799378,-1,643,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1600000,650,650,650,2948.2058371735793,2945.9708141321044,1,1,Infinity,Infinity,-1,0.2230769230769231,-1,650,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1650000,640,640,640,2970.885093167702,2968.669254658385,1,1,Infinity,Infinity,-1,0.20625,-1,640,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1700000,616,616,616,2930.2006525285483,2927.9983686786295,1,1,Infinity,Infinity,-1,0.2012987012987013,-1,616,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750000,579,579,579,2970.680960548885,2968.468267581475,1,1,Infinity,Infinity,-1,0.21934369602763384,-1,579,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1800000,530,530,530,2927.1348314606744,2924.945692883895,1,1,Infinity,Infinity,-1,0.22264150943396227,-1,530,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1850000,474,474,474,2971.8828451882846,2969.6882845188284,1,1,Infinity,Infinity,-1,0.24261603375527427,-1,474,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1900000,413,413,413,2942.4192771084336,2940.1831325301205,1,1,Infinity,Infinity,-1,0.17191283292978207,-1,413,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950000,350,350,350,2941.6330532212887,2939.448179271709,1,1,Infinity,Infinity,-1,0.20857142857142857,-1,350,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000000,292,292,292,2939.1292517006805,2936.9523809523807,1,1,Infinity,Infinity,-1,0.2089041095890411,-1,292,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2050000,239,239,239,2951.817427385892,2949.6431535269708,1,1,Infinity,Infinity,-1,0.16317991631799164,-1,239,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2100000,197,197,197,2957.361809045226,2955.1557788944724,1,1,Infinity,Infinity,-1,0.20812182741116753,-1,197,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2150000,168,168,168,2943.1360946745563,2940.9112426035504,1,1,Infinity,Infinity,-1,0.21428571428571427,-1,168,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2200000,152,152,152,2929.59477124183,2927.37908496732,1,1,Infinity,Infinity,-1,0.19736842105263158,-1,152,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250000,153,153,153,2953.1307189542486,2950.908496732026,1,1,Infinity,Infinity,-1,0.20915032679738563,-1,153,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2300000,168,168,168,2983.736526946108,2981.5149700598804,1,1,Infinity,Infinity,-1,0.20833333333333334,-1,168,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2350000,199,199,199,2918.9132653061224,2916.668367346939,1,1,Infinity,Infinity,-1,0.17587939698492464,-1,199,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2400000,241,241,241,2929.1271186440677,2926.898305084746,1,1,Infinity,Infinity,-1,0.24481327800829875,-1,241,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2450000,293,293,293,2993.271186440678,2991.0677966101694,1,1,Infinity,Infinity,-1,0.2354948805460751,-1,293,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500000,353,353,353,2998.0058139534885,2995.8197674418607,1,1,Infinity,Infinity,-1,0.21813031161473087,-1,353,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2550000,414,414,414,2943.7615571776155,2941.5547445255474,1,1,Infinity,Infinity,-1,0.1859903381642512,-1,414,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2600000,476,476,476,2957.6927966101694,2955.468220338983,1,1,Infinity,Infinity,-1,0.18487394957983194,-1,476,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2650000,532,532,532,2949.2608695652175,2947.0756143667295,1,1,Infinity,Infinity,-1,0.18984962406015038,-1,532,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2700000,580,580,580,2934.6100519930674,2932.410745233969,1,1,Infinity,Infinity,-1,0.22241379310344828,-1,580,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750000,618,618,617,2952.3106796116504,2950.0825242718447,1,1,Infinity,Infinity,-1,0.19773095623987033,-1,618,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2800000,640,640,641,2939.640062597809,2937.431924882629,1,1,Infinity,Infinity,-1,0.21060842433697347,-1,640,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
