tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,431,431,431,2935.3456790123455,2927.0222222222224,1,1,28,28,-1,6.03016241299304,0,431,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,492,492,477,3339.835789473684,2930.2526315789473,1,1,28,28,-1,492.8176100628931,15,492,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,546,546,473,6879.38689217759,2937.6215644820295,1,1,28,28,-1,4283.422832980972,88,546,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,591,591,474,14285.708333333334,2957.824894514768,0.9875,1,28,28,-1,12051.713080168776,199,585,6,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,625,625,470,17321.503205128207,2972.336170212766,0.7532051282051282,1,28,28,-1,20298.03404255319,200,471,154,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,644,644,477,17734.152173913044,2932.5324947589097,0.7406832298136646,1,28,28,-1,20973.700209643604,200,477,167,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,649,649,478,17413.15100154083,2926.175732217573,0.736517719568567,1,28,28,-1,20718.769874476988,200,478,171,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,638,638,475,17741.948517940717,2957.9178947368423,0.7410296411856474,1,28,28,-1,20997.225263157896,197,472,166,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,612,612,476,18630.58496732026,2957.581932773109,0.7777777777777778,1,28,28,-1,20992.789915966387,197,476,136,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,573,573,477,19731.590909090908,2927.2955974842766,0.833916083916084,1,28,28,-1,20726.293501048218,198,478,95,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,524,524,469,21467.455066921608,2968.0106609808104,0.8967495219885278,1,28,28,-1,20985.995735607677,199,470,54,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,465,465,475,23395.64596273292,2950.096842105263,0.9834368530020704,1,28,28,-1,20786.661052631578,181,457,8,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,405,405,476,21467.128151260506,2961.18487394958,1,1,28,28,-1,18187.20798319328,110,405,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,342,342,452,11135.284782608696,2937.986956521739,1,1,28,28,-1,7416.878318584071,0,342,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,284,284,284,2921.462068965517,2918.4827586206898,1,1,28,28,-1,0.9049295774647887,0,284,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,233,233,233,2916.604255319149,2913.689361702128,1,1,28,28,-1,0.8326180257510729,0,233,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,193,193,193,2975.159793814433,2972.1082474226805,1,1,28,28,-1,0.8963730569948186,0,193,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,165,165,165,3015.179640718563,3012.1377245508984,1,1,28,28,-1,0.9212121212121213,0,165,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,151,151,151,3007.565789473684,3004.592105263158,1,1,28,28,-1,0.8940397350993378,0,151,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,154,154,154,3010.2434210526317,3007.2039473684213,1,1,28,28,-1,0.9090909090909091,0,154,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,172,172,172,2970.186046511628,2967.1453488372094,1,1,28,28,-1,0.936046511627907,0,172,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1100000,203,203,203,2973.287878787879,2970.3838383838383,1,1,28,28,-1,0.8866995073891626,0,203,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1150000,247,247,247,2962.4596774193546,2959.4032258064517,1,1,28,28,-1,0.9190283400809717,0,247,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1200000,301,301,301,2948.257627118644,2945.240677966102,1,1,28,28,-1,0.9136212624584718,0,301,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1250000,361,361,361,2938.890756302521,2935.90756302521,1,1,28,28,-1,0.9030470914127424,0,361,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1300000,423,423,422,2956.4665071770337,2951.562200956938,1,1,28,28,-1,4.040284360189573,1,423,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1350000,483,483,466,3372.463519313305,2970.5557939914165,1,1,28,28,-1,491.1309012875536,18,483,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1400000,539,539,478,6671.200836820084,2942.7071129707115,1,1,28,28,-1,4040.3430962343095,79,539,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1450000,586,586,469,13837.11513859275,2976.5245202558635,1,1,28,28,-1,11402.541577825159,196,586,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
