tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency,meanResponseGFastLatency,meanResponseGMediumLatency,meanResponseGSlowLatency,meanResponseGFastAvailability,meanResponseGMediumAvailability,meanResponseGSlowAvailability
50000,200,200,200,2983.3829787234044,5195.651685393258,0.047872340425531915,1,Infinity,Infinity,-1,0.29,-1,200,0,1,22301.88823529412,-1,-1,-1,15458.444444444445,15458.444444444445,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3505,0.014705882352941176,0.05084745762711865,0.08196721311475409
100000,200,200,200,2974.772277227723,5801.91959798995,0.1188118811881188,1,Infinity,Infinity,-1,0.275,-1,200,0,1,46123.39710144928,-1,-1,-1,27947.208333333332,27947.208333333332,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9692307692308,0.15789473684210525,0.06557377049180328,0.12307692307692308
150000,200,200,200,3034.8282828282827,6324.085858585859,0.22727272727272727,1,Infinity,Infinity,-1,0.31,-1,200,0,1,69300.75506072874,-1,-1,-1,56578.37777777778,56578.37777777778,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9411764705883,0.2727272727272727,0.2,0.22058823529411764
200000,200,200,200,2994.5,6800.372448979592,0.315,1,Infinity,Infinity,-1,0.28,-1,200,0,1,91383.88498402556,-1,-1,-1,79555.23809523809,79555.23809523809,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9491525423728,0.3387096774193548,0.26582278481012656,0.3559322033898305
250000,200,200,200,3032.1507537688444,7177.161616161616,0.3869346733668342,1,Infinity,Infinity,-1,0.285,-1,200,0,1,112996.068,-1,-1,-1,87973.20779220779,87973.20779220779,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.945205479452,0.29508196721311475,0.36923076923076925,0.4794520547945205
300000,200,200,200,3014.3762376237623,7431.108910891089,0.4752475247524752,1,Infinity,Infinity,-1,0.27,-1,200,0,1,132055.7780373832,-1,-1,-1,123294.14583333333,123294.14583333333,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.945945945946,0.4927536231884058,0.5084745762711864,0.43243243243243246
350000,200,200,200,2992,7483.88,0.495,1,Infinity,Infinity,-1,0.3,-1,200,0,1,151471.96342737722,-1,-1,-1,142743.2626262626,142743.2626262626,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.8813559322034,0.5396825396825397,0.5,0.4406779661016949
400000,200,200,200,2989.373737373737,7347.84,0.5656565656565656,1,Infinity,Infinity,-1,0.33,-1,200,0,1,159620.222,-1,-1,-1,155682.60714285713,155682.60714285713,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9824561403507,3504.926470588235,0.6164383561643836,0.631578947368421,0.45588235294117646
450000,200,200,200,3031.70297029703,7131.83,0.5445544554455446,1,Infinity,Infinity,-1,0.315,-1,200,0,1,158581.526,-1,-1,-1,166930.44545454546,166930.44545454546,NaN,NaN,NaN,NaN,NaN,NaN,2505,3004.9864864864867,3504.9142857142856,0.4827586206896552,0.5675675675675675,0.5714285714285714
500000,200,200,200,3032.1507537688444,6744.935643564357,0.49748743718592964,1,Infinity,Infinity,-1,0.3,-1,200,0,1,156025.486,-1,-1,-1,147477.0404040404,147477.0404040404,NaN,NaN,NaN,NaN,NaN,NaN,2505,3005,3504.9625,0.5441176470588235,0.5490196078431373,0.425
