tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,334,4816.9672131147545,2935.9303797468356,0.8907103825136612,0.5316455696202531,Infinity,Infinity,-1,0,-1,195,0,1.6075949367088607,22772.025477707008,-1,-1,-1,338.13496932515335,11023.2,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,267,3854.960199004975,2956.2490706319704,0.9601990049751243,0.6245353159851301,Infinity,Infinity,-1,0,-1,173,0,1.5055762081784387,48851.59316770186,-1,-1,-1,5301.062176165803,37892.77777777778,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,202,3049.7365853658534,2927.082125603865,0.9853658536585366,0.782608695652174,Infinity,Infinity,-1,0,-1,158,0,1.2946859903381642,74579.31875,-1,-1,-1,13108.123762376237,63043.833333333336,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,160,2442.2401960784314,2973.9268292682927,1,0.9024390243902439,Infinity,Infinity,-1,0,-1,144,0,1.1219512195121952,101188.04784688995,-1,-1,-1,25568.725490196077,93143.21428571429,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,126,1885.895,2985.285714285714,1,0.9761904761904762,Infinity,Infinity,-1,0,-1,123,0,1.0238095238095237,130788.04539385848,-1,-1,-1,41963.91,108997.16883116883,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,116,1762.9751243781095,3019.931623931624,1,0.9914529914529915,Infinity,Infinity,-1,0,-1,115,0,1.0085470085470085,159828.9965317919,-1,-1,-1,59753.97512437811,141300.57647058825,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,109,1607.6268656716418,2928.336363636364,1,1,Infinity,Infinity,-1,0,-1,109,0,1,189459.22507708118,-1,-1,-1,75601.23383084577,166987.34065934067,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,86,1301.7029702970297,2976.943181818182,1,1,Infinity,Infinity,-1,0,-1,86,0,1,212489.503,-1,-1,-1,129032.34653465346,228636.26315789475,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,109,1533.148717948718,2889.4903846153848,1,0.9326923076923077,Infinity,Infinity,-1,0,-1,102,0,1.0576923076923077,227693.282,-1,-1,-1,120277.35897435897,239327.39795918367,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,118,1720.4875621890546,2929.72268907563,1,0.8487394957983193,Infinity,Infinity,-1,0,-1,100,0,1.1680672268907564,240565.956,-1,-1,-1,120907.01492537314,243023.1,NaN,NaN,NaN,NaN,NaN,NaN
