tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,200,200,342,4680.205405405405,2957.9815384615385,0.9135135135135135,0.5353846153846153,28,28,-1,1,0,342,0,1.8184615384615384,22801.32075471698,-1,-1,-1,765.1005917159763,14366.888888888889,NaN,NaN,NaN,NaN,NaN,NaN
100000,200,200,257,3639.5174129353236,2916.3846153846152,0.9601990049751243,0.6961538461538461,28,28,-1,1,0,257,0,1.5115384615384615,48226.009146341465,-1,-1,-1,4677.860103626943,41037.59090909091,NaN,NaN,NaN,NaN,NaN,NaN
150000,200,200,211,3095.985507246377,2922.6651376146788,0.9806763285024155,0.7844036697247706,28,28,-1,1,0,211,0,1.3256880733944953,73508.9028340081,-1,-1,-1,11412.413793103447,64353.333333333336,NaN,NaN,NaN,NaN,NaN,NaN
200000,200,200,153,2291.0995024875624,2981.538961038961,1,0.8376623376623377,28,28,-1,1,0,153,0,1.1883116883116882,103150.36918138042,-1,-1,-1,34728.82587064677,96951.30555555556,NaN,NaN,NaN,NaN,NaN,NaN
250000,200,200,131,1893.6119402985075,2873.4166666666665,1,0.9696969696969697,28,28,-1,1,0,131,0,1.0303030303030303,131524.828,-1,-1,-1,41893.064676616916,115349.39726027397,NaN,NaN,NaN,NaN,NaN,NaN
300000,200,200,114,1646.3434343434344,2899.3928571428573,1,1,28,28,-1,1,0,114,0,1,161416.43902439025,-1,-1,-1,70801.91414141415,163009.05813953487,NaN,NaN,NaN,NaN,NaN,NaN
350000,200,200,109,1579.4313725490197,2840.1327433628317,1,0.9911504424778761,28,28,-1,1,0,109,0,1.008849557522124,189974.21090534978,-1,-1,-1,79150.67647058824,175508.02173913043,NaN,NaN,NaN,NaN,NaN,NaN
400000,200,200,94,1381.9054726368158,2911.3684210526317,1,0.9789473684210527,28,28,-1,1,0,94,0,1.0210526315789474,211802.489,-1,-1,-1,117375.32338308457,218448.5185185185,NaN,NaN,NaN,NaN,NaN,NaN
450000,200,200,101,1494.5179487179487,3023.8229166666665,1,0.9270833333333334,28,28,-1,1,0,101,0,1.0729166666666667,230212.411,-1,-1,-1,122207.98461538462,224816.5754716981,NaN,NaN,NaN,NaN,NaN,NaN
500000,200,200,100,1481.4228855721392,2936.6435643564355,1,0.8415841584158416,28,28,-1,1,0,100,0,1.188118811881188,249093.689,-1,-1,-1,147333.4328358209,255293.27586206896,NaN,NaN,NaN,NaN,NaN,NaN
550000,200,200,123,1686.3937823834196,3001.25,1,0.7672413793103449,28,28,-1,1,0,123,0,1.2241379310344827,264256.654,-1,-1,-1,145205.42487046632,269467.7596153846,NaN,NaN,NaN,NaN,NaN,NaN
