tick,loadFromSimulation,loadFromX,loadFromY,meanLatencyFromY,meanLatencyFromZ,meanAvailabilityFromY,meanAvailabilityFromZ,zCapacity,poolSize,poolUsage,meanQueueWaitTime,queueSize,enqueueCount,queueRejectCount,meanTriesPerRequest,avgCacheAge,hitCount,missCount,cacheSize,meanResponseAge,meanResponseCacheAge,meanResponseP1Availability,meanResponseP2Availability,meanResponseP3Availability,meanResponseP1Latency,meanResponseP2Latency,meanResponseP3Latency
50000,400,400,400,2950.3002680965146,2946.780160857909,1,1,28,28,-1,1.01,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100000,400,400,400,2915.426799007444,2911.8982630272953,1,1,32,30,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150000,400,400,400,2947.962311557789,2944.422110552764,1,1,35,33,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200000,400,400,400,2929.071960297767,2925.5359801488835,1,1,37,35,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
250000,400,400,400,2962.85536159601,2959.3241895261845,1,1,39,36,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
300000,400,400,400,2983.5025,2979.9775,1,1,39,38,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
350000,400,400,400,2972.7425,2969.1975,1,1,39,41,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400000,400,400,400,2958.5201005025124,2954.994974874372,1,1,38,43,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
450000,400,400,400,3022.1641791044776,3018.634328358209,1,1,36,44,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500000,400,400,400,2937.1582914572864,2933.6281407035176,1,1,33,46,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550000,400,400,400,2952.895781637717,2949.3746898263025,1,1,30,49,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
600000,400,400,400,2944.6959798994976,2941.170854271357,1,1,27,49,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
650000,400,400,400,2989.3275,2985.92,1,1,23,49,-1,1,0,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700000,400,400,378,4859.565826330532,4692.467787114846,1,1,19,44,-1,400.5687830687831,22,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
750000,400,400,284,13731.875,6523.777027027027,1,1,16,32,-1,9002.095070422536,138,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
800000,400,400,240,29533.072580645163,5693.959677419355,1,1,13,24,-1,26047.541666666668,298,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
850000,400,400,198,51121.94761904762,4398.161904761905,1,1,11,12,-1,48970.419191919194,500,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
900000,400,400,174,77431.32183908045,3285.7183908045977,1,1,10,12,-1,76042.36206896552,726,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950000,400,400,171,106420.07558139534,3146.639534883721,1,1,10,11,-1,105231.9649122807,955,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1000000,400,400,170,135353.78235294117,3149.3882352941177,1,1,10,11,-1,134085.1588235294,1185,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1050000,400,400,180,164556.8659217877,3032.4525139664806,1,1,12,12,-1,163298.4388888889,1405,400,0,1,-1,-1,-1,-1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
