,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanResponseAge,meanResponseAge,meanResponseAge,meanResponseAge,meanResponseAge,
,A - Naive,E - RequestCaching,F - AsyncCacheLoading,H - Retries,I - InfiniteRetries,,A - Naive,E - RequestCaching,F - AsyncCacheLoading,H - Retries,I - InfiniteRetries,
50000,0.5714285714285714,0.6020942408376964,0.015,0.8907103825136612,0.9135135135135135,,0,1009.3826086956522,15747,338.13496932515335,765.1005917159763,
100000,0.678391959798995,0.7437185929648241,0.09,0.9601990049751243,0.9601990049751243,,0,6524.175675675676,28763.666666666668,5301.062176165803,4677.860103626943,
150000,0.8118811881188119,0.815,0.19,0.9853658536585366,0.9806763285024155,,0,11412.20245398773,47999.63157894737,13108.123762376237,11412.413793103447,
200000,0.8693467336683417,0.8932038834951457,0.185,1,1,,0,27303.5,61744.2972972973,25568.725490196077,34728.82587064677,
250000,0.949748743718593,0.9536082474226805,0.305,1,1,,0,37020.56756756757,77625.68852459016,41963.91,41893.064676616916,
300000,1,0.9950738916256158,0.405,1,1,,0,53107.81188118812,112045.76543209876,59753.97512437811,70801.91414141415,
350000,0.9949748743718593,1,0.4,1,1,,0,69070.25980392157,127407,75601.23383084577,79150.67647058824,
400000,0.96,0.9949238578680203,0.435,1,1,,0,96686.61734693877,128713.091954023,129032.34653465346,117375.32338308457,
450000,0.92,0.9444444444444444,0.525,1,1,,0,135892.7165775401,161154.14285714287,120277.35897435897,122207.98461538462,
500000,0.8606965174129353,0.92,0.515,1,1,,0,128469.91847826086,164075.64077669903,120907.01492537314,147333.4328358209,
550000,0.7437185929648241,0.8693467336683417,0.52,0.9950248756218906,1,,0,162630.87283236993,167821.03846153847,143901.29,145205.42487046632,
600000,0.6169154228855721,0.801980198019802,0.52,0.9646464646464646,0.9552238805970149,,0,212411.52469135803,184796.51923076922,181370.9005235602,145912.31770833334,
650000,0.5151515151515151,0.7309644670050761,0.585,0.9396984924623115,0.9261083743842364,,0,199925.43055555556,184314.94871794872,158615.29946524065,177290.50531914894,
700000,0.38,0.7391304347826086,0.49,0.8789473684210526,0.8737373737373737,,0,291086.5947712418,232328.1224489796,212622.11377245508,190219.84393063583,
750000,0.2722772277227723,0.6080402010050251,0.52,0.8151658767772512,0.8131313131313131,,0,337156.173553719,227099.88461538462,212535.7558139535,226680.23602484472,
800000,0.165,0.6262626262626263,0.605,0.7291666666666666,0.6804123711340206,,0,404606.28225806454,291029.64462809917,262856.5571428572,272147.4696969697,
850000,0.11,0.6130653266331658,0.52,0.6464646464646465,0.5365853658536586,,0,432342.4016393443,342937.8653846154,323284.171875,393311.9909090909,
900000,0.020100502512562814,0.5544554455445545,0.515,0.558252427184466,0.5440414507772021,,0,468499.8125,373272.2427184466,378039.06086956523,486620.0190476191,
950000,0.014925373134328358,0.5025125628140703,0.52,0.533678756476684,0.48868778280542985,,0,547610.53,430826.8076923077,515768.12621359224,529500.8888888889,
1000000,0,0.4900990099009901,0.55,0.5223880597014925,0.5125628140703518,,NaN,609801.0404040404,472122.9090909091,529951.780952381,567735.6274509804,
1050000,0.034653465346534656,0.5736040609137056,0.485,0.5628140703517588,0.5532994923857868,,0,642522.3274336283,524142.3608247423,494097.23214285716,614372.4311926606,
1100000,0.07537688442211055,0.575,0.525,0.5979899497487438,0.5654450261780105,,0,607637.3913043478,530309.380952381,529867.0420168068,643469.074074074,
1150000,0.22,0.5376884422110553,0.57,0.7047619047619048,0.5279187817258884,,0,584520.8411214954,586808.4035087719,423354.86486486485,678781.6634615385,
1200000,0.3065326633165829,0.6225490196078431,0.51,0.8557213930348259,0.44329896907216493,,0,521846.25196850393,581896.5098039216,402425.33720930235,680118.1627906977,
1250000,0.42786069651741293,0.625,0.535,0.8994974874371859,0.42,,0,435259.536,607215.691588785,307302.35754189943,718317.3452380953,
1300000,0.5970149253731343,0.7244897959183674,0.525,0.9343434343434344,0.8,,0,377399.8661971831,598781.7619047619,272571.04864864866,386596.4404761905,
1350000,0.7336683417085427,0.7437185929648241,0.545,0.9903381642512077,0.9655172413793104,,0,259828.05405405405,502623.1467889908,253866.7707317073,256138.3775510204,
1400000,0.7821782178217822,0.8300970873786407,0.55,0.9949494949494949,0.99,,0,256420.92397660817,519769.7272727273,217288.9035532995,248563.6616161616,
1450000,0.8585858585858586,0.8974358974358975,0.58,0.995049504950495,1,,0,214501.46857142856,460603.4655172414,256877.06467661692,240715.68316831684,
1500000,0.9257425742574258,0.97,0.505,1,1,,0,173851.30927835053,361653.9306930693,232264.23,201807.275,
1550000,0.9949238578680203,0.9901477832512315,0.425,1,1,,0,141286.08955223882,255777.58823529413,224137.60606060605,206144.28358208956,
1600000,1,0.9950248756218906,0.55,1,1,,0,121578.035,260126.54545454544,160229.8316831683,144152.51741293533,
1650000,0.9851485148514851,0.99,0.575,1,1,,0,136900.4898989899,164993.52173913043,165347.62,159368.32323232322,
1700000,0.9292929292929293,0.9795918367346939,0.565,1,1,,0,152080.25520833334,168427.53097345133,159667.34010152283,132097.04020100503,
1750000,0.8762376237623762,0.9411764705882353,0.58,0.9950248756218906,0.9950248756218906,,0,129227.83333333333,178462.5172413793,146447.37,115298.185,
1800000,0.795,0.883248730964467,0.58,0.9851485148514851,0.98989898989899,,0,181030.0172413793,169231.91379310345,163631.79899497487,112629.32142857143,
1850000,0.65,0.8190954773869347,0.5,0.9746192893401016,0.9748743718592965,,0,179357.72392638036,182956,148463.375,141639.75773195876,
1900000,0.5422885572139303,0.7960199004975125,0.485,0.958974358974359,0.955,,0,216123.19375,187961.94845360826,146838.54545454544,170150.41361256543,
1950000,0.4213197969543147,0.7326732673267327,0.615,0.8883495145631068,0.9306930693069307,,0,277111.2837837838,221958.78861788617,173456.96174863388,204062.52127659574,
2000000,0.29207920792079206,0.72,0.535,0.8272251308900523,0.8256410256410256,,0,293089.1111111111,220422.70093457945,210642.3670886076,219273.11801242235,
2050000,0.22110552763819097,0.6212121212121212,0.485,0.7192118226600985,0.7711442786069652,,0,322737.8048780488,270283.08247422683,292895.3698630137,281187.7806451613,
2100000,0.10396039603960396,0.565,0.505,0.6464646464646465,0.6443298969072165,,0,441456.00884955755,265024.72277227725,378845.265625,294990.648,
2150000,0.05527638190954774,0.507537688442211,0.575,0.5846153846153846,0.51010101010101,,0,475962.52475247526,344256.5652173913,369891.4561403509,448561.2574257426,
2200000,0.005,0.504950495049505,0.545,0.515,0.4954545454545455,,0,531524.9705882353,413012.1376146789,480040.4466019418,498062.5504587156,
2250000,0.005025125628140704,0.572139303482587,0.54,0.5343137254901961,0.505,,0,579247.4347826086,451737.27777777775,487708.0917431193,510601.7623762376,
2300000,0.04477611940298507,0.505,0.55,0.5376884422110553,0.5051546391752577,,0,637813.9207920792,502685.63636363635,478334.4112149533,561123.1224489796,
2350000,0.12,0.51,0.48,0.6831683168316832,0.5743589743589743,,0,580224.3137254902,524573.5625,446213.3768115942,644289.9285714285,
2400000,0.1507537688442211,0.628140703517588,0.63,0.7128205128205128,0.49473684210526314,,0,585347.176,578646.6031746032,390767.8561151079,655805.9255319149,
2450000,0.2722772277227723,0.6119402985074627,0.53,0.822429906542056,0.46938775510204084,,0,475573.77235772356,599407.8490566037,322061.4431818182,685457.5326086957,
2500000,0.37055837563451777,0.6130653266331658,0.525,0.8871794871794871,0.4855769230769231,,0,436096.0081967213,584210.3333333334,355949.063583815,695819.8514851485,
2550000,0.48756218905472637,0.7738693467336684,0.525,0.9502487562189055,0.6683168316831684,,0,380195.66883116885,564759.380952381,303082.5026178011,537780.0222222222,
2600000,0.6582914572864321,0.7839195979899497,0.545,0.975609756097561,0.9571428571428572,,0,301865.4294871795,489923.1467889908,281737.51,287678.17412935325,
2650000,0.7512437810945274,0.8507462686567164,0.49,0.9900497512437811,0.9948717948717949,,0,231221.9707602339,443174.55102040817,284212.2412060301,267320.3608247423,
2700000,0.85,0.9455445544554455,0.47,1,0.9950248756218906,,0,235386.0994764398,371808.7021276596,257809.56345177666,234930.605,
2750000,0.9653465346534653,0.9396984924623115,0.495,1,1,,0,151542.64705882352,278313.6666666667,236677.9296482412,139918.37,
2800000,0.9545454545454546,0.9898477157360406,0.595,1,1,,0,182188.56923076924,269360.86554621847,192536.91457286433,206168.8725490196,
2850000,1,1,0.455,1,1,,0,152453.17326732673,222762.38461538462,144175.97014925373,171503.50753768845,
2900000,0.99,0.9899497487437185,0.575,1,1,,0,150571.3045685279,159084.39130434784,155488.82,146057.10837438423,
2950000,0.9154228855721394,0.9751243781094527,0.505,1,1,,0,150147.49489795917,170649.47524752477,141497.33333333334,154809.92268041236,
3000000,0.8756218905472637,0.9195979899497487,0.48,1,1,,0,158021.1038251366,151336.0625,150367.49,122634.31527093596,
3050000,0.785,0.8640776699029126,0.59,0.995,0.9797979797979798,,0,186186.33146067415,166841.91525423728,140115.20603015076,136678.0824742268,
3100000,0.7236180904522613,0.8131313131313131,0.52,0.9850746268656716,0.9751243781094527,,0,181629.2298136646,169209.5,140636.35353535353,130603.60204081633,
3150000,0.5326633165829145,0.7437185929648241,0.525,0.9536082474226805,0.9396984924623115,,0,241035.0337837838,196836.04761904763,191033.2864864865,164089.3796791444,
3200000,0.435,0.7064676616915423,0.555,0.9444444444444444,0.8585858585858586,,0,278164.3732394366,205914.56756756757,161899.7860962567,178274.38235294117,
3250000,0.345,0.7085427135678392,0.475,0.8020304568527918,0.8241206030150754,,0,296573.8156028369,234720.68421052632,200499.25316455695,205692.59146341463,
3300000,0.22885572139303484,0.615,0.52,0.76,0.6804123711340206,,0,360152.7967479675,286611.42307692306,278320.69736842107,277698.95454545453,
3350000,0.12,0.5970149253731343,0.56,0.7487684729064039,0.6060606060606061,,0,436332.275,317990.3035714286,287788.0789473684,349426.5833333333,
3400000,0.025,0.5404040404040404,0.525,0.615,0.5369458128078818,,0,517745.5981308411,354187.4761904762,410997.73983739835,423510.0550458716,
3450000,0,0.5373134328358209,0.535,0.5816326530612245,0.49537037037037035,,NaN,588376.6296296297,402508.68224299065,467166.649122807,492745.4859813084,
3500000,0.004975124378109453,0.54,0.47,0.5198019801980198,0.542713567839196,,0,612790.0833333334,458300.72340425535,498633.4095238095,561614.2962962963,
3550000,0.03,0.5979899497487438,0.485,0.5396039603960396,0.5625,,0,577925.7226890756,482165.0412371134,500749.8348623853,593252.4907407408,
3600000,0.08955223880597014,0.504950495049505,0.59,0.6138613861386139,0.520618556701031,,0,596775.1176470588,551193.6101694915,472905.7419354839,607926.5841584158,
3650000,0.21,0.5230769230769231,0.495,0.7142857142857143,0.4797979797979798,,0,579005.8039215687,551970.2323232323,457273.0714285714,642840.4210526316,
3700000,0.245,0.56,0.595,0.7621359223300971,0.5380710659898477,,0,582374.375,598310.4453781513,409239.07006369426,696016,
3750000,0.3484848484848485,0.7014925373134329,0.52,0.8787878787878788,0.39,,0,460433.4822695035,584420.5576923077,361333.8735632184,752566.6666666666,
3800000,0.5422885572139303,0.693069306930693,0.535,0.9313725490196079,0.631578947368421,,0,370795.78571428574,586204.9439252337,370743.1263157895,491438.6893939394,
3850000,0.6331658291457286,0.8020304568527918,0.57,0.9852216748768473,0.9747474747474747,,0,291567.1898734177,545393.9298245613,270120.38,309025.0829015544,
3900000,0.7772277227722773,0.7970297029702971,0.585,0.9897959183673469,0.9666666666666667,,0,231023.03105590062,462416.23076923075,265946.5257731959,263111.1379310345,
3950000,0.8507462686567164,0.925,0.595,0.9950738916256158,1,,0,202737.12972972973,400314.2268907563,263872.9306930693,273801.3794871795,
4000000,0.9444444444444444,0.965,0.525,1,1,,0,147363.55440414508,347125.5714285714,253710.44,214187.56650246304,
4050000,1,0.9751243781094527,0.525,1,1,,0,123344.26020408163,303057,171099.14,210855.08,
4100000,1,0.9949748743718593,0.6,1,1,,0,157911.72222222222,211796.16666666666,192220.08823529413,154586.08673469388,
4150000,0.9949748743718593,0.9950738916256158,0.555,1,1,,0,128786.22772277228,196178.0810810811,168899.38461538462,159004.5,
4200000,0.925,0.9899497487437185,0.585,1,1,,0,160031.00507614214,161292.29914529916,161507,134171.2233502538,
4250000,0.8910891089108911,0.96,0.515,0.9949238578680203,1,,0,137573.63541666666,152003.31067961166,173459.35714285713,106667.72139303482,
4300000,0.745,0.905940594059406,0.56,0.9899497487437185,1,,0,164407.4699453552,176326.9107142857,137581.27918781727,134516.4603960396,
4350000,0.6030150753768844,0.8556701030927835,0.545,0.9848484848484849,0.984375,,0,181061.7108433735,195215.80733944953,179949.4358974359,164635.64021164022,
4400000,0.59,0.7772277227722773,0.555,0.9591836734693877,0.9655172413793104,,0,194918.8280254777,184952.4054054054,140521.71276595743,162483.08673469388,
4450000,0.405,0.74,0.57,0.915,0.9030612244897959,,0,229209.7972972973,230658.84210526315,182602.8524590164,177156.05649717513,
4500000,0.3316582914572864,0.6831683168316832,0.585,0.8177339901477833,0.8706467661691543,,0,298533.0724637681,241049.13675213675,203278.07228915664,201363.84,
4550000,0.2376237623762376,0.6414141414141414,0.565,0.7512953367875648,0.700507614213198,,0,345802.1968503937,266651.8672566372,259995.76551724138,266772.7971014493,
4600000,0.11557788944723618,0.5445544554455446,0.555,0.6097560975609756,0.6237623762376238,,0,389460.5909090909,317288.4414414414,296279.872,361752.3333333333,
4650000,0.055,0.5373134328358209,0.515,0.615,0.5684210526315789,,0,498206.3425925926,367547.9708737864,426380.162601626,393533.23148148146,
4700000,0.010101010101010102,0.5829145728643216,0.525,0.5333333333333333,0.4719626168224299,,0,567896.5948275862,381492.71428571426,467092.46153846156,490594.04950495047,
4750000,0,0.49246231155778897,0.495,0.5505050505050505,0.4492753623188406,,NaN,598223.5306122449,453536.3939393939,520159.9816513761,566227.7096774194,
4800000,0.0196078431372549,0.48,0.53,0.5,0.5858585858585859,,0,613094.9479166666,492907.8490566038,526136.9795918367,577782.3448275862,
4850000,0.08080808080808081,0.5174129353233831,0.515,0.5922330097087378,0.5052631578947369,,0,596407.3557692308,536448.4563106796,510617.7704918033,627665.5833333334,
4900000,0.19597989949748743,0.545,0.54,0.685,0.542713567839196,,0,612454.2385321101,558844.6851851852,398048.8613138686,642133.0277777778,
4950000,0.271356783919598,0.5757575757575758,0.555,0.7352941176470589,0.4791666666666667,,0,540456.4561403509,541229.8828828828,466757.29333333333,682430.1304347826,
5000000,0.4129353233830846,0.6568627450980392,0.59,0.9086538461538461,0.3969849246231156,,0,461757.7089552239,615419.4576271187,362203.31216931215,717395.2784810127,
5050000,0.49748743718592964,0.7487437185929648,0.54,0.9484536082474226,0.435,,0,439413.42281879194,568932.1851851852,319061.2173913043,690097,
5100000,0.6069651741293532,0.7828282828282829,0.61,0.9463414634146341,0.9061032863849765,,0,340276.8387096774,525899.0491803279,249410.90721649484,285873.0207253886,
5150000,0.75,0.8426395939086294,0.53,0.98989898989899,0.9651741293532339,,0,315089.0180722892,519802.6603773585,234085.77551020408,317030.58247422683,
5200000,0.8492462311557789,0.8762376237623762,0.575,0.9951456310679612,1,,0,251452.54802259887,533412.2173913043,256741.6487804878,207920.118226601,
5250000,0.9264705882352942,0.935,0.555,1,1,,0,236845.42780748665,411784.3873873874,261294.7135678392,244176.42926829268,
5300000,0.9849246231155779,0.99,0.575,1,1,,0,161415.4696969697,327547.4347826087,269860.6432160804,186389.00510204083,
5350000,1,0.9949238578680203,0.49,1,1,,0,140221.61224489796,219411.2857142857,196108.0201005025,185111.03553299492,
5400000,1,0.9950738916256158,0.57,1,1,,0,125302.39108910892,201543.05263157896,163186.12807881774,167093.44776119402,
5450000,0.945273631840796,0.9704433497536946,0.435,1,1,,0,157944.1624365482,146204.4712643678,185472.33165829146,159177.695,
5500000,0.8743718592964824,0.9343434343434344,0.58,1,1,,0,154747.5027027027,178359.93103448275,190831.72448979592,143288.91414141413,
5550000,0.7910447761194029,0.945,0.56,0.995049504950495,0.9950248756218906,,0,179911.97883597884,169007.7142857143,151047.6815920398,125347.375,
5600000,0.685,0.8805970149253731,0.525,0.9848484848484849,0.9897959183673469,,0,170760.43502824858,185241.7619047619,169906.9846153846,140702.4175257732,
5650000,0.6169154228855721,0.751269035532995,0.535,0.9698492462311558,0.9554455445544554,,0,183184.9391891892,197013.82242990655,166584.0621761658,153480.7616580311,
5700000,0.43,0.7512437810945274,0.515,0.9489795918367347,0.900990099009901,,0,249903.0728476821,190238.74757281554,173945.2258064516,169271.86263736265,
5750000,0.33,0.6403940886699507,0.47,0.8543689320388349,0.8578947368421053,,0,302119.90769230766,220585.29787234042,213306.31818181818,197011.0490797546,
5800000,0.22727272727272727,0.676923076923077,0.595,0.8071065989847716,0.8421052631578947,,0,352781.5681818182,277644.0588235294,277939.11949685536,264121.875,
5850000,0.10396039603960396,0.5174129353233831,0.54,0.6963350785340314,0.6963350785340314,,0,395060.32692307694,304149.77777777775,281190.1052631579,332079.84962406015,
5900000,0.04568527918781726,0.55,0.52,0.5911330049261084,0.5960591133004927,,0,474620.2636363636,333021.03846153844,373462.6,379357.4297520661,
5950000,0.014925373134328358,0.5,0.52,0.555,0.5555555555555556,,0,531837.56,377825.8461538461,448862.25225225225,471300.0909090909,
6000000,0,0.5198019801980198,0.555,0.5276381909547738,0.4861111111111111,,NaN,611886.0476190476,433031.6846846847,497834.8761904762,533995.9333333333,
6050000,0.015,0.485,0.525,0.57,0.5384615384615384,,0,621499.5773195876,486574.61904761905,495037.350877193,566155.2,
6100000,0.0845771144278607,0.5226130653266332,0.56,0.5960591133004927,0.4517766497461929,,0,587757.4423076923,564955.0357142857,500065.12396694213,583037.2921348314,
6150000,0.14646464646464646,0.5628140703517588,0.515,0.6666666666666666,0.4895833333333333,,0,605046.0625,564596.5145631068,487866.3676470588,620749.4787234042,
6200000,0.24120603015075376,0.5422885572139303,0.535,0.7563451776649747,0.46596858638743455,,0,575320.5963302752,591924.1028037383,410621.4899328859,657683.1573033708,
6250000,0.3,0.6417910447761194,0.505,0.8592964824120602,0.39408866995073893,,0,528683.472868217,585776.207920792,310093.15789473685,682341.3125,
6300000,0.5074626865671642,0.7085427135678392,0.525,0.8921568627450981,0.5192307692307693,,0,428495.3546099291,571362.7142857143,363157.46153846156,613945.824074074,
6350000,0.6336633663366337,0.795,0.495,0.9607843137254902,0.9711538461538461,,0,369859.08805031446,532674.2727272727,286780.28571428574,252666.57425742573,
6400000,0.71,0.86,0.525,0.9898477157360406,0.9898477157360406,,0,259692.87790697673,478287,254269.00512820514,269352.6974358974,
6450000,0.85,0.8921568627450981,0.55,0.9950738916256158,0.9950980392156863,,0,234860.31318681317,449294.2727272727,233962.13861386137,275077.9014778325,
6500000,0.8934010152284264,0.9591836734693877,0.535,0.9900990099009901,1,,0,202321.3244680851,384847,225568.28,233673.8208955224,
6550000,0.9655172413793104,0.9797979797979798,0.535,1,1,,0,164729.87113402062,340318.96261682245,198161.21212121213,191523.595,
6600000,1,1,0.525,1,1,,0,133710.03921568627,267508.4285714286,146030.59405940594,237520.6432160804,
6650000,0.995,0.9949494949494949,0.52,1,1,,0,126633.43147208123,178859.98076923078,177110.93467336684,190175.62311557788,
