,loadFromX,loadFromX,loadFromX,loadFromX,,loadFromY,loadFromY,loadFromY,loadFromY,,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,meanLatencyFromY,,meanLatencyFromZ,meanLatencyFromZ,meanLatencyFromZ,meanLatencyFromZ,,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,meanAvailabilityFromY,,meanAvailabilityFromZ,meanAvailabilityFromZ,meanAvailabilityFromZ,meanAvailabilityFromZ,
,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,,A - Naive,B - LoadLeveling,C - LoadShedding,D - MultilevelLoadShedding,
50000,375,375,375,375,,375,375,375,375,,2952.025495750708,2966.0368271954676,2985.8611898016998,2997.4759206798867,,2949.954674220963,2962.971671388102,2982.7648725212466,2994.3909348441925,,1,1,1,1,,1,1,1,1,
100000,375,375,375,375,,375,375,375,375,,2961.878306878307,2927.7453580901856,2941.103723404255,2962.4489247311826,,2959.7804232804233,2924.6710875331564,2938.029255319149,2959.3629032258063,,1,1,1,1,,1,1,1,1,
150000,750,750,750,750,,750,477,477,477,,1875.7608108108109,10984.172707889125,9464.17463235294,4143.306010928962,,1873.75,2945.5863539445627,2943.08067940552,2963.9071729957805,,0.6216216216216216,1,0.8658088235294118,0.8633879781420765,,0.6216216216216216,1,1,1,
200000,750,750,750,750,,750,473,475,471,,1880.1906666666666,29340.405919661735,14862.622666666666,6920.136,,1878.1746666666666,2968.0676532769558,2951.6898734177216,2950.1061571125265,,0.6266666666666667,1,0.632,0.628,,0.6266666666666667,1,1,1,
250000,750,750,750,750,,750,473,473,477,,1884.0585885486018,47938.62367864694,15146.772,10014.293333333333,,1882.045272969374,2948.6046511627906,2958.5644820295984,2940.0670859538786,,0.6284953395472703,1,0.6306666666666667,0.636,,0.6284953395472703,1,1,1,
300000,750,750,750,750,,750,475,470,471,,1888.969292389853,66149.94947368422,15108.198666666667,14887.263368983957,,1886.9465954606142,2950.1326315789474,2973.5893617021275,2971.9851380042464,,0.6248331108144193,1,0.6266666666666667,0.6296791443850267,,0.6248331108144193,1,1,1,
350000,750,750,750,750,,750,473,474,482,,1856.0066577896139,84572.35517970401,15219.180240320427,18809.138666666666,,1853.9747003994673,2967.029598308668,2949.3945147679324,2914.5995850622407,,0.6191744340878829,1,0.6328437917222964,0.6426666666666667,,0.6191744340878829,1,1,1,
400000,750,750,750,750,,750,470,473,474,,1878.1615487316421,103376.7744680851,15131.025299600533,12581.172,,1876.1401869158879,2963.412765957447,2972.5391120507397,2930.6139240506327,,0.6221628838451269,1,0.62982689747004,0.632,,0.6221628838451269,1,1,1,
450000,750,750,750,750,,750,470,470,477,,1891.473404255319,121729.78085106383,15230.003989361701,23225.91090425532,,1889.4574468085107,2981.9297872340426,2995.3255319148934,2969.2285115303985,,0.6329787234042553,1,0.625,0.6343085106382979,,0.6329787234042553,1,1,1,
500000,750,750,750,750,,750,474,468,469,,1883.4325767690254,140448.6687763713,15020.919786096256,20615.47396528705,,1881.4125500667558,2950.8818565400843,2950.42094017094,2968.0106609808104,,0.6221628838451269,1,0.6256684491978609,0.6261682242990654,,0.6221628838451269,1,1,1,
550000,750,750,750,750,,750,475,473,473,,1873.2476697736352,158816.73684210525,15147.94259012016,15170.622666666666,,1871.2183754993341,2959.395789473684,2958.9936575052852,2948.2241014799156,,0.6271637816245007,1,0.6315086782376502,0.6306666666666667,,0.6271637816245007,1,1,1,
600000,750,750,750,750,,750,475,474,471,,1871.0613333333333,176963.1848739496,15159.446666666667,14568.881174899867,,1869.0333333333333,2931.121848739496,2967.1075949367087,2967.9341825902334,,0.6253333333333333,1,0.632,0.6288384512683578,,0.6253333333333333,1,1,1,
650000,750,750,750,750,,750,478,477,465,,1884.3030707610146,195583.6394129979,15267.969333333333,14897.28362183755,,1882.283044058745,2946.379454926625,2933.7798742138366,3003.617204301075,,0.630173564753004,1,0.636,0.6191744340878829,,0.630173564753004,1,1,1,
